[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=binarysearch (measured)  cpu1=PIPELINE  cpu2=PIPELINE  cpu3=PIPELINE
[sample=0] cpu=0 bench=binarysearch cycles=6830 instructions=1263 cache-misses=15
[sample=75] cpu=0 bench=binarysearch cycles=1941 instructions=1258 cache-misses=5
[sample=76] cpu=0 bench=binarysearch cycles=1974 instructions=1258 cache-misses=8
[sample=77] cpu=0 bench=binarysearch cycles=1991 instructions=1258 cache-misses=9
[sample=78] cpu=0 bench=binarysearch cycles=1963 instructions=1258 cache-misses=7
[sample=79] cpu=0 bench=binarysearch cycles=2029 instructions=1258 cache-misses=9
[sample=80] cpu=0 bench=binarysearch cycles=1962 instructions=1258 cache-misses=8
[sample=81] cpu=0 bench=binarysearch cycles=1962 instructions=1258 cache-misses=6
[sample=82] cpu=0 bench=binarysearch cycles=1944 instructions=1258 cache-misses=5
[sample=83] cpu=0 bench=binarysearch cycles=1977 instructions=1258 cache-misses=10
[sample=84] cpu=0 bench=binarysearch cycles=5415 instructions=1258 cache-misses=12
[sample=85] cpu=0 bench=binarysearch cycles=1873 instructions=1257 cache-misses=7
[sample=86] cpu=0 bench=binarysearch cycles=1832 instructions=1258 cache-misses=1
[sample=87] cpu=0 bench=binarysearch cycles=1870 instructions=1258 cache-misses=0
[sample=88] cpu=0 bench=binarysearch cycles=1815 instructions=1258 cache-misses=0
[sample=89] cpu=0 bench=binarysearch cycles=1841 instructions=1258 cache-misses=0
[sample=90] cpu=0 bench=binarysearch cycles=1854 instructions=1258 cache-misses=0
[sample=91] cpu=0 bench=binarysearch cycles=1856 instructions=1258 cache-misses=0
[sample=92] cpu=0 bench=binarysearch cycles=1828 instructions=1258 cache-misses=0
[sample=93] cpu=0 bench=binarysearch cycles=1864 instructions=1258 cache-misses=1
[sample=94] cpu=0 bench=binarysearch cycles=1834 instructions=1258 cache-misses=0
[sample=95] cpu=0 bench=binarysearch cycles=1838 instructions=1258 cache-misses=0
[sample=96] cpu=0 bench=binarysearch cycles=1840 instructions=1258 cache-misses=0
[sample=97] cpu=0 bench=binarysearch cycles=1817 instructions=1258 cache-misses=0
[sample=98] cpu=0 bench=binarysearch cycles=1867 instructions=1258 cache-misses=2
[sample=99] cpu=0 bench=binarysearch cycles=1834 instructions=1258 cache-misses=0

# Statistics over 100 samples on cpu0 bench=binarysearch (background load on cpu1..cpu3)
# event                          min                  max                  avg               median
  cycles                        1815                 6830              2034.90              1964.00
  instructions                  1257                 1263              1258.04              1258.00
  cache-misses                     0                   15                 5.92                 6.00
