[info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=4, lock_freq_khz=1600000
# cpu0=fir2dim (measured)  cpu1=CACHE  cpu2=CACHE  cpu3=CACHE
[sample=0] cpu=0 bench=fir2dim cycles=23110 instructions=10129 cache-misses=20
[sample=1] cpu=0 bench=fir2dim cycles=14780 instructions=10118 cache-misses=10
[sample=2] cpu=0 bench=fir2dim cycles=13142 instructions=10112 cache-misses=5
[sample=3] cpu=0 bench=fir2dim cycles=13087 instructions=10111 cache-misses=6
[sample=4] cpu=0 bench=fir2dim cycles=13109 instructions=10104 cache-misses=3
[sample=5] cpu=0 bench=fir2dim cycles=12940 instructions=10106 cache-misses=3
[sample=6] cpu=0 bench=fir2dim cycles=12962 instructions=10102 cache-misses=3
[sample=7] cpu=0 bench=fir2dim cycles=12904 instructions=10100 cache-misses=3
[sample=8] cpu=0 bench=fir2dim cycles=12949 instructions=10102 cache-misses=2
[sample=9] cpu=0 bench=fir2dim cycles=12942 instructions=10103 cache-misses=3
[sample=10] cpu=0 bench=fir2dim cycles=12933 instructions=10102 cache-misses=4
[sample=11] cpu=0 bench=fir2dim cycles=12911 instructions=10104 cache-misses=2
[sample=12] cpu=0 bench=fir2dim cycles=13033 instructions=10108 cache-misses=4
[sample=13] cpu=0 bench=fir2dim cycles=12975 instructions=10105 cache-misses=0
[sample=14] cpu=0 bench=fir2dim cycles=12946 instructions=10100 cache-misses=2
[sample=15] cpu=0 bench=fir2dim cycles=12884 instructions=10100 cache-misses=2
[sample=16] cpu=0 bench=fir2dim cycles=12890 instructions=10101 cache-misses=3
[sample=17] cpu=0 bench=fir2dim cycles=12942 instructions=10103 cache-misses=4
[sample=18] cpu=0 bench=fir2dim cycles=12911 instructions=10105 cache-misses=4
[sample=19] cpu=0 bench=fir2dim cycles=12937 instructions=10106 cache-misses=2
[sample=20] cpu=0 bench=fir2dim cycles=12941 instructions=10102 cache-misses=3
[sample=21] cpu=0 bench=fir2dim cycles=12894 instructions=10100 cache-misses=1
[sample=22] cpu=0 bench=fir2dim cycles=12953 instructions=10101 cache-misses=3
[sample=23] cpu=0 bench=fir2dim cycles=12922 instructions=10104 cache-misses=3
