[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=BUS  cpu2=BUS  cpu3=BUS  cpu4=BUS
sched_setaffinity: Invalid argument
[sample=16] cpu=0 bench=adpcm_dec cycles=369242 instructions=228473 cache-misses=44
[sample=17] cpu=0 bench=adpcm_dec cycles=354411 instructions=228471 cache-misses=68
[sample=18] cpu=0 bench=adpcm_dec cycles=352134 instructions=228470 cache-misses=47
[sample=19] cpu=0 bench=adpcm_dec cycles=357463 instructions=228468 cache-misses=51
[sample=20] cpu=0 bench=adpcm_dec cycles=363032 instructions=228471 cache-misses=55
[sample=21] cpu=0 bench=adpcm_dec cycles=395514 instructions=228474 cache-misses=44
[sample=22] cpu=0 bench=adpcm_dec cycles=358417 instructions=228470 cache-misses=46
[sample=23] cpu=0 bench=adpcm_dec cycles=355119 instructions=228468 cache-misses=55
[sample=24] cpu=0 bench=adpcm_dec cycles=363070 instructions=228470 cache-misses=46
[sample=25] cpu=0 bench=adpcm_dec cycles=366641 instructions=228468 cache-misses=50
[sample=26] cpu=0 bench=adpcm_dec cycles=368179 instructions=228471 cache-misses=55
[sample=27] cpu=0 bench=adpcm_dec cycles=369009 instructions=228469 cache-misses=51
[sample=28] cpu=0 bench=adpcm_dec cycles=363194 instructions=228472 cache-misses=54
[sample=29] cpu=0 bench=adpcm_dec cycles=364221 instructions=228468 cache-misses=54
[sample=30] cpu=0 bench=adpcm_dec cycles=359111 instructions=228469 cache-misses=42
[sample=31] cpu=0 bench=adpcm_dec cycles=392926 instructions=228473 cache-misses=45
[sample=32] cpu=0 bench=adpcm_dec cycles=369781 instructions=228471 cache-misses=46
[sample=33] cpu=0 bench=adpcm_dec cycles=356211 instructions=228470 cache-misses=43
[sample=34] cpu=0 bench=adpcm_dec cycles=361845 instructions=228473 cache-misses=42
[sample=35] cpu=0 bench=adpcm_dec cycles=364281 instructions=228471 cache-misses=45
[sample=36] cpu=0 bench=adpcm_dec cycles=372376 instructions=228470 cache-misses=50
[sample=37] cpu=0 bench=adpcm_dec cycles=377050 instructions=228469 cache-misses=54
[sample=38] cpu=0 bench=adpcm_dec cycles=384649 instructions=228471 cache-misses=65
[sample=39] cpu=0 bench=adpcm_dec cycles=364420 instructions=228470 cache-misses=51
[sample=40] cpu=0 bench=adpcm_dec cycles=365873 instructions=228469 cache-misses=54
[sample=41] cpu=0 bench=adpcm_dec cycles=358921 instructions=228469 cache-misses=45
[sample=42] cpu=0 bench=adpcm_dec cycles=368314 instructions=228471 cache-misses=55
[sample=43] cpu=0 bench=adpcm_dec cycles=378825 instructions=228474 cache-misses=56
[sample=44] cpu=0 bench=adpcm_dec cycles=326888 instructions=228471 cache-misses=27
[sample=45] cpu=0 bench=adpcm_dec cycles=320030 instructions=228471 cache-misses=9
[sample=46] cpu=0 bench=adpcm_dec cycles=320081 instructions=228470 cache-misses=7
[sample=47] cpu=0 bench=adpcm_dec cycles=320305 instructions=228470 cache-misses=10
[sample=48] cpu=0 bench=adpcm_dec cycles=318153 instructions=228469 cache-misses=6
[sample=49] cpu=0 bench=adpcm_dec cycles=318382 instructions=228469 cache-misses=6
[sample=50] cpu=0 bench=adpcm_dec cycles=318660 instructions=228470 cache-misses=6
[sample=51] cpu=0 bench=adpcm_dec cycles=318185 instructions=228468 cache-misses=6
[sample=52] cpu=0 bench=adpcm_dec cycles=318289 instructions=228470 cache-misses=3
[sample=53] cpu=0 bench=adpcm_dec cycles=318650 instructions=228469 cache-misses=7
[sample=54] cpu=0 bench=adpcm_dec cycles=318045 instructions=228470 cache-misses=5
[sample=55] cpu=0 bench=adpcm_dec cycles=320103 instructions=228469 cache-misses=7
[sample=56] cpu=0 bench=adpcm_dec cycles=324266 instructions=228471 cache-misses=3
[sample=57] cpu=0 bench=adpcm_dec cycles=378366 instructions=228474 cache-misses=68
[sample=58] cpu=0 bench=adpcm_dec cycles=422366 instructions=228476 cache-misses=101
[sample=59] cpu=0 bench=adpcm_dec cycles=378682 instructions=228473 cache-misses=50
[sample=60] cpu=0 bench=adpcm_dec cycles=343593 instructions=228469 cache-misses=28
[sample=61] cpu=0 bench=adpcm_dec cycles=321526 instructions=228468 cache-misses=12
[sample=62] cpu=0 bench=adpcm_dec cycles=319684 instructions=228468 cache-misses=7
[sample=63] cpu=0 bench=adpcm_dec cycles=318474 instructions=228469 cache-misses=7
[sample=64] cpu=0 bench=adpcm_dec cycles=318305 instructions=228468 cache-misses=6
[sample=65] cpu=0 bench=adpcm_dec cycles=318222 instructions=228469 cache-misses=7
[sample=66] cpu=0 bench=adpcm_dec cycles=318409 instructions=228468 cache-misses=6
[sample=67] cpu=0 bench=adpcm_dec cycles=318366 instructions=228468 cache-misses=7
[sample=68] cpu=0 bench=adpcm_dec cycles=318208 instructions=228469 cache-misses=4
[sample=69] cpu=0 bench=adpcm_dec cycles=318361 instructions=228470 cache-misses=5
[sample=70] cpu=0 bench=adpcm_dec cycles=318332 instructions=228468 cache-misses=5
[sample=71] cpu=0 bench=adpcm_dec cycles=318310 instructions=228469 cache-misses=5
[sample=72] cpu=0 bench=adpcm_dec cycles=318244 instructions=228470 cache-misses=6
[sample=73] cpu=0 bench=adpcm_dec cycles=384760 instructions=228475 cache-misses=66
[sample=74] cpu=0 bench=adpcm_dec cycles=353718 instructions=228471 cache-misses=32
[sample=75] cpu=0 bench=adpcm_dec cycles=323207 instructions=228470 cache-misses=18
[sample=76] cpu=0 bench=adpcm_dec cycles=320053 instructions=228469 cache-misses=7
[sample=77] cpu=0 bench=adpcm_dec cycles=318196 instructions=228469 cache-misses=9
[sample=78] cpu=0 bench=adpcm_dec cycles=318238 instructions=228469 cache-misses=6
[sample=79] cpu=0 bench=adpcm_dec cycles=318820 instructions=228469 cache-misses=6
[sample=80] cpu=0 bench=adpcm_dec cycles=318202 instructions=228470 cache-misses=6
[sample=81] cpu=0 bench=adpcm_dec cycles=318226 instructions=228470 cache-misses=4
[sample=82] cpu=0 bench=adpcm_dec cycles=319327 instructions=228471 cache-misses=5
