config,adpcm_dec,binarysearch,fir2dim,fmref,iir,insertsort
CA_1M_s64_w0,1.0009,1.0700,1.0057,1.0026,0.9993,1.0613
CA_2M_s64_w0,1.0003,1.0123,1.0220,1.0028,1.0139,1.0437
CA_4M_s64_w0,1.0014,1.0820,1.0047,1.0014,1.0375,1.0844
CA_8M_s64_w0,1.0011,0.9154,0.9835,1.0009,1.0311,1.0586
CA_16M_s64_w0,1.0053,1.0722,1.0184,1.0032,1.0317,1.0032
CA_4M_s128_w0,1.0018,0.9995,1.0287,1.0011,1.0448,1.0678
CA_4M_s256_w0,1.0003,1.0533,1.0345,1.0011,1.0329,0.9844
CA_4M_s64_iter4,1.0004,1.0828,1.0255,1.0009,1.0376,1.0498
CA_4M_s64_iter16,1.0010,1.0903,1.0283,1.0007,1.0368,1.0696
CA_4M_s64_iter64,1.0002,1.0008,1.0234,1.0006,1.0053,1.0340
CA_4M_s64_w50,1.0002,1.1015,0.9737,1.0005,1.0125,0.9608
CA_4M_s64_w100,1.0019,1.0927,1.0217,1.0013,1.0325,1.0577
CA_4M_s64_fr0,1.0018,0.9962,1.0106,0.9996,0.9789,0.9914
BA_1M_t5_d333_c100,1.0010,1.0143,1.0077,1.0252,1.0302,1.0655
BA_4M_t5_d333_c100,1.0023,1.0035,1.0288,1.0039,1.0147,1.0538
BA_8M_t5_d333_c100,1.0030,1.0530,1.0201,1.0016,1.0464,1.0345
BA_16M_t5_d333_c100,1.0012,1.0789,1.0322,1.0037,1.0412,1.0551
BA_32M_t5_d333_c100,1.0007,1.0769,1.0269,1.0011,1.0206,1.0055
BA_4M_t1_d333_c100,1.0026,1.1133,1.0277,1.0001,1.0043,1.0278
BA_4M_t7_d333_c100,1.0143,1.0710,1.0287,1.0771,1.0097,1.0104
BA_4M_t8_d333_c100,1.1431,1.4392,1.0225,1.0803,1.0090,0.9889
BA_4M_d111_c100,1.0046,1.0161,0.9975,1.0012,1.0317,1.0575
BA_4M_d100_c100,1.0013,0.9965,0.9963,1.0005,1.0270,1.0545
BA_4M_d001_c100,1.0005,1.1118,1.0237,1.0004,1.0192,1.0599
BA_4M_d333_c0,1.0052,1.0093,1.0091,1.0263,1.0422,1.0435
BA_4M_d333_c100_i16,0.9988,1.1096,1.0254,1.0010,1.0131,1.0557
BA_8M_d333_c100_i16,1.0006,1.0150,0.9994,1.0025,1.0390,1.0495
PA_4K_s17_l100_i8K,1.0689,0.9224,1.0186,1.0420,1.0288,0.9854
PA_64K_s17_l100_i16K,1.0139,1.0570,1.0213,1.0441,1.0073,1.0230
PA_256K_s17_l100,1.0331,1.0818,1.0027,1.0856,1.0309,1.0405
PA_1M_s17_l100,1.2504,0.9539,1.0084,1.1253,0.9818,1.0113
PA_64K_s1_l100,1.2222,7.0694,2.5500,1.1095,4.2430,4.6346
PA_64K_s521_l100,1.0231,1.0742,0.9945,1.0457,0.9981,1.0023
PA_64K_s17_l0,1.1835,4.5020,2.8176,1.1259,4.6103,5.5686
PA_64K_s17_l50,1.1582,0.9834,1.0137,1.0180,1.0488,1.0591
PA_64K_s17_l100_cl128,1.0792,1.0066,1.0053,1.0455,0.9974,1.0581
PL_r0_p6_i4K,1.0007,1.0003,0.9981,1.0000,1.0268,1.0485
PL_r50_p6_i4K,0.9996,1.0986,0.9947,0.9999,1.0345,1.0440
PL_r100_p6_i4K,0.9996,0.9982,1.0215,0.9999,1.0231,1.0497
PL_r100_p6_i16K,1.0004,1.0122,1.0253,1.0006,1.0364,1.0654
PL_r100_p6_i64K,0.9997,0.9737,1.0160,0.9999,1.0388,1.0504
PL_r100_p2_i16K,0.9996,0.9860,1.0026,1.0000,0.9990,0.9838
PL_r100_p15_i16K,1.0000,1.0082,1.0223,0.9999,1.0007,1.0478
X_CACHE_x3,1.0025,1.0939,1.0290,1.0022,1.0278,1.0575
X_BUS_x3,1.0894,4.4407,1.0201,1.0683,1.0257,1.0548
X_POINTER_x3,1.2188,6.1775,2.3794,1.1075,1.0021,1.0041
X_PIPELINE_x3,0.9994,1.0729,1.0202,1.0001,1.0211,1.0592
X_MEM_x3,1.2930,4.0011,1.0465,1.1903,1.6473,1.7708
X_CACHE_BUS_MEM,1.3599,1.5923,1.2440,1.1659,1.0896,8.4285
X_MEM_x2_CACHE,1.3629,2.1508,2.4078,1.1303,1.1158,1.3705
X_MEM_x2_BUS,1.3835,4.6168,1.6143,1.2015,1.3669,1.4691
X_MEM_x2_POINT,1.0232,5.2047,1.2881,1.1795,2.4535,1.6065
X_MEM_BUS_x2,1.0997,6.4652,1.0004,1.1885,1.0033,5.5493
X_BUS_x2_CACHE,1.0259,1.0849,1.0246,1.0593,1.0228,1.0720
X_one_each,1.1172,1.0803,1.0290,1.0756,1.0234,1.0615
X_one_each_MEM,1.3882,1.1127,1.0458,1.2020,4.6882,1.3294
X_MEM_x4,1.1447,1.1826,1.5190,1.1778,1.5265,1.8247
X_MEM_x5,1.0321,2.4537,1.0628,1.0286,1.5776,2.1989
X_MEM_x3_BUS,1.2415,2.3228,1.3628,1.1239,2.0636,1.7285
X_MEM_x3_CACHE,1.1025,2.0591,1.6476,1.1489,1.7574,2.0046
X_BUS_x4,1.0899,0.9967,1.0009,1.0774,1.0385,1.0637
X_CACHE_x4,1.0023,1.0814,1.0284,1.0016,1.0285,1.0613
