[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=adpcm_dec (measured)  cpu1=MEM  cpu2=CACHE  cpu3=BUS  cpu4=POINTER
sched_setaffinity: Invalid argument
[sample=61] cpu=0 bench=adpcm_dec cycles=320352 instructions=228469 cache-misses=7
[sample=62] cpu=0 bench=adpcm_dec cycles=321263 instructions=228469 cache-misses=7
[sample=63] cpu=0 bench=adpcm_dec cycles=319468 instructions=228467 cache-misses=9
[sample=64] cpu=0 bench=adpcm_dec cycles=320154 instructions=228469 cache-misses=12
[sample=65] cpu=0 bench=adpcm_dec cycles=320695 instructions=228468 cache-misses=9
[sample=66] cpu=0 bench=adpcm_dec cycles=319505 instructions=228469 cache-misses=8
[sample=67] cpu=0 bench=adpcm_dec cycles=327801 instructions=228469 cache-misses=9
[sample=68] cpu=0 bench=adpcm_dec cycles=325992 instructions=228468 cache-misses=7
[sample=69] cpu=0 bench=adpcm_dec cycles=318982 instructions=228469 cache-misses=8
[sample=70] cpu=0 bench=adpcm_dec cycles=319447 instructions=228468 cache-misses=5
[sample=71] cpu=0 bench=adpcm_dec cycles=435820 instructions=228472 cache-misses=56
[sample=72] cpu=0 bench=adpcm_dec cycles=443940 instructions=228471 cache-misses=59
[sample=73] cpu=0 bench=adpcm_dec cycles=447327 instructions=228471 cache-misses=48
[sample=74] cpu=0 bench=adpcm_dec cycles=419424 instructions=228472 cache-misses=52
[sample=75] cpu=0 bench=adpcm_dec cycles=444781 instructions=228470 cache-misses=49
[sample=76] cpu=0 bench=adpcm_dec cycles=479003 instructions=228472 cache-misses=58
[sample=77] cpu=0 bench=adpcm_dec cycles=335844 instructions=228470 cache-misses=30
[sample=78] cpu=0 bench=adpcm_dec cycles=320257 instructions=228467 cache-misses=10
[sample=79] cpu=0 bench=adpcm_dec cycles=320566 instructions=228467 cache-misses=12
[sample=80] cpu=0 bench=adpcm_dec cycles=321335 instructions=228468 cache-misses=9
[sample=81] cpu=0 bench=adpcm_dec cycles=319422 instructions=228468 cache-misses=11
[sample=82] cpu=0 bench=adpcm_dec cycles=319620 instructions=228468 cache-misses=8
[sample=83] cpu=0 bench=adpcm_dec cycles=320164 instructions=228469 cache-misses=8
[sample=84] cpu=0 bench=adpcm_dec cycles=319587 instructions=228468 cache-misses=7
[sample=85] cpu=0 bench=adpcm_dec cycles=319252 instructions=228468 cache-misses=9
[sample=86] cpu=0 bench=adpcm_dec cycles=426705 instructions=228473 cache-misses=56
[sample=87] cpu=0 bench=adpcm_dec cycles=467404 instructions=228471 cache-misses=53
[sample=88] cpu=0 bench=adpcm_dec cycles=462088 instructions=228472 cache-misses=50
[sample=89] cpu=0 bench=adpcm_dec cycles=456079 instructions=228471 cache-misses=47
[sample=90] cpu=0 bench=adpcm_dec cycles=455487 instructions=228471 cache-misses=50
[sample=91] cpu=0 bench=adpcm_dec cycles=443208 instructions=228471 cache-misses=54
[sample=92] cpu=0 bench=adpcm_dec cycles=450036 instructions=228472 cache-misses=48
[sample=93] cpu=0 bench=adpcm_dec cycles=446400 instructions=228470 cache-misses=43
[sample=94] cpu=0 bench=adpcm_dec cycles=416079 instructions=228470 cache-misses=48
[sample=95] cpu=0 bench=adpcm_dec cycles=457776 instructions=228472 cache-misses=63
[sample=96] cpu=0 bench=adpcm_dec cycles=457015 instructions=228471 cache-misses=51
[sample=97] cpu=0 bench=adpcm_dec cycles=407704 instructions=228470 cache-misses=50
[sample=98] cpu=0 bench=adpcm_dec cycles=369957 instructions=228470 cache-misses=22
[sample=99] cpu=0 bench=adpcm_dec cycles=321781 instructions=228469 cache-misses=9

# Statistics over 100 samples on cpu0 bench=adpcm_dec (background load on cpu1..cpu4)
# event                          min                  max                  avg               median
  cycles                      318982               479003            416129.95            443086.00
  instructions                228467               228481            228470.88            228471.00
  cache-misses                     5                   67                42.63                50.00
