[warn] cannot read /sys/devices/system/cpu/cpu4/cpufreq/scaling_governor (errno=2: No such file or directory); cpufreq pinning skipped for cpu4
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_max_freq = 1600000 (errno=2: No such file or directory)
[warn] cannot pin /sys/devices/system/cpu/cpu4/cpufreq/scaling_min_freq = 1600000 (errno=2: No such file or directory)
[info] cpu0..cpu4 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=5, lock_freq_khz=1600000
# cpu0=fmref (measured)  cpu1=MEM  cpu2=MEM  cpu3=MEM  cpu4=MEM
sched_setaffinity: Invalid argument
[sample=17] cpu=0 bench=fmref cycles=734827 instructions=417305 cache-misses=74
[sample=18] cpu=0 bench=fmref cycles=782253 instructions=417298 cache-misses=60
[sample=19] cpu=0 bench=fmref cycles=776222 instructions=417298 cache-misses=86
[sample=20] cpu=0 bench=fmref cycles=688799 instructions=417296 cache-misses=70
[sample=21] cpu=0 bench=fmref cycles=793523 instructions=417301 cache-misses=73
[sample=22] cpu=0 bench=fmref cycles=792843 instructions=417300 cache-misses=79
[sample=23] cpu=0 bench=fmref cycles=791147 instructions=417302 cache-misses=73
[sample=24] cpu=0 bench=fmref cycles=785572 instructions=417300 cache-misses=59
[sample=25] cpu=0 bench=fmref cycles=782437 instructions=417305 cache-misses=121
[sample=26] cpu=0 bench=fmref cycles=770026 instructions=417299 cache-misses=70
[sample=27] cpu=0 bench=fmref cycles=779083 instructions=417303 cache-misses=76
[sample=28] cpu=0 bench=fmref cycles=769279 instructions=417305 cache-misses=70
[sample=29] cpu=0 bench=fmref cycles=674047 instructions=417307 cache-misses=86
[sample=30] cpu=0 bench=fmref cycles=815163 instructions=417309 cache-misses=114
[sample=31] cpu=0 bench=fmref cycles=792449 instructions=417308 cache-misses=74
[sample=32] cpu=0 bench=fmref cycles=802923 instructions=417299 cache-misses=82
[sample=33] cpu=0 bench=fmref cycles=795594 instructions=417300 cache-misses=77
[sample=34] cpu=0 bench=fmref cycles=787815 instructions=417307 cache-misses=77
[sample=35] cpu=0 bench=fmref cycles=752777 instructions=417307 cache-misses=70
[sample=36] cpu=0 bench=fmref cycles=689342 instructions=417304 cache-misses=54
[sample=37] cpu=0 bench=fmref cycles=773221 instructions=417304 cache-misses=50
[sample=38] cpu=0 bench=fmref cycles=760892 instructions=417306 cache-misses=67
[sample=39] cpu=0 bench=fmref cycles=670021 instructions=417298 cache-misses=67
[sample=40] cpu=0 bench=fmref cycles=677691 instructions=417298 cache-misses=61
[sample=41] cpu=0 bench=fmref cycles=1568480 instructions=417310 cache-misses=101
[sample=42] cpu=0 bench=fmref cycles=796773 instructions=417300 cache-misses=83
[sample=43] cpu=0 bench=fmref cycles=793530 instructions=417301 cache-misses=75
[sample=44] cpu=0 bench=fmref cycles=788542 instructions=417306 cache-misses=79
[sample=45] cpu=0 bench=fmref cycles=751986 instructions=417302 cache-misses=74
[sample=46] cpu=0 bench=fmref cycles=778991 instructions=417299 cache-misses=64
[sample=47] cpu=0 bench=fmref cycles=769787 instructions=417301 cache-misses=70
[sample=48] cpu=0 bench=fmref cycles=711873 instructions=417298 cache-misses=68
[sample=49] cpu=0 bench=fmref cycles=785002 instructions=417300 cache-misses=72
[sample=50] cpu=0 bench=fmref cycles=699162 instructions=417299 cache-misses=60
[sample=51] cpu=0 bench=fmref cycles=792182 instructions=417305 cache-misses=69
[sample=52] cpu=0 bench=fmref cycles=755481 instructions=417297 cache-misses=61
[sample=53] cpu=0 bench=fmref cycles=677849 instructions=417298 cache-misses=63
[sample=54] cpu=0 bench=fmref cycles=794406 instructions=417302 cache-misses=79
[sample=55] cpu=0 bench=fmref cycles=759185 instructions=417299 cache-misses=66
[sample=56] cpu=0 bench=fmref cycles=671646 instructions=417300 cache-misses=61
[sample=57] cpu=0 bench=fmref cycles=680532 instructions=417303 cache-misses=66
[sample=58] cpu=0 bench=fmref cycles=793319 instructions=417298 cache-misses=73
[sample=59] cpu=0 bench=fmref cycles=703636 instructions=417299 cache-misses=65
[sample=60] cpu=0 bench=fmref cycles=669156 instructions=417301 cache-misses=70
[sample=61] cpu=0 bench=fmref cycles=1318000 instructions=417296 cache-misses=60
[sample=62] cpu=0 bench=fmref cycles=771167 instructions=417297 cache-misses=62
[sample=63] cpu=0 bench=fmref cycles=771525 instructions=417295 cache-misses=73
[sample=64] cpu=0 bench=fmref cycles=735062 instructions=417301 cache-misses=80
[sample=65] cpu=0 bench=fmref cycles=767393 instructions=417308 cache-misses=83
[sample=66] cpu=0 bench=fmref cycles=754889 instructions=417296 cache-misses=63
[sample=67] cpu=0 bench=fmref cycles=723201 instructions=417300 cache-misses=62
[sample=68] cpu=0 bench=fmref cycles=781037 instructions=417302 cache-misses=65
[sample=69] cpu=0 bench=fmref cycles=760739 instructions=417298 cache-misses=64
[sample=70] cpu=0 bench=fmref cycles=755727 instructions=417299 cache-misses=69
[sample=71] cpu=0 bench=fmref cycles=879078 instructions=417309 cache-misses=121
[sample=72] cpu=0 bench=fmref cycles=818187 instructions=417304 cache-misses=85
[sample=73] cpu=0 bench=fmref cycles=814788 instructions=417303 cache-misses=84
[sample=74] cpu=0 bench=fmref cycles=675768 instructions=417303 cache-misses=48
