i,victim,triple,c_obs_med,c_solo,a_real,a_max,violation
318,epic,pm+g723_enc+dijkstra,1499490.5,1500867.0,0.0,1.0,False
319,insertsort,jfdctint+iir+h264_dec,958.0,957.0,0.0061,0.1037,False
320,binarysearch,matrix1+ammunition+test3,713.5,664.0,1.7679,1.0357,True
321,gsm_enc,quicksort+fac+matrix1,3535169.0,3527162.0,0.0,1.0,False
322,deg2rad,adpcm_enc+binarysearch+cover,3724.0,3733.5,0.0,1.0,False
323,petrinet,st+susan+lms,721.0,707.5,0.3103,0.6322,False
324,ludcmp,adpcm_enc+rad2deg+petrinet,2141.0,2147.0,-0.2609,0.0,False
325,sha,dijkstra+lms+ammunition,1469473.0,1468088.5,0.2526,13.1663,False
326,rad2deg,rad2deg+complex_updates+huff_enc,3729.0,3729.0,0.0,2.25,False
327,isqrt,mpeg2+h264_dec+dijkstra,575385.0,581086.5,0.0,1.0,False
328,complex_updates,ludcmp+gsm_enc+minver,980.0,986.0,-0.3429,5.4571,False
329,sha,iir+binarysearch+huff_enc,1473492.5,1468088.5,0.986,13.1663,False
330,filterbank,gsm_dec+fft+fac,3091940.5,3075813.5,0.3711,2.0528,False
331,ndes,bitcount+statemate+cjpeg_wrbmp,29211.5,28979.5,0.4237,0.9763,False
332,fft,gsm_dec+pm+iir,346211.5,346162.0,0.0625,4.7607,False
333,duff,ndes+g723_enc+sha,2266.5,2236.5,0.8451,0.0,True
334,rad2deg,lift+ammunition+huff_dec,3759.0,3729.0,3.75,2.25,True
335,binarysearch,fac+deg2rad+fac,666.5,664.0,0.0893,1.0357,False
336,bitonic,recursion+g723_enc+susan,6958.0,6972.5,-0.098,2.3412,False
337,insertsort,sha+adpcm_dec+ndes,978.0,957.0,0.128,0.1037,True
338,susan,jfdctint+huff_dec+gsm_dec,30853878.0,30680684.0,0.4523,1.434,False
339,anagram,cosf+isqrt+fir2dim,0,1.0,0.0,1.0,False
340,md5,rad2deg+iir+minver,18945391.0,18959441.0,-2.9585,0.0,False
341,h264_dec,rad2deg+anagram+countnegative,209521.5,226028.5,0.0,1.0,False
342,dijkstra,lift+bsort+duff,41998620.0,42009725.0,-0.3346,77.2717,False
343,h264_dec,test3+pm+iir,199943.0,226028.5,0.0,1.0,False
344,bitonic,adpcm_enc+minver+matrix1,6890.0,6972.5,-0.5574,2.3412,False
345,rijndael_enc,cubic+powerwindow+cjpeg_wrbmp,0,1.0,0.0,1.0,False
346,epic,lift+adpcm_dec+lift,1498262.5,1500867.0,0.0,1.0,False
347,gsm_dec,binarysearch+cover+st,1833662.5,1831781.5,0.2611,3.9004,False
348,bitonic,huff_dec+bitonic+mpeg2,7017.0,6972.5,0.3007,2.3412,False
349,st,cjpeg_transupp+iir+powerwindow,94735.0,94319.0,1.8697,4.8584,False
350,duff,insertsort+powerwindow+dijkstra,1770.0,2236.5,-13.1408,0.0,False
351,gsm_dec,st+huff_enc+huff_enc,1832110.5,1831781.5,0.0457,3.9004,False
352,cubic,huff_dec+lift+cjpeg_transupp,1149616.0,1146691.0,0.0,1.0,False
353,fmref,cosf+matrix1+insertsort,215384.5,214034.5,0.0,1.0,False
354,quicksort,test3+bsort+susan,2864307.0,2863682.5,0.1748,21.9323,False
355,audiobeam,dijkstra+recursion+rijndael_dec,0,1.0,0.0,1.0,False
356,statemate,gsm_dec+fft+rijndael_dec,23764.0,23773.5,-0.4634,0.0,False
357,insertsort,dijkstra+sha+adpcm_dec,973.0,957.0,0.0976,0.1037,False
358,duff,prime+epic+st,2149.5,2236.5,-2.4507,0.0,False
359,ludcmp,ludcmp+ndes+iir,2218.0,2147.0,3.087,0.0,True
360,susan,cjpeg_transupp+h264_dec+jfdctint,30860789.5,30680684.0,0.4704,1.434,False
361,huff_enc,filterbank+fft+lift,523448.0,525918.5,0.0,1.0,False
362,rad2deg,jfdctint+fmref+huff_dec,3731.5,3729.0,0.3125,2.25,False
363,fac,susan+cosf+pm,247.0,248.0,-0.1,1.2,False
364,cubic,lms+fmref+cover,1153763.0,1146691.0,0.0,1.0,False
365,statemate,recursion+gsm_dec+ammunition,23726.0,23773.5,-2.3171,0.0,False
366,fac,quicksort+huff_enc+powerwindow,259.0,248.0,1.1,1.2,False
367,rijndael_enc,fmref+fmref+ndes,0,1.0,0.0,1.0,False
368,rijndael_dec,sha+mpeg2+cjpeg_transupp,0,1.0,0.0,1.0,False
369,iir,ammunition+bsort+insertsort,1678.0,1569.5,0.5636,0.0,True
370,ludcmp,fft+susan+bitcount,2228.0,2147.0,3.5217,0.0,True
371,susan,statemate+h264_dec+bitcount,30853801.0,30680684.0,0.4521,1.434,False
372,isqrt,huff_dec+adpcm_dec+prime,578363.5,581086.5,0.0,1.0,False
373,cjpeg_transupp,gsm_dec+susan+mpeg2,2152269.5,2158442.0,-0.4581,2.7366,False
374,cjpeg_transupp,audiobeam+huff_enc+rijndael_dec,2158372.0,2158442.0,-0.0052,2.7366,False
375,deg2rad,fft+md5+pm,3710.0,3733.5,0.0,1.0,False
376,g723_enc,mpeg2+binarysearch+statemate,321172.0,319057.5,0.6659,1.5757,False
377,fft,statemate+petrinet+statemate,348397.5,346162.0,2.8226,4.7607,False
378,jfdctint,fmref+fac+minver,2819.5,2774.0,2.6,1.8571,True
379,powerwindow,test3+rad2deg+iir,773171.0,778011.5,0.0,1.0,False
380,susan,jfdctint+ammunition+md5,30597796.0,30680684.0,-0.2165,1.434,False
381,audiobeam,cubic+minver+petrinet,0,1.0,0.0,1.0,False
382,duff,cover+quicksort+binarysearch,2190.0,2236.5,-1.3099,0.0,False
383,gsm_enc,bitcount+rad2deg+minver,3533371.5,3527162.0,0.0,1.0,False
384,powerwindow,susan+bitcount+h264_dec,771528.5,778011.5,0.0,1.0,False
385,cjpeg_wrbmp,pm+epic+adpcm_enc,76360.5,74932.5,0.9426,1.2152,False
386,ammunition,fac+rijndael_dec+anagram,80702361.0,80687383.5,1.6641,41.3058,False
387,duff,filterbank+fir2dim+gsm_enc,2204.0,2236.5,-0.9155,0.0,False
388,cjpeg_transupp,cubic+isqrt+gsm_dec,2164012.5,2158442.0,0.4134,2.7366,False
389,lms,petrinet+rijndael_dec+complex_updates,158785.0,157621.5,0.8923,2.7385,False
390,cjpeg_wrbmp,complex_updates+binarysearch+md5,73270.5,74932.5,-1.097,1.2152,False
391,susan,fmref+md5+petrinet,30816639.0,30680684.0,0.3551,1.434,False
392,cubic,iir+ludcmp+cjpeg_transupp,1150225.5,1146691.0,0.0,1.0,False
393,cover,huff_dec+minver+deg2rad,3711.5,3751.5,-8.8889,0.0,False
394,huff_dec,deg2rad+ndes+adpcm_dec,0,1.0,0.0,1.0,False
395,rijndael_enc,huff_dec+duff+petrinet,0,1.0,0.0,1.0,False
396,jfdctint,cjpeg_wrbmp+audiobeam+h264_dec,2800.5,2774.0,1.5143,1.8571,False
397,filterbank,ludcmp+epic+minver,3101878.5,3075813.5,0.5997,2.0528,False
398,gsm_enc,pm+deg2rad+huff_dec,3533317.5,3527162.0,0.0,1.0,False
399,statemate,epic+cosf+fmref,23835.0,23773.5,3.0,0.0,True
400,statemate,huff_enc+bitcount+cubic,24496.5,23773.5,35.2683,0.0,True
401,fmref,lms+filterbank+lms,216463.0,214034.5,0.0,1.0,False
402,duff,pm+duff+adpcm_enc,2267.0,2236.5,0.8592,0.0,True
403,st,ndes+g723_enc+dijkstra,94583.0,94319.0,1.1865,4.8584,False
404,adpcm_dec,lms+susan+petrinet,179179.5,178541.0,0.5264,3.446,False
405,recursion,quicksort+anagram+matrix1,1293.0,1293.0,0.0,1.0,False
406,quicksort,iir+st+duff,2867112.0,2863682.5,0.96,21.9323,False
407,recursion,rijndael_enc+cover+matrix1,1293.0,1293.0,0.0,1.0,False
408,rijndael_enc,filterbank+cover+minver,0,1.0,0.0,1.0,False
409,cosf,md5+deg2rad+petrinet,14136.0,14047.0,0.0,1.0,False
410,rad2deg,prime+recursion+ndes,3742.0,3729.0,1.625,2.25,False
411,petrinet,st+bsort+minver,770.0,707.5,1.4368,0.6322,True
412,bitcount,minver+mpeg2+ammunition,13900.0,13450.0,0.7666,0.0,True
413,epic,rijndael_dec+h264_dec+ammunition,1497899.5,1500867.0,0.0,1.0,False
414,ludcmp,fir2dim+prime+bsort,2199.0,2147.0,2.2609,0.0,True
415,binarysearch,duff+fac+quicksort,666.0,664.0,0.0714,1.0357,False
416,gsm_dec,complex_updates+cosf+bsort,1831486.0,1831781.5,-0.041,3.9004,False
417,rijndael_dec,jfdctint+test3+fir2dim,0,1.0,0.0,1.0,False
418,isqrt,insertsort+dijkstra+st,576777.5,581086.5,0.0,1.0,False
419,cjpeg_wrbmp,deg2rad+sha+huff_enc,72176.0,74932.5,-1.8195,1.2152,False
420,rijndael_enc,duff+quicksort+susan,0,1.0,0.0,1.0,False
421,fft,rijndael_enc+bitonic+huff_dec,351892.5,346162.0,7.2355,4.7607,True
422,audiobeam,cjpeg_transupp+rad2deg+cover,0,1.0,0.0,1.0,False
423,susan,petrinet+prime+petrinet,30676265.5,30680684.0,-0.0115,1.434,False
424,g723_enc,statemate+rijndael_enc+lift,322708.5,319057.5,1.1497,1.5757,False
425,fir2dim,binarysearch+rijndael_dec+g723_enc,5062.5,5103.0,-0.1104,0.5967,False
426,adpcm_dec,deg2rad+jfdctint+bitonic,179240.5,178541.0,0.5767,3.446,False
427,huff_dec,fir2dim+petrinet+quicksort,0,1.0,0.0,1.0,False
428,petrinet,deg2rad+ludcmp+fmref,706.0,707.5,-0.0345,0.6322,False
429,sha,minver+fir2dim+bitcount,1470805.5,1468088.5,0.4957,13.1663,False
430,petrinet,cover+huff_enc+adpcm_enc,729.5,707.5,0.5057,0.6322,False
431,md5,test3+lift+fac,18991671.5,18959441.0,6.7868,0.0,True
432,md5,cover+mpeg2+audiobeam,18955193.5,18959441.0,-0.8944,0.0,False
433,minver,sha+huff_dec+pm,1335.0,1348.5,-1.35,0.0,False
434,epic,mpeg2+gsm_dec+bitonic,1498558.5,1500867.0,0.0,1.0,False
435,bsort,ammunition+ammunition+epic,74932.5,75039.0,0.0,1.0,False
436,iir,bitonic+bitcount+cubic,1230.0,1569.5,-1.7636,0.0,False
437,test3,jfdctint+bsort+fmref,212499309.0,217382108.0,-1.6542,0.4479,False
438,huff_dec,fir2dim+ndes+quicksort,0,1.0,0.0,1.0,False
439,pm,jfdctint+gsm_dec+ludcmp,7796764.5,7814785.0,-0.7325,2.212,False
440,quicksort,prime+cjpeg_transupp+test3,2861392.0,2863682.5,-0.6411,21.9323,False
441,gsm_dec,mpeg2+bitcount+st,1833374.5,1831781.5,0.2211,3.9004,False
442,iir,md5+gsm_dec+dijkstra,1285.5,1569.5,-1.4753,0.0,False
443,ammunition,pm+fir2dim+countnegative,80686001.5,80687383.5,-0.1535,41.3058,False
444,h264_dec,h264_dec+cubic+statemate,204640.0,226028.5,0.0,1.0,False
445,fir2dim,bitcount+petrinet+fir2dim,5523.0,5103.0,1.1444,0.5967,True
446,jfdctint,mpeg2+filterbank+anagram,2788.0,2774.0,0.8,1.8571,False
447,g723_enc,dijkstra+cosf+bitonic,324756.5,319057.5,1.7947,1.5757,True
448,statemate,sha+huff_dec+binarysearch,23783.0,23773.5,0.4634,0.0,True
449,ndes,countnegative+mpeg2+minver,29222.5,28979.5,0.4438,0.9763,False
450,matrix1,adpcm_enc+anagram+rijndael_dec,7974.0,8798.0,-2.0122,0.0,False
451,fft,cubic+bsort+rijndael_dec,348603.0,346162.0,3.0821,4.7607,False
452,lms,countnegative+audiobeam+st,157545.5,157621.5,-0.0583,2.7385,False
453,rad2deg,lift+countnegative+ludcmp,3746.0,3729.0,2.125,2.25,False
454,countnegative,sha+susan+cover,9689.5,9671.5,0.1457,0.4777,False
455,fft,recursion+cjpeg_transupp+rijndael_dec,346893.5,346162.0,0.9236,4.7607,False
456,matrix1,adpcm_dec+dijkstra+statemate,8310.0,8798.0,-1.1917,0.0,False
457,cjpeg_transupp,bsort+jfdctint+deg2rad,2150275.5,2158442.0,-0.6061,2.7366,False
458,rijndael_enc,complex_updates+bitonic+ndes,0,1.0,0.0,1.0,False
459,susan,adpcm_enc+bsort+adpcm_dec,30703542.5,30680684.0,0.0597,1.434,False
460,filterbank,rijndael_dec+rijndael_dec+cubic,3084112.5,3075813.5,0.191,2.0528,False
461,ludcmp,fac+adpcm_enc+complex_updates,2210.0,2147.0,2.7391,0.0,True
462,deg2rad,anagram+bsort+quicksort,3723.0,3733.5,0.0,1.0,False
463,gsm_dec,isqrt+bitonic+quicksort,1833917.0,1831781.5,0.2965,3.9004,False
464,audiobeam,huff_enc+h264_dec+recursion,0,1.0,0.0,1.0,False
465,fir2dim,insertsort+ludcmp+bitcount,5131.0,5103.0,0.0763,0.5967,False
466,h264_dec,insertsort+cover+md5,206599.0,226028.5,0.0,1.0,False
467,ammunition,prime+rijndael_dec+susan,80717892.5,80687383.5,3.3897,41.3058,False
468,ndes,isqrt+epic+huff_dec,29579.5,28979.5,1.0959,0.9763,True
469,mpeg2,adpcm_enc+anagram+huff_enc,262762271.5,262904752.5,-0.8592,13.4243,False
470,statemate,g723_enc+gsm_enc+petrinet,23751.5,23773.5,-1.0732,0.0,False
471,bitcount,iir+powerwindow+h264_dec,13679.0,13450.0,0.3901,0.0,True
472,audiobeam,binarysearch+fac+matrix1,0,1.0,0.0,1.0,False
473,cjpeg_transupp,audiobeam+bsort+dijkstra,2156220.0,2158442.0,-0.1649,2.7366,False
474,md5,minver+ludcmp+lift,18886184.0,18959441.0,-15.4258,0.0,False
475,powerwindow,fac+fmref+matrix1,773788.5,778011.5,0.0,1.0,False
476,isqrt,duff+huff_dec+insertsort,574436.0,581086.5,0.0,1.0,False
477,matrix1,gsm_enc+bitcount+rijndael_dec,8999.5,8798.0,0.4921,0.0,True
478,pm,bitonic+statemate+mpeg2,7823405.0,7814785.0,0.3504,2.212,False
479,mpeg2,test3+recursion+lift,262899532.5,262904752.5,-0.0315,13.4243,False
480,prime,susan+countnegative+gsm_enc,351.0,341.0,0.274,0.3973,False
481,h264_dec,test3+cover+gsm_dec,212543.5,226028.5,0.0,1.0,False
482,fft,sha+huff_dec+g723_enc,347568.0,346162.0,1.7753,4.7607,False
483,gsm_dec,prime+bitcount+fac,1831291.0,1831781.5,-0.0681,3.9004,False
484,gsm_enc,fac+ndes+deg2rad,3532210.0,3527162.0,0.0,1.0,False
485,fir2dim,cjpeg_transupp+petrinet+huff_enc,5103.0,5103.0,0.0,0.5967,False
486,audiobeam,binarysearch+st+binarysearch,0,1.0,0.0,1.0,False
487,binarysearch,gsm_enc+bitcount+quicksort,652.0,664.0,-0.4286,1.0357,False
488,quicksort,fir2dim+rijndael_enc+bsort,2865669.0,2863682.5,0.5561,21.9323,False
489,lift,anagram+ludcmp+lift,480008.0,443951.0,0.4817,0.0313,True
490,lift,fft+ndes+bitonic,447055.0,443951.0,0.0415,0.0313,True
491,gsm_dec,filterbank+susan+ndes,1835128.5,1831781.5,0.4646,3.9004,False
492,rad2deg,gsm_enc+susan+prime,3726.0,3729.0,-0.375,2.25,False
493,anagram,duff+matrix1+epic,0,1.0,0.0,1.0,False
494,filterbank,bitcount+lms+insertsort,3082134.0,3075813.5,0.1454,2.0528,False
495,countnegative,cjpeg_transupp+ndes+huff_enc,9698.5,9671.5,0.2186,0.4777,False
496,cover,statemate+bitcount+filterbank,3615.0,3751.5,-30.3333,0.0,False
497,statemate,lift+fir2dim+bitonic,23748.5,23773.5,-1.2195,0.0,False
498,rad2deg,dijkstra+lms+cover,3729.5,3729.0,0.0625,2.25,False
499,rijndael_enc,gsm_enc+statemate+lift,0,1.0,0.0,1.0,False
