i,victim,triple,c_obs_med,c_solo,a_real,a_max,violation
77,lms,lms+huff_enc+cubic,157937.5,157621.5,0.2423,2.7385,False
78,rijndael_dec,huff_enc+rijndael_enc+gsm_dec,0,1.0,0.0,1.0,False
79,cosf,bitcount+bitcount+ndes,13894.5,14047.0,0.0,1.0,False
80,gsm_enc,filterbank+gsm_enc+gsm_dec,3532855.0,3527162.0,0.0,1.0,False
81,huff_dec,susan+prime+anagram,0,1.0,0.0,1.0,False
82,petrinet,mpeg2+mpeg2+bitcount,709.0,707.5,0.0345,0.6322,False
83,anagram,g723_enc+prime+fft,0,1.0,0.0,1.0,False
84,rijndael_enc,susan+bitcount+cubic,0,1.0,0.0,1.0,False
85,cosf,cosf+jfdctint+h264_dec,13949.0,14047.0,0.0,1.0,False
86,bsort,gsm_enc+complex_updates+dijkstra,75207.0,75039.0,0.0,1.0,False
87,huff_dec,cubic+susan+audiobeam,0,1.0,0.0,1.0,False
88,h264_dec,rijndael_enc+susan+statemate,224473.5,226028.5,0.0,1.0,False
89,lift,bitcount+anagram+mpeg2,442655.5,443951.0,-0.0173,0.0313,False
90,jfdctint,st+adpcm_dec+binarysearch,2797.0,2774.0,1.3143,1.8571,False
91,rad2deg,statemate+cubic+cjpeg_wrbmp,3744.0,3729.0,1.875,2.25,False
92,gsm_dec,iir+huff_enc+countnegative,1839884.5,1831781.5,1.1249,3.9004,False
93,susan,g723_enc+anagram+cjpeg_wrbmp,30694236.0,30680684.0,0.0354,1.434,False
94,fmref,adpcm_dec+fmref+deg2rad,215030.5,214034.5,0.0,1.0,False
95,rijndael_dec,rijndael_dec+huff_dec+duff,0,1.0,0.0,1.0,False
96,gsm_enc,pm+prime+rijndael_dec,3535526.5,3527162.0,0.0,1.0,False
97,lift,ndes+powerwindow+iir,439698.5,443951.0,-0.0568,0.0313,False
98,cjpeg_transupp,cosf+duff+countnegative,2163862.0,2158442.0,0.4023,2.7366,False
99,anagram,ludcmp+quicksort+jfdctint,0,1.0,0.0,1.0,False
100,anagram,quicksort+fac+anagram,0,1.0,0.0,1.0,False
101,anagram,ludcmp+huff_enc+insertsort,0,1.0,0.0,1.0,False
102,statemate,isqrt+cjpeg_wrbmp+anagram,23783.0,23773.5,0.4634,0.0,True
103,insertsort,binarysearch+statemate+complex_updates,957.0,957.0,0.0,0.1037,False
104,audiobeam,matrix1+audiobeam+petrinet,0,1.0,0.0,1.0,False
105,susan,cubic+g723_enc+bitonic,30702070.0,30680684.0,0.0559,1.434,False
106,test3,lms+cubic+ludcmp,218527143.0,217382108.0,0.3879,0.4479,False
107,matrix1,ammunition+md5+binarysearch,8560.0,8798.0,-0.5812,0.0,False
108,gsm_dec,ndes+ludcmp+lms,1837482.5,1831781.5,0.7914,3.9004,False
109,isqrt,fac+deg2rad+countnegative,573368.0,581086.5,0.0,1.0,False
110,ndes,powerwindow+fac+cubic,29072.5,28979.5,0.1699,0.9763,False
111,deg2rad,g723_enc+bsort+ndes,3736.0,3733.5,0.0,1.0,False
112,mpeg2,epic+huff_dec+fac,262780765.0,262904752.5,-0.7477,13.4243,False
113,rad2deg,audiobeam+adpcm_dec+huff_dec,3733.0,3729.0,0.5,2.25,False
114,md5,lms+bitcount+audiobeam,19003868.0,18959441.0,9.355,0.0,True
115,jfdctint,countnegative+insertsort+deg2rad,2795.0,2774.0,1.2,1.8571,False
116,bsort,filterbank+test3+audiobeam,74880.5,75039.0,0.0,1.0,False
117,test3,cubic+fir2dim+duff,218785234.0,217382108.0,0.4753,0.4479,True
118,cjpeg_wrbmp,h264_dec+st+jfdctint,74116.0,74932.5,-0.5389,1.2152,False
119,powerwindow,epic+md5+rijndael_enc,775161.5,778011.5,0.0,1.0,False
120,mpeg2,isqrt+adpcm_dec+ndes,262818175.0,262904752.5,-0.5221,13.4243,False
121,sha,lift+epic+ndes,1460252.0,1468088.5,-1.4298,13.1663,False
122,bitcount,test3+bsort+deg2rad,12976.0,13450.0,-0.8075,0.0,False
123,bitonic,test3+bitcount+quicksort,6863.0,6972.5,-0.7399,2.3412,False
124,lift,cjpeg_transupp+dijkstra+duff,447726.0,443951.0,0.0504,0.0313,True
125,matrix1,countnegative+powerwindow+fft,7875.0,8798.0,-2.254,0.0,False
126,countnegative,petrinet+minver+statemate,9662.0,9671.5,-0.0769,0.4777,False
127,deg2rad,insertsort+iir+deg2rad,3730.0,3733.5,0.0,1.0,False
128,statemate,anagram+binarysearch+minver,23803.0,23773.5,1.439,0.0,True
129,gsm_enc,st+dijkstra+ammunition,3532102.0,3527162.0,0.0,1.0,False
130,adpcm_dec,fft+recursion+bsort,179534.5,178541.0,0.819,3.446,False
131,minver,deg2rad+cjpeg_wrbmp+quicksort,1347.5,1348.5,-0.1,0.0,False
132,h264_dec,lift+powerwindow+gsm_enc,211582.5,226028.5,0.0,1.0,False
133,lift,adpcm_dec+bitonic+audiobeam,450629.5,443951.0,0.0892,0.0313,True
134,test3,pm+cjpeg_transupp+jfdctint,218677634.0,217382108.0,0.4389,0.4479,False
135,ammunition,st+fir2dim+ludcmp,80684967.5,80687383.5,-0.2684,41.3058,False
136,lift,cjpeg_transupp+gsm_enc+bsort,486004.5,443951.0,0.5618,0.0313,True
137,ammunition,epic+fir2dim+rijndael_dec,80696550.5,80687383.5,1.0185,41.3058,False
138,susan,ammunition+filterbank+countnegative,30835472.5,30680684.0,0.4043,1.434,False
139,petrinet,cubic+ndes+bitcount,722.0,707.5,0.3333,0.6322,False
140,filterbank,recursion+lift+test3,3109074.5,3075813.5,0.7653,2.0528,False
141,susan,gsm_dec+md5+quicksort,30837782.5,30680684.0,0.4103,1.434,False
142,cjpeg_transupp,cubic+susan+cjpeg_wrbmp,2165252.0,2158442.0,0.5054,2.7366,False
143,rijndael_enc,rijndael_enc+complex_updates+test3,0,1.0,0.0,1.0,False
144,gsm_dec,adpcm_enc+complex_updates+quicksort,1833761.5,1831781.5,0.2749,3.9004,False
145,fft,rijndael_dec+gsm_dec+rijndael_enc,349244.5,346162.0,3.892,4.7607,False
146,ndes,susan+quicksort+rijndael_enc,29426.0,28979.5,0.8155,0.9763,False
147,cubic,dijkstra+cjpeg_wrbmp+rijndael_dec,1147863.0,1146691.0,0.0,1.0,False
148,pm,bitcount+fmref+susan,7884247.5,7814785.0,2.8233,2.212,True
149,ammunition,statemate+huff_enc+cover,80712673.0,80687383.5,2.8098,41.3058,False
150,cosf,sha+huff_dec+filterbank,14009.0,14047.0,0.0,1.0,False
151,epic,sha+rijndael_dec+susan,1496698.0,1500867.0,0.0,1.0,False
152,cover,cover+adpcm_enc+ndes,3696.0,3751.5,-12.3333,0.0,False
153,cosf,g723_enc+fft+dijkstra,14099.0,14047.0,0.0,1.0,False
154,susan,audiobeam+recursion+dijkstra,30833816.5,30680684.0,0.3999,1.434,False
155,filterbank,mpeg2+insertsort+g723_enc,3095563.0,3075813.5,0.4544,2.0528,False
