t_s,victim,c_obs,rampart_full,ratio,violation
2380.9,fac,7550.5,2439.197,3.0955,True
2381.27,fir2dim,17953.5,14991.022,1.1976,True
2381.68,fmref,740941.5,727400.933,1.0186,True
2382.04,cosf,39412.0,59951.826,0.6574,False
2396.72,test3,886871646.5,877025267.452,1.0112,True
2397.1,jfdctint,28004.0,25117.031,1.1149,True
2397.46,fac,4596.5,2439.197,1.8844,True
2397.83,fir2dim,26284.0,14991.022,1.7533,True
2398.22,fmref,746868.5,727400.933,1.0268,True
2398.59,cosf,59456.5,59951.826,0.9917,False
2412.02,test3,902275079.0,877025267.452,1.0288,True
2412.42,jfdctint,33623.5,25117.031,1.3387,True
2412.79,fac,4788.5,2439.197,1.9631,True
2413.15,fir2dim,35184.0,14991.022,2.347,True
2413.54,fmref,741440.0,727400.933,1.0193,True
2413.91,cosf,50689.5,59951.826,0.8455,False
2427.1,test3,911163871.5,877025267.452,1.0389,True
2427.46,jfdctint,19559.5,25117.031,0.7787,False
2427.83,fac,6350.5,2439.197,2.6035,True
2428.19,fir2dim,13892.0,14991.022,0.9267,False
2428.61,fmref,742925.0,727400.933,1.0213,True
2428.97,cosf,32194.0,59951.826,0.537,False
2442.83,test3,881840271.5,877025267.452,1.0055,True
2443.22,jfdctint,31980.5,25117.031,1.2733,True
2443.58,fac,5975.0,2439.197,2.4496,True
2443.97,fir2dim,26770.5,14991.022,1.7858,True
2444.38,fmref,753755.5,727400.933,1.0362,True
2444.78,cosf,52889.5,59951.826,0.8822,False
2459.11,test3,926008627.0,877025267.452,1.0559,True
2459.5,jfdctint,46674.0,25117.031,1.8583,True
2459.87,fac,11140.5,2439.197,4.5673,True
2460.27,fir2dim,29126.0,14991.022,1.9429,True
2460.65,fmref,679603.0,727400.933,0.9343,False
2461.02,cosf,32959.0,59951.826,0.5498,False
2474.32,test3,879740020.5,877025267.452,1.0031,True
2474.72,jfdctint,27380.5,25117.031,1.0901,True
2475.09,fac,1539.0,2439.197,0.6309,False
2475.46,fir2dim,14565.5,14991.022,0.9716,False
2475.86,fmref,734251.0,727400.933,1.0094,True
2476.24,cosf,54534.0,59951.826,0.9096,False
2490.08,test3,890611647.5,877025267.452,1.0155,True
2490.44,jfdctint,21993.5,25117.031,0.8756,False
2490.81,fac,7149.0,2439.197,2.9309,True
2491.2,fir2dim,29344.5,14991.022,1.9575,True
2491.59,fmref,748389.0,727400.933,1.0289,True
2491.96,cosf,31010.0,59951.826,0.5172,False
2505.04,test3,872226695.5,877025267.452,0.9945,False
2505.53,jfdctint,9915.0,25117.031,0.3948,False
2506.01,fac,859.5,2439.197,0.3524,False
2506.45,fir2dim,14076.5,14991.022,0.939,False
2506.92,fmref,706461.5,727400.933,0.9712,False
2507.36,cosf,30982.0,59951.826,0.5168,False
2521.47,test3,877395622.5,877025267.452,1.0004,True
2521.86,jfdctint,44560.5,25117.031,1.7741,True
2522.23,fac,3138.0,2439.197,1.2865,True
2522.63,fir2dim,30563.5,14991.022,2.0388,True
2523.03,fmref,745092.0,727400.933,1.0243,True
2523.39,cosf,39387.5,59951.826,0.657,False
2537.51,test3,888736820.5,877025267.452,1.0134,True
2537.87,jfdctint,27760.0,25117.031,1.1052,True
2538.23,fac,6570.0,2439.197,2.6935,True
2538.58,fir2dim,24574.5,14991.022,1.6393,True
2538.98,fmref,755265.0,727400.933,1.0383,True
2539.34,cosf,33243.5,59951.826,0.5545,False
2552.73,test3,917264937.5,877025267.452,1.0459,True
2553.13,jfdctint,38709.0,25117.031,1.5411,True
2553.49,fac,5591.0,2439.197,2.2921,True
2553.85,fir2dim,13912.5,14991.022,0.9281,False
2554.23,fmref,734180.5,727400.933,1.0093,True
2554.6,cosf,32344.0,59951.826,0.5395,False
