t_s,release,victim,injected,c_obs,rampart_full,deadline_miss,shield_recovered
3462.55,337,fmref,False,743442.5,727400.933,True,
3462.93,338,cosf,False,32151.0,59951.826,False,
3521.84,339,test3,False,887976622.0,877025267.452,True,
3522.22,340,jfdctint,False,9176.5,25117.031,False,
3522.59,341,fac,False,892.5,2439.197,False,
3522.96,342,fir2dim,False,13275.5,14991.022,False,
3523.49,343,fmref,False,740941.0,727400.933,True,
3523.86,344,cosf,False,32181.5,59951.826,False,
3586.08,345,test3,False,938009618.0,877025267.452,True,
3586.45,346,jfdctint,False,9268.5,25117.031,False,
3586.82,347,fac,False,872.5,2439.197,False,
3587.2,348,fir2dim,False,13873.0,14991.022,False,
3587.73,349,fmref,False,741420.0,727400.933,True,
3588.1,350,cosf,False,32152.5,59951.826,False,
3646.27,351,test3,False,871750491.5,877025267.452,False,
3646.65,352,jfdctint,False,9105.0,25117.031,False,
3647.02,353,fac,False,1055.0,2439.197,False,
3647.44,354,fir2dim,False,13108.0,14991.022,False,
3647.96,355,fmref,False,742859.5,727400.933,True,
3648.36,356,cosf,False,32563.0,59951.826,False,
3706.71,357,test3,False,883566770.5,877025267.452,True,
3707.08,358,jfdctint,False,9124.0,25117.031,False,
3707.45,359,fac,False,764.5,2439.197,False,
3707.83,360,fir2dim,False,13963.0,14991.022,False,
3708.35,361,fmref,False,740310.5,727400.933,True,
3708.74,362,cosf,False,32599.0,59951.826,False,
3769.5,363,test3,False,922481048.5,877025267.452,True,
3769.87,364,jfdctint,False,9027.5,25117.031,False,
3770.25,365,fac,False,1028.0,2439.197,False,
3770.63,366,fir2dim,False,13984.0,14991.022,False,
3771.16,367,fmref,False,738809.0,727400.933,True,
3771.54,368,cosf,False,32078.5,59951.826,False,
3829.67,369,test3,False,873138692.5,877025267.452,False,
3830.04,370,jfdctint,False,9212.0,25117.031,False,
3830.42,371,fac,False,908.5,2439.197,False,
3830.82,372,fir2dim,False,13139.0,14991.022,False,
3831.34,373,fmref,False,739477.5,727400.933,True,
3831.72,374,cosf,False,31893.5,59951.826,False,
3893.5,375,test3,False,902911136.0,877025267.452,True,
3893.87,376,jfdctint,False,9139.5,25117.031,False,
3894.24,377,fac,False,945.5,2439.197,False,
3894.62,378,fir2dim,False,13724.0,14991.022,False,
3895.03,379,fmref,False,677115.0,727400.933,False,
3895.4,380,cosf,False,31214.5,59951.826,False,
3954.93,381,test3,False,880130070.0,877025267.452,True,
3955.31,382,jfdctint,False,9197.5,25117.031,False,
3955.68,383,fac,False,927.0,2439.197,False,
3956.08,384,fir2dim,False,13217.0,14991.022,False,
3956.62,385,fmref,False,749260.0,727400.933,True,
3957.0,386,cosf,False,31534.0,59951.826,False,
4016.24,387,test3,False,873763783.5,877025267.452,False,
4016.61,388,jfdctint,False,8968.5,25117.031,False,
4016.99,389,fac,False,1046.0,2439.197,False,
4017.38,390,fir2dim,False,13177.0,14991.022,False,
4017.85,391,fmref,False,690652.5,727400.933,False,
4018.25,392,cosf,False,31394.5,59951.826,False,
4076.55,393,test3,False,868812844.5,877025267.452,False,
4076.93,394,jfdctint,False,9317.5,25117.031,False,
4077.3,395,fac,False,741.0,2439.197,False,
4077.69,396,fir2dim,False,12952.0,14991.022,False,
4078.22,397,fmref,False,746241.0,727400.933,True,
4078.6,398,cosf,False,32440.0,59951.826,False,
4140.8,399,test3,False,930917895.0,877025267.452,True,
4141.18,400,jfdctint,False,8820.5,25117.031,False,
4141.54,401,fac,False,680.5,2439.197,False,
4141.92,402,fir2dim,False,13531.5,14991.022,False,
4142.45,403,fmref,False,746655.0,727400.933,True,
4142.82,404,cosf,False,32160.0,59951.826,False,
4200.6,405,test3,False,862395619.5,877025267.452,False,
4200.97,406,jfdctint,False,9189.5,25117.031,False,
4201.34,407,fac,False,970.0,2439.197,False,
4201.72,408,fir2dim,False,13800.5,14991.022,False,
4202.14,409,fmref,False,680569.5,727400.933,False,
4202.52,410,cosf,False,32326.5,59951.826,False,
4263.82,411,test3,False,914066899.0,877025267.452,True,
4264.2,412,jfdctint,False,9245.0,25117.031,False,
4264.57,413,fac,False,963.0,2439.197,False,
4264.95,414,fir2dim,False,13500.5,14991.022,False,
4265.36,415,fmref,False,679536.5,727400.933,False,
4265.74,416,cosf,False,32441.0,59951.826,False,
4324.27,417,test3,False,888667585.0,877025267.452,True,
4324.64,418,jfdctint,False,8837.0,25117.031,False,
4325.01,419,fac,False,919.0,2439.197,False,
4325.42,420,fir2dim,False,13137.5,14991.022,False,
4325.95,421,fmref,False,739200.0,727400.933,True,
4326.33,422,cosf,False,32769.5,59951.826,False,
4384.53,423,test3,False,873014057.5,877025267.452,False,
4384.9,424,jfdctint,False,8739.0,25117.031,False,
4385.28,425,fac,False,1071.0,2439.197,False,
4385.67,426,fir2dim,False,13672.0,14991.022,False,
4386.21,427,fmref,False,747840.5,727400.933,True,
4386.6,428,cosf,False,31701.5,59951.826,False,
4446.43,429,test3,False,893181384.0,877025267.452,True,
4446.8,430,jfdctint,False,8512.0,25117.031,False,
4447.18,431,fac,False,960.0,2439.197,False,
4447.55,432,fir2dim,False,13316.5,14991.022,False,
4448.07,433,fmref,False,742558.5,727400.933,True,
4448.46,434,cosf,False,32900.5,59951.826,False,
4508.14,435,test3,False,899531761.0,877025267.452,True,
4508.51,436,jfdctint,False,9024.0,25117.031,False,
4508.88,437,fac,False,882.0,2439.197,False,
4509.25,438,fir2dim,False,14004.0,14991.022,False,
4509.79,439,fmref,False,745075.0,727400.933,True,
4510.17,440,cosf,False,32516.0,59951.826,False,
4572.63,441,test3,False,921747724.5,877025267.452,True,
4573.01,442,jfdctint,False,9075.0,25117.031,False,
4573.36,443,fac,False,730.0,2439.197,False,
4573.74,444,fir2dim,False,13669.5,14991.022,False,
4574.27,445,fmref,False,745338.5,727400.933,True,
4574.65,446,cosf,False,31697.0,59951.826,False,
4634.48,447,test3,False,877249072.0,877025267.452,True,
4634.84,448,jfdctint,False,8564.5,25117.031,False,
4635.21,449,fac,False,997.5,2439.197,False,
4635.59,450,fir2dim,False,12928.0,14991.022,False,
4636.12,451,fmref,False,744372.0,727400.933,True,
4636.51,452,cosf,False,32543.5,59951.826,False,
4695.83,453,test3,False,875214373.5,877025267.452,False,
4696.21,454,jfdctint,False,9084.0,25117.031,False,
4696.59,455,fac,False,814.5,2439.197,False,
4697.0,456,fir2dim,False,13345.5,14991.022,False,
4697.53,457,fmref,False,740990.0,727400.933,True,
4697.91,458,cosf,False,32536.5,59951.826,False,
4764.35,459,test3,False,976925469.5,877025267.452,True,
4764.73,460,jfdctint,False,9086.0,25117.031,False,
4765.1,461,fac,False,794.5,2439.197,False,
4765.51,462,fir2dim,False,13290.5,14991.022,False,
4766.04,463,fmref,False,736669.0,727400.933,True,
4766.42,464,cosf,False,32199.5,59951.826,False,
4825.98,465,test3,False,877738860.0,877025267.452,True,
4826.36,466,jfdctint,False,9142.5,25117.031,False,
4826.73,467,fac,False,1067.0,2439.197,False,
4827.16,468,fir2dim,False,13835.5,14991.022,False,
4827.69,469,fmref,False,742496.5,727400.933,True,
4828.07,470,cosf,False,32513.0,59951.826,False,
4887.72,471,test3,False,879878561.5,877025267.452,True,
4888.1,472,jfdctint,False,9270.0,25117.031,False,
4888.47,473,fac,False,880.0,2439.197,False,
4888.89,474,fir2dim,False,13133.0,14991.022,False,
4889.42,475,fmref,False,746710.0,727400.933,True,
4889.8,476,cosf,False,31223.0,59951.826,False,
4948.5,477,test3,False,874537688.0,877025267.452,False,
4948.87,478,jfdctint,False,9235.0,25117.031,False,
4949.25,479,fac,False,948.5,2439.197,False,
4949.64,480,fir2dim,False,13216.5,14991.022,False,
4950.17,481,fmref,False,739834.5,727400.933,True,
4950.55,482,cosf,False,31753.5,59951.826,False,
5014.04,483,test3,False,945119392.5,877025267.452,True,
5014.42,484,jfdctint,False,9340.5,25117.031,False,
5014.79,485,fac,False,947.0,2439.197,False,
5015.17,486,fir2dim,False,13788.5,14991.022,False,
5015.7,487,fmref,False,740663.5,727400.933,True,
5016.09,488,cosf,False,32279.0,59951.826,False,
5074.93,489,test3,False,868374408.0,877025267.452,False,
5075.3,490,jfdctint,False,8743.0,25117.031,False,
5075.67,491,fac,False,783.0,2439.197,False,
5076.07,492,fir2dim,False,13721.5,14991.022,False,
5076.6,493,fmref,False,741566.0,727400.933,True,
5076.98,494,cosf,False,31983.5,59951.826,False,
5136.37,495,test3,False,875564971.0,877025267.452,False,
5136.75,496,jfdctint,False,8939.5,25117.031,False,
5137.14,497,fac,False,842.5,2439.197,False,
5137.54,498,fir2dim,False,13126.0,14991.022,False,
5138.08,499,fmref,False,738430.0,727400.933,True,
5138.55,500,cosf,True,34750.0,59951.826,False,
5198.12,501,test3,False,877859510.5,877025267.452,True,False
5198.5,502,jfdctint,False,9111.5,25117.031,False,
5198.87,503,fac,False,888.0,2439.197,False,
5199.28,504,fir2dim,False,12868.5,14991.022,False,
5199.81,505,fmref,False,757932.0,727400.933,True,
5200.18,506,cosf,False,31366.0,59951.826,False,
5258.09,507,test3,False,869966838.0,877025267.452,False,
