bench,config,n,theta_LLC,theta_BUS,theta_MEM,cycles_med,cycles_max,inst_med,miss_med,miss_max
cubic,MEM,100,PR_CACHE,BUS,PR_ROWBUF,1139234.5,1176893.0,1457215.0,1.0,12.0
cubic,Mix,100,PR_CACHE,BUS,PR_ROWBUF,1160878.5,1213506.0,1457215.0,11.0,27.0
deg2rad,Solo,100,CACHE,MTH_BUS,MEM,3733.5,6145.0,11623.0,1.0,3.0
deg2rad,LLC,100,CACHE,MTH_BUS,MEM,3720.5,5116.0,11623.0,1.0,3.0
deg2rad,BUS,100,CACHE,MTH_BUS,MEM,3706.0,5242.0,11623.0,0.0,4.0
deg2rad,MEM,100,CACHE,MTH_BUS,MEM,3713.5,7989.0,11623.0,0.0,3.0
deg2rad,Mix,100,CACHE,MTH_BUS,MEM,3725.0,7632.0,11623.0,0.0,2.0
dijkstra,Solo,100,PR_CACHE,MTH_BUS,PR_ROWBUF,42009725.0,42095868.0,82753779.0,977.5,1408.0
dijkstra,LLC,100,PR_CACHE,MTH_BUS,PR_ROWBUF,42007625.5,42087741.0,82753779.0,848.5,2544.0
dijkstra,BUS,100,PR_CACHE,MTH_BUS,PR_ROWBUF,42042918.5,42165113.0,82753779.0,764.5,2428.0
dijkstra,MEM,100,PR_CACHE,MTH_BUS,PR_ROWBUF,41982875.5,42034310.0,82753779.0,909.0,1597.0
dijkstra,Mix,100,PR_CACHE,MTH_BUS,PR_ROWBUF,44574643.5,45501632.0,82753779.0,5573.0,6155.0
duff,Solo,100,CACHE,BUS,MEM,2236.5,3802.0,3908.0,0.0,6.0
duff,LLC,100,CACHE,BUS,MEM,2244.5,3897.0,3908.0,0.0,5.0
duff,BUS,100,CACHE,BUS,MEM,2216.5,4441.0,3908.0,0.0,5.0
duff,MEM,100,CACHE,BUS,MEM,2264.0,11987.0,3908.0,0.0,6.0
duff,Mix,100,CACHE,BUS,MEM,2196.0,13301.0,3908.0,0.0,6.0
epic,Solo,100,PR_CACHE,BUS,PR_ROWBUF,1500867.0,1506168.0,4321661.0,113.0,522.0
epic,LLC,100,PR_CACHE,BUS,PR_ROWBUF,1496741.5,1503790.0,4321661.0,123.0,501.0
