victim,i,triple,c_obs,rampart_add,rampart_full,violates_add,violates_full
anagram,11,insertsort+matrix1+cosf,0,0.0,0.0,False,False
anagram,12,cjpeg_transupp+fir2dim+rad2deg,0,0.0,0.0,False,False
anagram,13,cjpeg_wrbmp+jfdctint+recursion,0,0.0,0.0,False,False
anagram,14,isqrt+adpcm_dec+matrix1,0,0.0,0.0,False,False
anagram,15,fac+iir+adpcm_enc,0,0.0,0.0,False,False
anagram,16,bitonic+fir2dim+test3,0,0.0,0.0,False,False
anagram,17,st+rijndael_enc+epic,0,0.0,0.0,False,False
anagram,18,cubic+anagram+test3,0,0.0,0.0,False,False
anagram,19,lms+binarysearch+prime,0,0.0,0.0,False,False
audiobeam,0,iir+sha+audiobeam,0,0.0,0.0,False,False
audiobeam,1,rad2deg+jfdctint+recursion,0,0.0,0.0,False,False
audiobeam,2,bsort+ndes+huff_enc,0,0.0,0.0,False,False
audiobeam,3,lift+cjpeg_wrbmp+deg2rad,0,0.0,0.0,False,False
audiobeam,4,isqrt+susan+matrix1,0,0.0,0.0,False,False
audiobeam,5,gsm_enc+countnegative+jfdctint,0,0.0,0.0,False,False
audiobeam,6,rad2deg+prime+pm,0,0.0,0.0,False,False
audiobeam,7,cosf+powerwindow+epic,0,0.0,0.0,False,False
audiobeam,8,g723_enc+ndes+mpeg2,0,0.0,0.0,False,False
audiobeam,9,fir2dim+h264_dec+isqrt,0,0.0,0.0,False,False
audiobeam,10,h264_dec+bitonic+cubic,0,0.0,0.0,False,False
audiobeam,11,cover+audiobeam+fft,0,0.0,0.0,False,False
audiobeam,12,adpcm_enc+ludcmp+lift,0,0.0,0.0,False,False
audiobeam,13,cover+ludcmp+adpcm_dec,0,0.0,0.0,False,False
audiobeam,14,audiobeam+powerwindow+minver,0,0.0,0.0,False,False
audiobeam,15,anagram+cover+audiobeam,0,0.0,0.0,False,False
audiobeam,16,ammunition+susan+fft,0,0.0,0.0,False,False
audiobeam,17,audiobeam+insertsort+cubic,0,0.0,0.0,False,False
audiobeam,18,dijkstra+ndes+iir,0,0.0,0.0,False,False
audiobeam,19,countnegative+jfdctint+bsort,0,0.0,0.0,False,False
binarysearch,0,prime+test3+lms,678.0,705.8,706.9,False,False
binarysearch,1,lms+huff_enc+cubic,673.0,705.8,706.9,False,False
binarysearch,2,rijndael_dec+huff_enc+rijndael_enc,665.5,705.8,706.9,False,False
binarysearch,3,gsm_dec+cosf+bitcount,693.0,705.8,706.9,False,False
binarysearch,4,bitcount+ndes+gsm_enc,669.0,705.8,706.9,False,False
binarysearch,5,filterbank+gsm_enc+gsm_dec,667.0,705.8,706.9,False,False
binarysearch,6,huff_dec+susan+prime,659.0,705.8,706.9,False,False
binarysearch,7,anagram+petrinet+mpeg2,680.0,705.8,706.9,False,False
binarysearch,8,mpeg2+bitcount+anagram,681.5,705.8,706.9,False,False
binarysearch,9,g723_enc+prime+fft,683.5,705.8,706.9,False,False
binarysearch,10,rijndael_enc+susan+bitcount,685.5,705.8,706.9,False,False
binarysearch,11,cubic+cosf+jfdctint,704.0,705.8,706.9,False,False
binarysearch,12,h264_dec+bsort+gsm_enc,673.0,705.8,706.9,False,False
binarysearch,13,complex_updates+dijkstra+huff_dec,680.0,705.8,706.9,False,False
binarysearch,14,cubic+susan+audiobeam,684.0,705.8,706.9,False,False
binarysearch,15,h264_dec+rijndael_enc+susan,677.0,705.8,706.9,False,False
binarysearch,16,statemate+lift+bitcount,674.0,705.8,706.9,False,False
binarysearch,17,anagram+mpeg2+jfdctint,680.5,705.8,706.9,False,False
binarysearch,18,st+adpcm_dec+binarysearch,694.0,705.8,706.9,False,False
binarysearch,19,rad2deg+statemate+cubic,722.0,705.8,706.9,True,True
bitcount,0,cjpeg_wrbmp+gsm_dec+iir,13701.0,14317.7,14317.7,False,False
bitcount,1,huff_enc+countnegative+susan,13648.0,14317.7,14317.7,False,False
bitcount,2,g723_enc+anagram+cjpeg_wrbmp,13616.5,14317.7,14317.7,False,False
bitcount,3,fmref+adpcm_dec+deg2rad,13729.5,14317.7,14317.7,False,False
bitcount,4,rijndael_dec+huff_dec+duff,13609.5,14317.7,14317.7,False,False
bitcount,5,gsm_enc+pm+prime,13514.0,14317.7,14317.7,False,False
bitcount,6,rijndael_dec+lift+ndes,13377.5,14317.7,14317.7,False,False
bitcount,7,powerwindow+iir+cjpeg_transupp,13760.5,14317.7,14317.7,False,False
bitcount,8,cosf+duff+countnegative,13713.0,14317.7,14317.7,False,False
bitcount,9,anagram+ludcmp+quicksort,13592.0,14317.7,14317.7,False,False
bitcount,10,jfdctint+anagram+quicksort,13564.5,14317.7,14317.7,False,False
bitcount,11,fac+anagram+ludcmp,13527.0,14317.7,14317.7,False,False
bitcount,12,huff_enc+insertsort+statemate,13628.0,14317.7,14317.7,False,False
bitcount,13,isqrt+cjpeg_wrbmp+anagram,13634.5,14317.7,14317.7,False,False
bitcount,14,insertsort+binarysearch+statemate,13723.0,14317.7,14317.7,False,False
bitcount,15,complex_updates+audiobeam+matrix1,13606.5,14317.7,14317.7,False,False
bitcount,16,audiobeam+petrinet+susan,13706.5,14317.7,14317.7,False,False
bitcount,17,cubic+g723_enc+bitonic,13634.5,14317.7,14317.7,False,False
bitcount,18,test3+lms+cubic,13634.0,14317.7,14317.7,False,False
bitcount,19,ludcmp+matrix1+ammunition,13249.5,14317.7,14317.7,False,False
bitonic,0,md5+binarysearch+gsm_dec,7121.0,7262.9,7465.4,False,False
bitonic,1,ndes+ludcmp+lms,6983.5,7262.9,7465.4,False,False
bitonic,2,isqrt+fac+deg2rad,7200.5,7262.9,7465.4,False,False
bitonic,3,countnegative+ndes+powerwindow,7046.5,7262.9,7465.4,False,False
bitonic,4,fac+cubic+deg2rad,6944.0,7262.9,7465.4,False,False
bitonic,5,g723_enc+bsort+ndes,7154.0,7262.9,7465.4,False,False
bitonic,6,mpeg2+epic+huff_dec,6898.0,7262.9,7465.4,False,False
bitonic,7,fac+rad2deg+audiobeam,7143.5,7262.9,7465.4,False,False
bitonic,8,adpcm_dec+huff_dec+md5,6905.0,7262.9,7465.4,False,False
bitonic,9,lms+bitcount+audiobeam,6907.5,7262.9,7465.4,False,False
bitonic,10,jfdctint+countnegative+insertsort,6931.5,7262.9,7465.4,False,False
bitonic,11,deg2rad+bsort+filterbank,7102.0,7262.9,7465.4,False,False
bitonic,12,test3+audiobeam+cubic,7085.0,7262.9,7465.4,False,False
bitonic,13,fir2dim+duff+cjpeg_wrbmp,7023.5,7262.9,7465.4,False,False
bitonic,14,h264_dec+st+jfdctint,6971.0,7262.9,7465.4,False,False
bitonic,15,powerwindow+epic+md5,6882.0,7262.9,7465.4,False,False
bitonic,16,rijndael_enc+mpeg2+isqrt,6978.5,7262.9,7465.4,False,False
bitonic,17,adpcm_dec+ndes+sha,6953.0,7262.9,7465.4,False,False
bitonic,18,lift+epic+ndes,6963.0,7262.9,7465.4,False,False
bitonic,19,bitcount+test3+bsort,6989.5,7262.9,7465.4,False,False
