bench,channel,theta_star,alpha_max,R,n_evals,converged,lipschitz_alpha
dijkstra,BUS,MTH_BUS,7.8e-05,150,4,True,2.6e-05
dijkstra,MEM,PR_ROWBUF,0.000146,150,4,True,0.000114
duff,LLC,CACHE,0.0,150,4,True,0.0
duff,BUS,BUS,0.0,150,4,True,0.0
duff,MEM,MEM,0.0,150,4,True,0.0
epic,LLC,PR_CACHE,0.000256,150,4,True,2.3e-05
epic,BUS,BUS,0.000325,150,4,True,9.2e-05
epic,MEM,PR_ROWBUF,0.000363,150,4,True,0.000151
fac,LLC,CACHE,0.0,150,4,True,0.0
fac,BUS,BUS,0.0,150,4,True,0.0
fac,MEM,MEM,0.0,150,4,True,0.0
fft,LLC,MTH_CACHE,0.000559,150,4,True,6.7e-05
fft,BUS,BUS,0.000607,150,4,True,8e-05
fft,MEM,PR_ROWBUF,0.000605,150,4,True,6e-05
filterbank,LLC,MTH_CACHE,5.9e-05,150,4,True,1.6e-05
filterbank,BUS,BUS,5.1e-05,150,4,True,2.1e-05
filterbank,MEM,PR_ROWBUF,6.1e-05,150,4,True,3.5e-05
fir2dim,LLC,PR_CACHE,0.000403,150,4,True,0.000218
fir2dim,BUS,BUS,0.0,150,4,True,0.0
fir2dim,MEM,MEM,0.000182,150,4,True,0.000182
fmref,LLC,CACHE,0.000237,150,4,True,6.4e-05
fmref,BUS,BUS,0.00036,150,4,True,7.6e-05
fmref,MEM,MEM,0.000338,150,4,True,0.000134
g723_enc,LLC,CACHE,6.5e-05,150,4,True,3e-06
g723_enc,BUS,BUS,7.3e-05,150,4,True,1.1e-05
g723_enc,MEM,PR_ROWBUF,7.7e-05,150,4,True,1.8e-05
gsm_dec,LLC,MTH_CACHE,6.5e-05,150,4,True,1e-05
gsm_dec,BUS,BUS,6.2e-05,150,4,True,1.7e-05
gsm_dec,MEM,PR_ROWBUF,8.6e-05,150,4,True,5.2e-05
gsm_enc,LLC,MTH_CACHE,4.8e-05,150,4,True,8e-06
gsm_enc,BUS,BUS,3.7e-05,150,4,True,1.1e-05
gsm_enc,MEM,PR_ROWBUF,4.1e-05,150,4,True,2.1e-05
h264_dec,LLC,CACHE,0.000616,150,4,True,0.000196
h264_dec,BUS,PR_MEMBUS,0.000611,150,4,True,0.000134
h264_dec,MEM,PR_ROWBUF,0.000595,150,4,True,6.1e-05
huff_dec,LLC,CACHE,0.0,150,4,True,0.0
huff_dec,BUS,BUS,0.0,150,4,True,0.0
huff_dec,MEM,MEM,0.0,150,4,True,0.0
huff_enc,LLC,MTH_CACHE,0.000431,150,4,True,4.6e-05
huff_enc,BUS,BUS,0.000473,150,4,True,5.8e-05
huff_enc,MEM,PR_ROWBUF,0.000499,150,4,True,6.1e-05
iir,LLC,CACHE,0.0,150,4,True,0.0
iir,BUS,BUS,0.0,150,4,True,0.0
iir,MEM,MEM,0.0,150,4,True,0.0
insertsort,LLC,CACHE,0.0,150,4,True,0.0
insertsort,BUS,BUS,0.0,150,4,True,0.0
insertsort,MEM,MEM,0.0,150,4,True,0.0
isqrt,LLC,MTH_CACHE,1e-05,150,4,True,2e-06
isqrt,BUS,BUS,9e-06,150,4,True,3e-06
isqrt,MEM,PR_ROWBUF,1.1e-05,150,4,True,3e-06
jfdctint,LLC,CACHE,0.0,150,4,True,0.0
jfdctint,BUS,BUS,0.0,150,4,True,0.0
jfdctint,MEM,MEM,0.0,150,4,True,0.0
lift,LLC,MTH_CACHE,1.8e-05,150,4,True,4e-06
lift,BUS,PR_MEMBUS,1.6e-05,150,4,True,0.0
lift,MEM,PR_ROWBUF,1.7e-05,150,4,True,3e-06
lms,LLC,CACHE,0.00012,150,4,True,4.7e-05
lms,BUS,BUS,0.000109,150,4,True,1.1e-05
lms,MEM,PR_ROWBUF,0.000118,150,4,True,2.3e-05
ludcmp,LLC,CACHE,0.0,150,4,True,0.0
ludcmp,BUS,BUS,0.00046,150,4,True,0.000461
ludcmp,MEM,MTH_MEM,0.000453,150,4,True,0.000453
matrix1,LLC,MTH_CACHE,0.000115,150,4,True,0.00011
matrix1,BUS,PR_MEMBUS,0.000747,150,4,True,0.000532
matrix1,MEM,MEM,0.000323,150,4,True,0.000115
md5,LLC,MTH_CACHE,1.3e-05,150,4,True,8e-06
md5,BUS,BUS,6e-06,150,4,True,2e-06
md5,MEM,PR_ROWBUF,9e-06,150,4,True,8e-06
minver,LLC,MTH_CACHE,0.002956,150,4,True,0.001496
minver,BUS,PR_MEMBUS,0.002251,150,4,True,5.6e-05
minver,MEM,PR_ROWBUF,0.002189,150,4,True,0.000696
mpeg2,LLC,MTH_CACHE,3.4e-05,150,4,True,1.3e-05
mpeg2,BUS,BUS,2.6e-05,150,4,True,8e-06
mpeg2,MEM,PR_ROWBUF,3.5e-05,150,4,True,2.2e-05
ndes,LLC,PR_CACHE,0.000202,150,4,True,6.4e-05
ndes,BUS,MTH_BUS,0.000236,150,4,True,0.000134
ndes,MEM,PR_ROWBUF,0.000135,150,4,True,3.4e-05
petrinet,LLC,PR_CACHE,0.001315,150,4,True,0.001315
petrinet,BUS,MTH_BUS,0.001374,150,4,True,0.001374
petrinet,MEM,MTH_MEM,0.001393,150,4,True,0.000704
pm,LLC,MTH_CACHE,4.7e-05,150,4,True,1.1e-05
pm,BUS,BUS,3.2e-05,150,4,True,8e-06
pm,MEM,PR_ROWBUF,3.4e-05,150,4,True,1.6e-05
powerwindow,LLC,CACHE,0.000646,150,4,True,7e-05
powerwindow,BUS,BUS,0.00065,150,4,True,4.8e-05
powerwindow,MEM,PR_ROWBUF,0.000691,150,4,True,8.9e-05
prime,LLC,CACHE,0.002833,150,4,True,0.0
prime,BUS,BUS,0.0,150,4,True,0.0
prime,MEM,MEM,0.0,150,4,True,0.0
quicksort,LLC,MTH_CACHE,0.000276,150,4,True,1.6e-05
quicksort,BUS,BUS,0.000297,150,4,True,4.4e-05
quicksort,MEM,PR_ROWBUF,0.000329,150,4,True,9.2e-05
rad2deg,LLC,CACHE,0.0,150,4,True,0.0
rad2deg,BUS,BUS,0.0,150,4,True,0.0
rad2deg,MEM,MEM,0.0,150,4,True,0.0
recursion,LLC,CACHE,0.0,150,4,True,0.0
recursion,BUS,BUS,0.0,150,4,True,0.0
recursion,MEM,MEM,0.0,150,4,True,0.0
rijndael_dec,LLC,CACHE,0.0,150,4,True,0.0
rijndael_dec,BUS,BUS,0.0,150,4,True,0.0
rijndael_dec,MEM,MEM,0.0,150,4,True,0.0
rijndael_enc,LLC,CACHE,0.0,150,4,True,0.0
rijndael_enc,BUS,BUS,0.0,150,4,True,0.0
rijndael_enc,MEM,MEM,0.0,150,4,True,0.0
sha,LLC,PR_CACHE,0.000282,150,4,True,1.2e-05
sha,BUS,BUS,0.000298,150,4,True,3.3e-05
sha,MEM,PR_ROWBUF,0.000342,150,4,True,9.1e-05
st,LLC,MTH_CACHE,0.000326,150,4,True,5.4e-05
st,BUS,PR_MEMBUS,0.000454,150,4,True,0.00041
st,MEM,PR_ROWBUF,0.000408,150,4,True,7.4e-05
statemate,LLC,MTH_CACHE,4.1e-05,150,4,True,4.1e-05
statemate,BUS,BUS,0.0,150,4,True,0.0
statemate,MEM,PR_ROWBUF,4.1e-05,150,4,True,4.1e-05
susan,LLC,PR_CACHE,4.3e-05,150,4,True,6e-06
susan,BUS,BUS,3.9e-05,150,4,True,1.4e-05
susan,MEM,PR_ROWBUF,4.6e-05,150,4,True,2.5e-05
test3,LLC,MTH_CACHE,9.3e-05,150,4,True,3.7e-05
test3,BUS,BUS,4.6e-05,150,4,True,2.4e-05
test3,MEM,PR_ROWBUF,8.8e-05,150,4,True,7e-05
