n_tasks,U_total,ilp,heur,wfd,ffd
10,1.0,1.0,1.0,1.0,1.0
10,1.5,1.0,1.0,1.0,1.0
10,2.0,0.98,0.99,0.98,0.98
10,2.5,0.915,0.95,0.915,0.915
10,3.0,0.745,0.76,0.745,0.745
10,3.5,0.57,0.675,0.57,0.575
20,1.0,1.0,1.0,1.0,1.0
20,1.5,1.0,1.0,1.0,1.0
20,2.0,1.0,1.0,1.0,1.0
20,2.5,1.0,1.0,1.0,1.0
20,3.0,0.995,0.995,0.995,0.995
20,3.5,0.96,0.975,0.96,0.96
30,1.0,1.0,1.0,1.0,1.0
30,1.5,1.0,1.0,1.0,1.0
30,2.0,1.0,1.0,1.0,1.0
30,2.5,1.0,1.0,1.0,1.0
30,3.0,1.0,1.0,1.0,1.0
30,3.5,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0
40,1.5,1.0,1.0,1.0,1.0
40,2.0,1.0,1.0,1.0,1.0
40,2.5,1.0,1.0,1.0,1.0
40,3.0,1.0,1.0,1.0,1.0
40,3.5,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
60,1.5,1.0,1.0,1.0,1.0
60,2.0,1.0,1.0,1.0,1.0
60,2.5,1.0,1.0,1.0,1.0
60,3.0,1.0,1.0,1.0,1.0
60,3.5,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
80,1.5,1.0,1.0,1.0,1.0
80,2.0,1.0,1.0,1.0,1.0
80,2.5,1.0,1.0,1.0,1.0
80,3.0,1.0,1.0,1.0,1.0
80,3.5,1.0,1.0,1.0,1.0
