bench,channel,alpha_S,alpha_real,ratio,violation,real_triple
gsm_enc,LLC,6.5e-05,3.2e-05,0.499,False,rad2deg+jfdctint+recursion
gsm_enc,BUS,5.7e-05,9e-05,1.5821,True,bsort+ndes+huff_enc
gsm_enc,MEM,0.000106,7.8e-05,0.7345,False,lift+cjpeg_wrbmp+deg2rad
h264_dec,LLC,0.000824,0.000646,0.7833,False,isqrt+susan+matrix1
h264_dec,BUS,0.000856,0.000832,0.9718,False,gsm_enc+countnegative+jfdctint
h264_dec,MEM,0.000915,0.000748,0.8173,False,rad2deg+prime+pm
huff_dec,LLC,0.0,0.0,inf,False,cosf+powerwindow+epic
huff_dec,BUS,0.0,0.0,inf,False,g723_enc+ndes+mpeg2
huff_dec,MEM,0.0,0.0,inf,False,fir2dim+h264_dec+isqrt
huff_enc,LLC,0.000963,0.000679,0.7058,False,h264_dec+bitonic+cubic
huff_enc,BUS,0.000749,0.000672,0.8975,False,cover+audiobeam+fft
huff_enc,MEM,0.000861,0.000685,0.7953,False,adpcm_enc+ludcmp+lift
iir,LLC,0.002717,0.002956,1.0878,True,cover+ludcmp+adpcm_dec
iir,BUS,0.002931,0.003145,1.073,True,audiobeam+powerwindow+minver
iir,MEM,0.005299,0.004931,0.9306,False,anagram+cover+audiobeam
insertsort,LLC,0.011089,0.00796,0.7179,False,ammunition+susan+fft
insertsort,BUS,0.009027,0.006849,0.7588,False,audiobeam+insertsort+cubic
insertsort,MEM,0.00997,0.008946,0.8973,False,dijkstra+ndes+iir
isqrt,LLC,3.3e-05,1.2e-05,0.3716,False,countnegative+jfdctint+bsort
isqrt,BUS,2.8e-05,1e-05,0.3754,False,prime+test3+lms
isqrt,MEM,2.3e-05,1e-05,0.4624,False,lms+huff_enc+cubic
jfdctint,LLC,0.002493,0.002509,1.0065,True,rijndael_dec+huff_enc+rijndael_enc
jfdctint,BUS,0.00251,0.002843,1.1327,True,gsm_dec+cosf+bitcount
jfdctint,MEM,0.002501,0.003165,1.2654,True,bitcount+ndes+gsm_enc
lift,LLC,5.6e-05,2.9e-05,0.5286,False,filterbank+gsm_enc+gsm_dec
lift,BUS,2.7e-05,2.7e-05,0.9966,False,huff_dec+susan+prime
lift,MEM,4.6e-05,5.2e-05,1.1327,True,anagram+petrinet+mpeg2
lms,LLC,0.000281,0.000242,0.8618,False,mpeg2+bitcount+anagram
lms,BUS,0.000224,0.000175,0.7796,False,g723_enc+prime+fft
lms,MEM,0.000257,0.000231,0.8988,False,rijndael_enc+susan+bitcount
ludcmp,LLC,0.010032,0.011246,1.1211,True,cubic+cosf+jfdctint
ludcmp,BUS,0.010546,0.01121,1.063,True,h264_dec+bsort+gsm_enc
ludcmp,MEM,0.010242,0.012169,1.1882,True,complex_updates+dijkstra+huff_dec
matrix1,LLC,0.002326,0.002897,1.2455,True,cubic+susan+audiobeam
matrix1,BUS,0.002792,0.002608,0.934,False,h264_dec+rijndael_enc+susan
matrix1,MEM,0.00239,0.002465,1.0313,True,statemate+lift+bitcount
md5,LLC,2.4e-05,1e-06,0.0593,False,anagram+mpeg2+jfdctint
md5,BUS,1.6e-05,1e-05,0.595,False,st+adpcm_dec+binarysearch
md5,MEM,2e-05,2e-06,0.1211,False,rad2deg+statemate+cubic
minver,LLC,0.013025,0.012314,0.9455,False,cjpeg_wrbmp+gsm_dec+iir
minver,BUS,0.011009,0.013981,1.2699,True,huff_enc+countnegative+susan
minver,MEM,0.014925,0.011923,0.7988,False,g723_enc+anagram+cjpeg_wrbmp
