# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=complex_updates (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=71] cpu=0 bench=complex_updates cycles=3627 instructions=2553 cache-misses=4
[sample=72] cpu=0 bench=complex_updates cycles=3597 instructions=2553 cache-misses=5
[sample=73] cpu=0 bench=complex_updates cycles=4105 instructions=2553 cache-misses=5
[sample=74] cpu=0 bench=complex_updates cycles=3929 instructions=2553 cache-misses=1
[sample=75] cpu=0 bench=complex_updates cycles=4107 instructions=2553 cache-misses=4
[sample=76] cpu=0 bench=complex_updates cycles=3860 instructions=2553 cache-misses=6
[sample=77] cpu=0 bench=complex_updates cycles=3582 instructions=2553 cache-misses=5
[sample=78] cpu=0 bench=complex_updates cycles=3623 instructions=2553 cache-misses=4
[sample=79] cpu=0 bench=complex_updates cycles=3608 instructions=2553 cache-misses=5
[sample=80] cpu=0 bench=complex_updates cycles=3762 instructions=2553 cache-misses=2
[sample=81] cpu=0 bench=complex_updates cycles=3953 instructions=2553 cache-misses=1
[sample=82] cpu=0 bench=complex_updates cycles=4087 instructions=2553 cache-misses=3
[sample=83] cpu=0 bench=complex_updates cycles=4215 instructions=2553 cache-misses=4
[sample=84] cpu=0 bench=complex_updates cycles=3608 instructions=2553 cache-misses=4
[sample=85] cpu=0 bench=complex_updates cycles=3685 instructions=2553 cache-misses=7
[sample=86] cpu=0 bench=complex_updates cycles=3655 instructions=2553 cache-misses=5
[sample=87] cpu=0 bench=complex_updates cycles=3695 instructions=2553 cache-misses=5
[sample=88] cpu=0 bench=complex_updates cycles=4010 instructions=2553 cache-misses=3
[sample=89] cpu=0 bench=complex_updates cycles=4766 instructions=2553 cache-misses=4
[sample=90] cpu=0 bench=complex_updates cycles=4042 instructions=2553 cache-misses=7
[sample=91] cpu=0 bench=complex_updates cycles=3638 instructions=2553 cache-misses=2
[sample=92] cpu=0 bench=complex_updates cycles=3600 instructions=2553 cache-misses=5
[sample=93] cpu=0 bench=complex_updates cycles=4236 instructions=2553 cache-misses=10
[sample=94] cpu=0 bench=complex_updates cycles=3700 instructions=2554 cache-misses=8
[sample=95] cpu=0 bench=complex_updates cycles=4495 instructions=2553 cache-misses=6
[sample=96] cpu=0 bench=complex_updates cycles=3594 instructions=2554 cache-misses=7
[sample=97] cpu=0 bench=complex_updates cycles=3572 instructions=2553 cache-misses=7
[sample=98] cpu=0 bench=complex_updates cycles=3606 instructions=2553 cache-misses=5
[sample=99] cpu=0 bench=complex_updates cycles=4208 instructions=2553 cache-misses=5
