# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=73] cpu=0 bench=bitcount cycles=30289 instructions=24584 cache-misses=10
[sample=74] cpu=0 bench=bitcount cycles=30568 instructions=24583 cache-misses=11
[sample=75] cpu=0 bench=bitcount cycles=31095 instructions=24583 cache-misses=13
[sample=76] cpu=0 bench=bitcount cycles=34397 instructions=24584 cache-misses=13
[sample=77] cpu=0 bench=bitcount cycles=30830 instructions=24585 cache-misses=12
[sample=78] cpu=0 bench=bitcount cycles=30259 instructions=24584 cache-misses=10
[sample=79] cpu=0 bench=bitcount cycles=30300 instructions=24583 cache-misses=12
[sample=80] cpu=0 bench=bitcount cycles=32134 instructions=24583 cache-misses=12
[sample=81] cpu=0 bench=bitcount cycles=35504 instructions=24584 cache-misses=12
[sample=82] cpu=0 bench=bitcount cycles=32922 instructions=24581 cache-misses=15
[sample=83] cpu=0 bench=bitcount cycles=35263 instructions=24584 cache-misses=14
[sample=84] cpu=0 bench=bitcount cycles=31110 instructions=24580 cache-misses=11
[sample=85] cpu=0 bench=bitcount cycles=31099 instructions=24582 cache-misses=12
[sample=86] cpu=0 bench=bitcount cycles=30330 instructions=24581 cache-misses=14
[sample=87] cpu=0 bench=bitcount cycles=31499 instructions=24581 cache-misses=10
[sample=88] cpu=0 bench=bitcount cycles=30455 instructions=24583 cache-misses=12
[sample=89] cpu=0 bench=bitcount cycles=31798 instructions=24582 cache-misses=14
[sample=90] cpu=0 bench=bitcount cycles=31584 instructions=24581 cache-misses=14
[sample=91] cpu=0 bench=bitcount cycles=31940 instructions=24581 cache-misses=13
[sample=92] cpu=0 bench=bitcount cycles=31015 instructions=24581 cache-misses=15
[sample=93] cpu=0 bench=bitcount cycles=30379 instructions=24582 cache-misses=14
[sample=94] cpu=0 bench=bitcount cycles=35769 instructions=24582 cache-misses=11
[sample=95] cpu=0 bench=bitcount cycles=31122 instructions=24582 cache-misses=9
[sample=96] cpu=0 bench=bitcount cycles=30650 instructions=24581 cache-misses=11
[sample=97] cpu=0 bench=bitcount cycles=32003 instructions=24579 cache-misses=12
[sample=98] cpu=0 bench=bitcount cycles=30939 instructions=24581 cache-misses=11
[sample=99] cpu=0 bench=bitcount cycles=31075 instructions=24580 cache-misses=11
[sample=100] cpu=0 bench=bitcount cycles=31170 instructions=24582 cache-misses=7
[sample=101] cpu=0 bench=bitcount cycles=30307 instructions=24583 cache-misses=12
[sample=102] cpu=0 bench=bitcount cycles=30282 instructions=24580 cache-misses=9
[sample=103] cpu=0 bench=bitcount cycles=30240 instructions=24581 cache-misses=12
[sample=104] cpu=0 bench=bitcount cycles=32563 instructions=24581 cache-misses=12
[sample=105] cpu=0 bench=bitcount cycles=31398 instructions=24580 cache-misses=12
[sample=106] cpu=0 bench=bitcount cycles=30888 instructions=24579 cache-misses=13
[sample=107] cpu=0 bench=bitcount cycles=30315 instructions=24581 cache-misses=12
[sample=108] cpu=0 bench=bitcount cycles=30308 instructions=24580 cache-misses=10
[sample=109] cpu=0 bench=bitcount cycles=34150 instructions=24580 cache-misses=13
[sample=110] cpu=0 bench=bitcount cycles=31009 instructions=24580 cache-misses=11
[sample=111] cpu=0 bench=bitcount cycles=31329 instructions=24581 cache-misses=10
[sample=112] cpu=0 bench=bitcount cycles=30372 instructions=24580 cache-misses=11
[sample=113] cpu=0 bench=bitcount cycles=30336 instructions=24581 cache-misses=11
[sample=114] cpu=0 bench=bitcount cycles=30303 instructions=24581 cache-misses=9
[sample=115] cpu=0 bench=bitcount cycles=31066 instructions=24581 cache-misses=8
[sample=116] cpu=0 bench=bitcount cycles=31565 instructions=24582 cache-misses=10
[sample=117] cpu=0 bench=bitcount cycles=31417 instructions=24580 cache-misses=14
[sample=118] cpu=0 bench=bitcount cycles=30241 instructions=24581 cache-misses=12
[sample=119] cpu=0 bench=bitcount cycles=30323 instructions=24582 cache-misses=12
[sample=120] cpu=0 bench=bitcount cycles=31013 instructions=24580 cache-misses=9
[sample=121] cpu=0 bench=bitcount cycles=32196 instructions=24581 cache-misses=13
[sample=122] cpu=0 bench=bitcount cycles=31170 instructions=24581 cache-misses=11
[sample=123] cpu=0 bench=bitcount cycles=31018 instructions=24579 cache-misses=10
[sample=124] cpu=0 bench=bitcount cycles=30345 instructions=24582 cache-misses=11
[sample=125] cpu=0 bench=bitcount cycles=30353 instructions=24581 cache-misses=14
[sample=126] cpu=0 bench=bitcount cycles=32027 instructions=24581 cache-misses=12
[sample=127] cpu=0 bench=bitcount cycles=31044 instructions=24581 cache-misses=9
[sample=128] cpu=0 bench=bitcount cycles=34019 instructions=24582 cache-misses=10
[sample=129] cpu=0 bench=bitcount cycles=30257 instructions=24581 cache-misses=12
[sample=130] cpu=0 bench=bitcount cycles=30248 instructions=24580 cache-misses=9
[sample=131] cpu=0 bench=bitcount cycles=30218 instructions=24582 cache-misses=10
[sample=132] cpu=0 bench=bitcount cycles=31170 instructions=24583 cache-misses=10
[sample=133] cpu=0 bench=bitcount cycles=41841 instructions=24582 cache-misses=16
[sample=134] cpu=0 bench=bitcount cycles=33623 instructions=24582 cache-misses=12
[sample=135] cpu=0 bench=bitcount cycles=31118 instructions=24584 cache-misses=11
[sample=136] cpu=0 bench=bitcount cycles=30299 instructions=24582 cache-misses=9
[sample=137] cpu=0 bench=bitcount cycles=30471 instructions=24583 cache-misses=10
[sample=138] cpu=0 bench=bitcount cycles=30290 instructions=24582 cache-misses=9
[sample=139] cpu=0 bench=bitcount cycles=32539 instructions=24581 cache-misses=13
[sample=140] cpu=0 bench=bitcount cycles=31802 instructions=24581 cache-misses=12
[sample=141] cpu=0 bench=bitcount cycles=30871 instructions=24580 cache-misses=11
[sample=142] cpu=0 bench=bitcount cycles=30337 instructions=24579 cache-misses=11
[sample=143] cpu=0 bench=bitcount cycles=30339 instructions=24580 cache-misses=12
[sample=144] cpu=0 bench=bitcount cycles=32997 instructions=24581 cache-misses=10
[sample=145] cpu=0 bench=bitcount cycles=31850 instructions=24581 cache-misses=11
[sample=146] cpu=0 bench=bitcount cycles=32215 instructions=24582 cache-misses=12
[sample=147] cpu=0 bench=bitcount cycles=31019 instructions=24584 cache-misses=12
[sample=148] cpu=0 bench=bitcount cycles=36075 instructions=24579 cache-misses=14
[sample=149] cpu=0 bench=bitcount cycles=31882 instructions=24581 cache-misses=10
[sample=150] cpu=0 bench=bitcount cycles=31477 instructions=24580 cache-misses=10
[sample=151] cpu=0 bench=bitcount cycles=31210 instructions=24581 cache-misses=8
[sample=152] cpu=0 bench=bitcount cycles=30274 instructions=24581 cache-misses=10
[sample=153] cpu=0 bench=bitcount cycles=30322 instructions=24580 cache-misses=12
[sample=154] cpu=0 bench=bitcount cycles=31087 instructions=24580 cache-misses=12
[sample=155] cpu=0 bench=bitcount cycles=31849 instructions=24581 cache-misses=13
[sample=156] cpu=0 bench=bitcount cycles=34620 instructions=24579 cache-misses=12
[sample=157] cpu=0 bench=bitcount cycles=30201 instructions=24579 cache-misses=11
[sample=158] cpu=0 bench=bitcount cycles=30310 instructions=24581 cache-misses=12
[sample=159] cpu=0 bench=bitcount cycles=30745 instructions=24581 cache-misses=13
[sample=160] cpu=0 bench=bitcount cycles=34136 instructions=24580 cache-misses=11
[sample=161] cpu=0 bench=bitcount cycles=31042 instructions=24580 cache-misses=10
[sample=162] cpu=0 bench=bitcount cycles=30707 instructions=24581 cache-misses=10
[sample=163] cpu=0 bench=bitcount cycles=30305 instructions=24582 cache-misses=8
[sample=164] cpu=0 bench=bitcount cycles=30294 instructions=24581 cache-misses=13
[sample=165] cpu=0 bench=bitcount cycles=35245 instructions=24581 cache-misses=12
[sample=166] cpu=0 bench=bitcount cycles=31107 instructions=24581 cache-misses=11
[sample=167] cpu=0 bench=bitcount cycles=31271 instructions=24581 cache-misses=12
[sample=168] cpu=0 bench=bitcount cycles=30229 instructions=24580 cache-misses=12
[sample=169] cpu=0 bench=bitcount cycles=30277 instructions=24581 cache-misses=15
[sample=170] cpu=0 bench=bitcount cycles=30312 instructions=24580 cache-misses=12
[sample=171] cpu=0 bench=bitcount cycles=31277 instructions=24581 cache-misses=11
[sample=172] cpu=0 bench=bitcount cycles=31444 instructions=24581 cache-misses=10
[sample=173] cpu=0 bench=bitcount cycles=30338 instructions=24581 cache-misses=15
[sample=174] cpu=0 bench=bitcount cycles=30380 instructions=24582 cache-misses=14
[sample=175] cpu=0 bench=bitcount cycles=30256 instructions=24581 cache-misses=13
[sample=176] cpu=0 bench=bitcount cycles=34953 instructions=24583 cache-misses=15
[sample=177] cpu=0 bench=bitcount cycles=30673 instructions=24585 cache-misses=13
[sample=178] cpu=0 bench=bitcount cycles=30903 instructions=24581 cache-misses=11
[sample=179] cpu=0 bench=bitcount cycles=30373 instructions=24585 cache-misses=9
[sample=180] cpu=0 bench=bitcount cycles=30301 instructions=24584 cache-misses=13
[sample=181] cpu=0 bench=bitcount cycles=35240 instructions=24581 cache-misses=10
[sample=182] cpu=0 bench=bitcount cycles=31164 instructions=24581 cache-misses=10
[sample=183] cpu=0 bench=bitcount cycles=32264 instructions=24580 cache-misses=15
[sample=184] cpu=0 bench=bitcount cycles=31292 instructions=24581 cache-misses=12
[sample=185] cpu=0 bench=bitcount cycles=35250 instructions=24581 cache-misses=11
[sample=186] cpu=0 bench=bitcount cycles=30936 instructions=24583 cache-misses=12
[sample=187] cpu=0 bench=bitcount cycles=30265 instructions=24580 cache-misses=12
[sample=188] cpu=0 bench=bitcount cycles=30336 instructions=24580 cache-misses=10
[sample=189] cpu=0 bench=bitcount cycles=35981 instructions=24580 cache-misses=11
[sample=190] cpu=0 bench=bitcount cycles=31374 instructions=24582 cache-misses=14
[sample=191] cpu=0 bench=bitcount cycles=31127 instructions=24579 cache-misses=13
[sample=192] cpu=0 bench=bitcount cycles=30866 instructions=24580 cache-misses=13
[sample=193] cpu=0 bench=bitcount cycles=30293 instructions=24582 cache-misses=12
[sample=194] cpu=0 bench=bitcount cycles=30318 instructions=24583 cache-misses=10
[sample=195] cpu=0 bench=bitcount cycles=31110 instructions=24581 cache-misses=10
[sample=196] cpu=0 bench=bitcount cycles=31379 instructions=24581 cache-misses=12
[sample=197] cpu=0 bench=bitcount cycles=35455 instructions=24581 cache-misses=10
[sample=198] cpu=0 bench=bitcount cycles=30963 instructions=24581 cache-misses=11
[sample=199] cpu=0 bench=bitcount cycles=31181 instructions=24582 cache-misses=10
[sample=200] cpu=0 bench=bitcount cycles=35035 instructions=24583 cache-misses=10
[sample=201] cpu=0 bench=bitcount cycles=31111 instructions=24580 cache-misses=12
[sample=202] cpu=0 bench=bitcount cycles=30299 instructions=24583 cache-misses=11
[sample=203] cpu=0 bench=bitcount cycles=30322 instructions=24581 cache-misses=12
[sample=204] cpu=0 bench=bitcount cycles=33318 instructions=24581 cache-misses=11
[sample=205] cpu=0 bench=bitcount cycles=31233 instructions=24582 cache-misses=10
[sample=206] cpu=0 bench=bitcount cycles=34090 instructions=24581 cache-misses=13
[sample=207] cpu=0 bench=bitcount cycles=30333 instructions=24581 cache-misses=11
[sample=208] cpu=0 bench=bitcount cycles=30272 instructions=24581 cache-misses=11
[sample=209] cpu=0 bench=bitcount cycles=32740 instructions=24581 cache-misses=10
[sample=210] cpu=0 bench=bitcount cycles=30700 instructions=24582 cache-misses=11
[sample=211] cpu=0 bench=bitcount cycles=30304 instructions=24580 cache-misses=10
[sample=212] cpu=0 bench=bitcount cycles=30437 instructions=24581 cache-misses=14
[sample=213] cpu=0 bench=bitcount cycles=33245 instructions=24581 cache-misses=14
[sample=214] cpu=0 bench=bitcount cycles=31128 instructions=24581 cache-misses=12
[sample=215] cpu=0 bench=bitcount cycles=30321 instructions=24581 cache-misses=10
[sample=216] cpu=0 bench=bitcount cycles=30237 instructions=24581 cache-misses=12
[sample=217] cpu=0 bench=bitcount cycles=30320 instructions=24580 cache-misses=13
[sample=218] cpu=0 bench=bitcount cycles=30639 instructions=24580 cache-misses=13
[sample=219] cpu=0 bench=bitcount cycles=31024 instructions=24580 cache-misses=15
[sample=220] cpu=0 bench=bitcount cycles=30690 instructions=24580 cache-misses=14
[sample=221] cpu=0 bench=bitcount cycles=30349 instructions=24579 cache-misses=15
[sample=222] cpu=0 bench=bitcount cycles=30267 instructions=24580 cache-misses=13
[sample=223] cpu=0 bench=bitcount cycles=31024 instructions=24580 cache-misses=9
[sample=224] cpu=0 bench=bitcount cycles=33413 instructions=24581 cache-misses=12
[sample=225] cpu=0 bench=bitcount cycles=31841 instructions=24582 cache-misses=8
[sample=226] cpu=0 bench=bitcount cycles=30311 instructions=24581 cache-misses=12
[sample=227] cpu=0 bench=bitcount cycles=30294 instructions=24582 cache-misses=10
[sample=228] cpu=0 bench=bitcount cycles=30265 instructions=24581 cache-misses=12
[sample=229] cpu=0 bench=bitcount cycles=33854 instructions=24582 cache-misses=12
[sample=230] cpu=0 bench=bitcount cycles=31585 instructions=24581 cache-misses=10
[sample=231] cpu=0 bench=bitcount cycles=31707 instructions=24581 cache-misses=13
