# board=imx8mm
# config=Mix
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=adpcm_enc (measured)  cpu1=MAX_LLC  cpu2=MAX_BUS  cpu3=MAX_MEM
[sample=68] cpu=0 bench=adpcm_enc cycles=309964 instructions=223674 cache-misses=15
[sample=69] cpu=0 bench=adpcm_enc cycles=333007 instructions=223674 cache-misses=23
[sample=70] cpu=0 bench=adpcm_enc cycles=318960 instructions=223674 cache-misses=18
[sample=71] cpu=0 bench=adpcm_enc cycles=316145 instructions=223672 cache-misses=13
[sample=72] cpu=0 bench=adpcm_enc cycles=322783 instructions=223673 cache-misses=17
[sample=73] cpu=0 bench=adpcm_enc cycles=316203 instructions=223674 cache-misses=19
[sample=74] cpu=0 bench=adpcm_enc cycles=312710 instructions=223673 cache-misses=21
[sample=75] cpu=0 bench=adpcm_enc cycles=314555 instructions=223673 cache-misses=13
[sample=76] cpu=0 bench=adpcm_enc cycles=309593 instructions=223673 cache-misses=14
[sample=77] cpu=0 bench=adpcm_enc cycles=331359 instructions=223673 cache-misses=18
[sample=78] cpu=0 bench=adpcm_enc cycles=325919 instructions=223673 cache-misses=18
[sample=79] cpu=0 bench=adpcm_enc cycles=326288 instructions=223676 cache-misses=29
[sample=80] cpu=0 bench=adpcm_enc cycles=331552 instructions=223672 cache-misses=23
[sample=81] cpu=0 bench=adpcm_enc cycles=323801 instructions=223675 cache-misses=19
[sample=82] cpu=0 bench=adpcm_enc cycles=313666 instructions=223673 cache-misses=13
[sample=83] cpu=0 bench=adpcm_enc cycles=308434 instructions=223673 cache-misses=14
[sample=84] cpu=0 bench=adpcm_enc cycles=314776 instructions=223675 cache-misses=17
[sample=85] cpu=0 bench=adpcm_enc cycles=312730 instructions=223673 cache-misses=14
[sample=86] cpu=0 bench=adpcm_enc cycles=308139 instructions=223673 cache-misses=17
[sample=87] cpu=0 bench=adpcm_enc cycles=315590 instructions=223673 cache-misses=13
[sample=88] cpu=0 bench=adpcm_enc cycles=319863 instructions=223673 cache-misses=13
[sample=89] cpu=0 bench=adpcm_enc cycles=317056 instructions=223673 cache-misses=20
[sample=90] cpu=0 bench=adpcm_enc cycles=310370 instructions=223674 cache-misses=15
[sample=91] cpu=0 bench=adpcm_enc cycles=321707 instructions=223674 cache-misses=23
[sample=92] cpu=0 bench=adpcm_enc cycles=323655 instructions=223673 cache-misses=23
[sample=93] cpu=0 bench=adpcm_enc cycles=319222 instructions=223673 cache-misses=13
[sample=94] cpu=0 bench=adpcm_enc cycles=331212 instructions=223672 cache-misses=19
[sample=95] cpu=0 bench=adpcm_enc cycles=324236 instructions=223672 cache-misses=15
[sample=96] cpu=0 bench=adpcm_enc cycles=319062 instructions=223673 cache-misses=15
[sample=97] cpu=0 bench=adpcm_enc cycles=327798 instructions=223672 cache-misses=16
[sample=98] cpu=0 bench=adpcm_enc cycles=322414 instructions=223672 cache-misses=15
[sample=99] cpu=0 bench=adpcm_enc cycles=318722 instructions=223672 cache-misses=14
[sample=100] cpu=0 bench=adpcm_enc cycles=329179 instructions=223672 cache-misses=24
[sample=101] cpu=0 bench=adpcm_enc cycles=327210 instructions=223673 cache-misses=16
[sample=102] cpu=0 bench=adpcm_enc cycles=315762 instructions=223673 cache-misses=14
[sample=103] cpu=0 bench=adpcm_enc cycles=309225 instructions=223672 cache-misses=16
[sample=104] cpu=0 bench=adpcm_enc cycles=318038 instructions=223673 cache-misses=14
[sample=105] cpu=0 bench=adpcm_enc cycles=535118 instructions=223672 cache-misses=16
[sample=106] cpu=0 bench=adpcm_enc cycles=359965 instructions=223673 cache-misses=16
[sample=107] cpu=0 bench=adpcm_enc cycles=360366 instructions=223673 cache-misses=21
[sample=108] cpu=0 bench=adpcm_enc cycles=359125 instructions=223675 cache-misses=30
[sample=109] cpu=0 bench=adpcm_enc cycles=376514 instructions=223673 cache-misses=18
[sample=110] cpu=0 bench=adpcm_enc cycles=352101 instructions=223673 cache-misses=14
[sample=111] cpu=0 bench=adpcm_enc cycles=337751 instructions=223673 cache-misses=18
[sample=112] cpu=0 bench=adpcm_enc cycles=331665 instructions=223673 cache-misses=12
[sample=113] cpu=0 bench=adpcm_enc cycles=326533 instructions=223673 cache-misses=11
[sample=114] cpu=0 bench=adpcm_enc cycles=319849 instructions=223674 cache-misses=11
[sample=115] cpu=0 bench=adpcm_enc cycles=324087 instructions=223672 cache-misses=15
[sample=116] cpu=0 bench=adpcm_enc cycles=321543 instructions=223677 cache-misses=26
[sample=117] cpu=0 bench=adpcm_enc cycles=324011 instructions=223673 cache-misses=21
[sample=118] cpu=0 bench=adpcm_enc cycles=321680 instructions=223673 cache-misses=19
[sample=119] cpu=0 bench=adpcm_enc cycles=315454 instructions=223674 cache-misses=16
[sample=120] cpu=0 bench=adpcm_enc cycles=313891 instructions=223674 cache-misses=17
[sample=121] cpu=0 bench=adpcm_enc cycles=309808 instructions=223673 cache-misses=15
[sample=122] cpu=0 bench=adpcm_enc cycles=311418 instructions=223673 cache-misses=15
[sample=123] cpu=0 bench=adpcm_enc cycles=310245 instructions=223674 cache-misses=15
[sample=124] cpu=0 bench=adpcm_enc cycles=313178 instructions=223673 cache-misses=11
[sample=125] cpu=0 bench=adpcm_enc cycles=338816 instructions=223673 cache-misses=23
[sample=126] cpu=0 bench=adpcm_enc cycles=339848 instructions=223674 cache-misses=25
[sample=127] cpu=0 bench=adpcm_enc cycles=338011 instructions=223674 cache-misses=17
[sample=128] cpu=0 bench=adpcm_enc cycles=330983 instructions=223672 cache-misses=17
[sample=129] cpu=0 bench=adpcm_enc cycles=320446 instructions=223673 cache-misses=11
[sample=130] cpu=0 bench=adpcm_enc cycles=319644 instructions=223674 cache-misses=14
[sample=131] cpu=0 bench=adpcm_enc cycles=320079 instructions=223673 cache-misses=13
[sample=132] cpu=0 bench=adpcm_enc cycles=318509 instructions=223674 cache-misses=15
[sample=133] cpu=0 bench=adpcm_enc cycles=314384 instructions=223674 cache-misses=12
[sample=134] cpu=0 bench=adpcm_enc cycles=314681 instructions=223674 cache-misses=14
[sample=135] cpu=0 bench=adpcm_enc cycles=317035 instructions=223672 cache-misses=20
