# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=susan (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=73] cpu=0 bench=susan cycles=79363639 instructions=64456267 cache-misses=661
[sample=74] cpu=0 bench=susan cycles=79480963 instructions=64456270 cache-misses=655
[sample=75] cpu=0 bench=susan cycles=79575569 instructions=64456262 cache-misses=629
[sample=76] cpu=0 bench=susan cycles=79416462 instructions=64456259 cache-misses=589
[sample=77] cpu=0 bench=susan cycles=79331167 instructions=64456267 cache-misses=678
[sample=78] cpu=0 bench=susan cycles=79569245 instructions=64456275 cache-misses=790
[sample=79] cpu=0 bench=susan cycles=79477410 instructions=64456269 cache-misses=518
[sample=80] cpu=0 bench=susan cycles=79232886 instructions=64456257 cache-misses=576
[sample=81] cpu=0 bench=susan cycles=79399304 instructions=64456274 cache-misses=752
[sample=82] cpu=0 bench=susan cycles=79364905 instructions=64456263 cache-misses=633
[sample=83] cpu=0 bench=susan cycles=79610478 instructions=64456258 cache-misses=525
[sample=84] cpu=0 bench=susan cycles=79377252 instructions=64456261 cache-misses=641
[sample=85] cpu=0 bench=susan cycles=79589361 instructions=64456260 cache-misses=634
[sample=86] cpu=0 bench=susan cycles=79493180 instructions=64456265 cache-misses=652
[sample=87] cpu=0 bench=susan cycles=79622138 instructions=64456264 cache-misses=624
[sample=88] cpu=0 bench=susan cycles=79292433 instructions=64456265 cache-misses=605
[sample=89] cpu=0 bench=susan cycles=79266142 instructions=64456266 cache-misses=663
[sample=90] cpu=0 bench=susan cycles=79396131 instructions=64456277 cache-misses=622
[sample=91] cpu=0 bench=susan cycles=79531509 instructions=64456271 cache-misses=572
[sample=92] cpu=0 bench=susan cycles=79264902 instructions=64456267 cache-misses=612
[sample=93] cpu=0 bench=susan cycles=79259459 instructions=64456258 cache-misses=632
[sample=94] cpu=0 bench=susan cycles=79310601 instructions=64456260 cache-misses=653
[sample=95] cpu=0 bench=susan cycles=79542388 instructions=64456265 cache-misses=633
[sample=96] cpu=0 bench=susan cycles=79228152 instructions=64456256 cache-misses=602
[sample=97] cpu=0 bench=susan cycles=79332094 instructions=64456264 cache-misses=609
[sample=98] cpu=0 bench=susan cycles=79870275 instructions=64456263 cache-misses=683
[sample=99] cpu=0 bench=susan cycles=79329313 instructions=64456268 cache-misses=624
[sample=100] cpu=0 bench=susan cycles=79453513 instructions=64456262 cache-misses=576
[sample=101] cpu=0 bench=susan cycles=79247664 instructions=64456262 cache-misses=640
[sample=102] cpu=0 bench=susan cycles=79385991 instructions=64456267 cache-misses=656
[sample=103] cpu=0 bench=susan cycles=79137893 instructions=64456263 cache-misses=528
[sample=104] cpu=0 bench=susan cycles=79222865 instructions=64456261 cache-misses=632
[sample=105] cpu=0 bench=susan cycles=79248637 instructions=64456259 cache-misses=570
[sample=106] cpu=0 bench=susan cycles=79648624 instructions=64456271 cache-misses=617
[sample=107] cpu=0 bench=susan cycles=79243402 instructions=64456268 cache-misses=555
[sample=108] cpu=0 bench=susan cycles=79504711 instructions=64456266 cache-misses=586
[sample=109] cpu=0 bench=susan cycles=79200977 instructions=64456260 cache-misses=647
[sample=110] cpu=0 bench=susan cycles=79307870 instructions=64456276 cache-misses=694
[sample=111] cpu=0 bench=susan cycles=79338667 instructions=64456263 cache-misses=651
[sample=112] cpu=0 bench=susan cycles=79395664 instructions=64456269 cache-misses=613
[sample=113] cpu=0 bench=susan cycles=79376270 instructions=64456259 cache-misses=647
[sample=114] cpu=0 bench=susan cycles=79426117 instructions=64456265 cache-misses=597
[sample=115] cpu=0 bench=susan cycles=79483592 instructions=64456262 cache-misses=677
[sample=116] cpu=0 bench=susan cycles=79420650 instructions=64456274 cache-misses=709
[sample=117] cpu=0 bench=susan cycles=79269418 instructions=64456261 cache-misses=597
[sample=118] cpu=0 bench=susan cycles=79371176 instructions=64456257 cache-misses=624
[sample=119] cpu=0 bench=susan cycles=79587779 instructions=64456268 cache-misses=596
