# board=imx8mm
# config=LLC
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=powerwindow (measured)  cpu1=MAX_LLC  cpu2=MAX_LLC  cpu3=MAX_LLC
[sample=68] cpu=0 bench=powerwindow cycles=3051142 instructions=2297640 cache-misses=462
[sample=69] cpu=0 bench=powerwindow cycles=3104974 instructions=2297634 cache-misses=533
[sample=70] cpu=0 bench=powerwindow cycles=2974671 instructions=2297637 cache-misses=422
[sample=71] cpu=0 bench=powerwindow cycles=3110735 instructions=2297644 cache-misses=595
[sample=72] cpu=0 bench=powerwindow cycles=3036438 instructions=2297643 cache-misses=631
[sample=73] cpu=0 bench=powerwindow cycles=2961124 instructions=2297628 cache-misses=473
[sample=74] cpu=0 bench=powerwindow cycles=3000717 instructions=2297629 cache-misses=534
[sample=75] cpu=0 bench=powerwindow cycles=3051951 instructions=2297633 cache-misses=533
[sample=76] cpu=0 bench=powerwindow cycles=3103387 instructions=2297629 cache-misses=456
[sample=77] cpu=0 bench=powerwindow cycles=2982902 instructions=2297642 cache-misses=562
[sample=78] cpu=0 bench=powerwindow cycles=2949383 instructions=2297629 cache-misses=445
[sample=79] cpu=0 bench=powerwindow cycles=2958289 instructions=2297626 cache-misses=463
[sample=80] cpu=0 bench=powerwindow cycles=3231105 instructions=2297652 cache-misses=664
[sample=81] cpu=0 bench=powerwindow cycles=2957735 instructions=2297643 cache-misses=532
[sample=82] cpu=0 bench=powerwindow cycles=2948788 instructions=2297621 cache-misses=406
[sample=83] cpu=0 bench=powerwindow cycles=2975820 instructions=2297627 cache-misses=420
[sample=84] cpu=0 bench=powerwindow cycles=3189097 instructions=2297624 cache-misses=536
[sample=85] cpu=0 bench=powerwindow cycles=2967396 instructions=2297629 cache-misses=533
[sample=86] cpu=0 bench=powerwindow cycles=2955570 instructions=2297626 cache-misses=456
[sample=87] cpu=0 bench=powerwindow cycles=2962545 instructions=2297618 cache-misses=452
[sample=88] cpu=0 bench=powerwindow cycles=3070513 instructions=2297636 cache-misses=468
[sample=89] cpu=0 bench=powerwindow cycles=3090394 instructions=2297633 cache-misses=541
[sample=90] cpu=0 bench=powerwindow cycles=2964489 instructions=2297644 cache-misses=425
[sample=91] cpu=0 bench=powerwindow cycles=2965435 instructions=2297645 cache-misses=466
[sample=92] cpu=0 bench=powerwindow cycles=2977457 instructions=2297645 cache-misses=489
[sample=93] cpu=0 bench=powerwindow cycles=3125326 instructions=2297627 cache-misses=508
[sample=94] cpu=0 bench=powerwindow cycles=2973363 instructions=2297630 cache-misses=448
[sample=95] cpu=0 bench=powerwindow cycles=2947714 instructions=2297648 cache-misses=396
[sample=96] cpu=0 bench=powerwindow cycles=2972718 instructions=2297637 cache-misses=408
[sample=97] cpu=0 bench=powerwindow cycles=3174140 instructions=2297627 cache-misses=501
[sample=98] cpu=0 bench=powerwindow cycles=3008084 instructions=2297632 cache-misses=533
[sample=99] cpu=0 bench=powerwindow cycles=2954178 instructions=2297636 cache-misses=439
[sample=100] cpu=0 bench=powerwindow cycles=2957361 instructions=2297637 cache-misses=453
[sample=101] cpu=0 bench=powerwindow cycles=3062808 instructions=2297633 cache-misses=522
[sample=102] cpu=0 bench=powerwindow cycles=3139672 instructions=2297649 cache-misses=570
[sample=103] cpu=0 bench=powerwindow cycles=2968730 instructions=2297644 cache-misses=531
[sample=104] cpu=0 bench=powerwindow cycles=2956321 instructions=2297648 cache-misses=443
[sample=105] cpu=0 bench=powerwindow cycles=2946894 instructions=2297641 cache-misses=423
[sample=106] cpu=0 bench=powerwindow cycles=3227268 instructions=2297628 cache-misses=539
[sample=107] cpu=0 bench=powerwindow cycles=2951907 instructions=2297630 cache-misses=419
[sample=108] cpu=0 bench=powerwindow cycles=2992404 instructions=2297635 cache-misses=494
[sample=109] cpu=0 bench=powerwindow cycles=2981059 instructions=2297630 cache-misses=514
[sample=110] cpu=0 bench=powerwindow cycles=3142694 instructions=2297626 cache-misses=470
[sample=111] cpu=0 bench=powerwindow cycles=3009100 instructions=2297615 cache-misses=492
[sample=112] cpu=0 bench=powerwindow cycles=2984983 instructions=2297642 cache-misses=497
[sample=113] cpu=0 bench=powerwindow cycles=2933699 instructions=2297645 cache-misses=413
[sample=114] cpu=0 bench=powerwindow cycles=3066112 instructions=2297633 cache-misses=461
[sample=115] cpu=0 bench=powerwindow cycles=3092565 instructions=2297618 cache-misses=477
[sample=116] cpu=0 bench=powerwindow cycles=2956402 instructions=2297626 cache-misses=421
[sample=117] cpu=0 bench=powerwindow cycles=2994487 instructions=2297633 cache-misses=542
[sample=118] cpu=0 bench=powerwindow cycles=2959790 instructions=2297637 cache-misses=505
[sample=119] cpu=0 bench=powerwindow cycles=3199218 instructions=2297625 cache-misses=557
[sample=120] cpu=0 bench=powerwindow cycles=2963011 instructions=2297626 cache-misses=420
[sample=121] cpu=0 bench=powerwindow cycles=2956014 instructions=2297622 cache-misses=453
[sample=122] cpu=0 bench=powerwindow cycles=2972388 instructions=2297642 cache-misses=483
[sample=123] cpu=0 bench=powerwindow cycles=3014447 instructions=2297640 cache-misses=481
[sample=124] cpu=0 bench=powerwindow cycles=3079202 instructions=2297631 cache-misses=551
[sample=125] cpu=0 bench=powerwindow cycles=2950604 instructions=2297642 cache-misses=474
[sample=126] cpu=0 bench=powerwindow cycles=2978877 instructions=2297633 cache-misses=472
[sample=127] cpu=0 bench=powerwindow cycles=3032891 instructions=2297635 cache-misses=461
[sample=128] cpu=0 bench=powerwindow cycles=3197658 instructions=2297637 cache-misses=553
[sample=129] cpu=0 bench=powerwindow cycles=2967764 instructions=2297638 cache-misses=524
[sample=130] cpu=0 bench=powerwindow cycles=2943231 instructions=2297622 cache-misses=453
[sample=131] cpu=0 bench=powerwindow cycles=2967148 instructions=2297634 cache-misses=462
[sample=132] cpu=0 bench=powerwindow cycles=3149109 instructions=2297644 cache-misses=465
[sample=133] cpu=0 bench=powerwindow cycles=3031327 instructions=2297636 cache-misses=472
[sample=134] cpu=0 bench=powerwindow cycles=2970669 instructions=2297640 cache-misses=482
[sample=135] cpu=0 bench=powerwindow cycles=2968095 instructions=2297626 cache-misses=476
[sample=136] cpu=0 bench=powerwindow cycles=3009387 instructions=2297632 cache-misses=433
[sample=137] cpu=0 bench=powerwindow cycles=3150965 instructions=2297649 cache-misses=585
[sample=138] cpu=0 bench=powerwindow cycles=2974884 instructions=2297633 cache-misses=433
[sample=139] cpu=0 bench=powerwindow cycles=2970900 instructions=2297631 cache-misses=505
[sample=140] cpu=0 bench=powerwindow cycles=2958520 instructions=2297642 cache-misses=415
[sample=141] cpu=0 bench=powerwindow cycles=3182083 instructions=2297633 cache-misses=481
[sample=142] cpu=0 bench=powerwindow cycles=2974928 instructions=2297643 cache-misses=469
[sample=143] cpu=0 bench=powerwindow cycles=2946125 instructions=2297634 cache-misses=487
[sample=144] cpu=0 bench=powerwindow cycles=2965775 instructions=2297636 cache-misses=544
[sample=145] cpu=0 bench=powerwindow cycles=3031189 instructions=2297614 cache-misses=492
[sample=146] cpu=0 bench=powerwindow cycles=3146466 instructions=2297625 cache-misses=616
[sample=147] cpu=0 bench=powerwindow cycles=2973962 instructions=2297642 cache-misses=502
[sample=148] cpu=0 bench=powerwindow cycles=2956909 instructions=2297642 cache-misses=428
[sample=149] cpu=0 bench=powerwindow cycles=2974906 instructions=2297630 cache-misses=527
[sample=150] cpu=0 bench=powerwindow cycles=3228425 instructions=2297636 cache-misses=587
[sample=151] cpu=0 bench=powerwindow cycles=2978574 instructions=2297626 cache-misses=488
[sample=152] cpu=0 bench=powerwindow cycles=2943385 instructions=2297633 cache-misses=474
[sample=153] cpu=0 bench=powerwindow cycles=2953266 instructions=2297624 cache-misses=459
[sample=154] cpu=0 bench=powerwindow cycles=3122598 instructions=2297632 cache-misses=474
[sample=155] cpu=0 bench=powerwindow cycles=3064880 instructions=2297645 cache-misses=543
[sample=156] cpu=0 bench=powerwindow cycles=2967409 instructions=2297639 cache-misses=481
[sample=157] cpu=0 bench=powerwindow cycles=2978434 instructions=2297628 cache-misses=514
[sample=158] cpu=0 bench=powerwindow cycles=2992735 instructions=2297636 cache-misses=459
[sample=159] cpu=0 bench=powerwindow cycles=3107043 instructions=2297636 cache-misses=500
[sample=160] cpu=0 bench=powerwindow cycles=2969403 instructions=2297632 cache-misses=540
[sample=161] cpu=0 bench=powerwindow cycles=2962393 instructions=2297636 cache-misses=474
[sample=162] cpu=0 bench=powerwindow cycles=2965960 instructions=2297627 cache-misses=550
[sample=163] cpu=0 bench=powerwindow cycles=3214917 instructions=2297646 cache-misses=540
[sample=164] cpu=0 bench=powerwindow cycles=2967973 instructions=2297628 cache-misses=465
[sample=165] cpu=0 bench=powerwindow cycles=2961812 instructions=2297650 cache-misses=517
[sample=166] cpu=0 bench=powerwindow cycles=2952789 instructions=2297640 cache-misses=426
[sample=167] cpu=0 bench=powerwindow cycles=3065708 instructions=2297643 cache-misses=532
[sample=168] cpu=0 bench=powerwindow cycles=3085027 instructions=2297627 cache-misses=507
[sample=169] cpu=0 bench=powerwindow cycles=2958544 instructions=2297624 cache-misses=441
[sample=170] cpu=0 bench=powerwindow cycles=2953746 instructions=2297631 cache-misses=516
[sample=171] cpu=0 bench=powerwindow cycles=2950375 instructions=2297644 cache-misses=444
[sample=172] cpu=0 bench=powerwindow cycles=3166379 instructions=2297633 cache-misses=545
[sample=173] cpu=0 bench=powerwindow cycles=2967861 instructions=2297627 cache-misses=473
[sample=174] cpu=0 bench=powerwindow cycles=2945651 instructions=2297634 cache-misses=438
[sample=175] cpu=0 bench=powerwindow cycles=2946364 instructions=2297636 cache-misses=486
[sample=176] cpu=0 bench=powerwindow cycles=3012092 instructions=2297639 cache-misses=401
[sample=177] cpu=0 bench=powerwindow cycles=3090096 instructions=2297633 cache-misses=594
[sample=178] cpu=0 bench=powerwindow cycles=2965291 instructions=2297635 cache-misses=473
[sample=179] cpu=0 bench=powerwindow cycles=2944314 instructions=2297649 cache-misses=460
[sample=180] cpu=0 bench=powerwindow cycles=3003983 instructions=2297627 cache-misses=451
[sample=181] cpu=0 bench=powerwindow cycles=3174447 instructions=2297635 cache-misses=536
[sample=182] cpu=0 bench=powerwindow cycles=2978875 instructions=2297642 cache-misses=440
[sample=183] cpu=0 bench=powerwindow cycles=2975112 instructions=2297643 cache-misses=484
[sample=184] cpu=0 bench=powerwindow cycles=2934105 instructions=2297625 cache-misses=507
[sample=185] cpu=0 bench=powerwindow cycles=3157509 instructions=2297643 cache-misses=494
[sample=186] cpu=0 bench=powerwindow cycles=2978512 instructions=2297630 cache-misses=460
[sample=187] cpu=0 bench=powerwindow cycles=2952128 instructions=2297644 cache-misses=402
[sample=188] cpu=0 bench=powerwindow cycles=2972049 instructions=2297646 cache-misses=511
[sample=189] cpu=0 bench=powerwindow cycles=2992304 instructions=2297634 cache-misses=449
[sample=190] cpu=0 bench=powerwindow cycles=3131846 instructions=2297632 cache-misses=588
[sample=191] cpu=0 bench=powerwindow cycles=2955948 instructions=2297629 cache-misses=367
[sample=192] cpu=0 bench=powerwindow cycles=2954310 instructions=2297627 cache-misses=457
[sample=193] cpu=0 bench=powerwindow cycles=2960712 instructions=2297633 cache-misses=417
[sample=194] cpu=0 bench=powerwindow cycles=3187197 instructions=2297629 cache-misses=506
[sample=195] cpu=0 bench=powerwindow cycles=2983987 instructions=2297634 cache-misses=541
[sample=196] cpu=0 bench=powerwindow cycles=2976634 instructions=2297638 cache-misses=477
[sample=197] cpu=0 bench=powerwindow cycles=2972866 instructions=2297644 cache-misses=443
[sample=198] cpu=0 bench=powerwindow cycles=3073327 instructions=2297633 cache-misses=512
[sample=199] cpu=0 bench=powerwindow cycles=3095502 instructions=2297639 cache-misses=501
[sample=200] cpu=0 bench=powerwindow cycles=2949603 instructions=2297627 cache-misses=488
[sample=201] cpu=0 bench=powerwindow cycles=2961351 instructions=2297644 cache-misses=467
[sample=202] cpu=0 bench=powerwindow cycles=3000657 instructions=2297630 cache-misses=477
[sample=203] cpu=0 bench=powerwindow cycles=3146191 instructions=2297626 cache-misses=497
[sample=204] cpu=0 bench=powerwindow cycles=2976002 instructions=2297641 cache-misses=503
[sample=205] cpu=0 bench=powerwindow cycles=2951313 instructions=2297635 cache-misses=471
[sample=206] cpu=0 bench=powerwindow cycles=2974711 instructions=2297632 cache-misses=470
[sample=207] cpu=0 bench=powerwindow cycles=3100898 instructions=2297617 cache-misses=455
[sample=208] cpu=0 bench=powerwindow cycles=3032653 instructions=2297635 cache-misses=580
[sample=209] cpu=0 bench=powerwindow cycles=2939759 instructions=2297626 cache-misses=418
[sample=210] cpu=0 bench=powerwindow cycles=2952672 instructions=2297638 cache-misses=454
[sample=211] cpu=0 bench=powerwindow cycles=3056134 instructions=2297628 cache-misses=522
[sample=212] cpu=0 bench=powerwindow cycles=3116673 instructions=2297644 cache-misses=560
