# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=bitcount (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=73] cpu=0 bench=bitcount cycles=30266 instructions=24583 cache-misses=11
[sample=74] cpu=0 bench=bitcount cycles=30315 instructions=24582 cache-misses=15
[sample=75] cpu=0 bench=bitcount cycles=31278 instructions=24582 cache-misses=14
[sample=76] cpu=0 bench=bitcount cycles=31378 instructions=24582 cache-misses=15
[sample=77] cpu=0 bench=bitcount cycles=31697 instructions=24582 cache-misses=15
[sample=78] cpu=0 bench=bitcount cycles=31613 instructions=24581 cache-misses=14
[sample=79] cpu=0 bench=bitcount cycles=30289 instructions=24583 cache-misses=13
[sample=80] cpu=0 bench=bitcount cycles=30997 instructions=24582 cache-misses=14
[sample=81] cpu=0 bench=bitcount cycles=33502 instructions=24580 cache-misses=13
[sample=82] cpu=0 bench=bitcount cycles=33543 instructions=24582 cache-misses=15
[sample=83] cpu=0 bench=bitcount cycles=33752 instructions=24583 cache-misses=12
[sample=84] cpu=0 bench=bitcount cycles=30367 instructions=24583 cache-misses=16
[sample=85] cpu=0 bench=bitcount cycles=30295 instructions=24584 cache-misses=12
[sample=86] cpu=0 bench=bitcount cycles=31204 instructions=24581 cache-misses=12
[sample=87] cpu=0 bench=bitcount cycles=34683 instructions=24584 cache-misses=14
[sample=88] cpu=0 bench=bitcount cycles=36765 instructions=24583 cache-misses=16
[sample=89] cpu=0 bench=bitcount cycles=32676 instructions=24582 cache-misses=14
[sample=90] cpu=0 bench=bitcount cycles=30384 instructions=24581 cache-misses=13
[sample=91] cpu=0 bench=bitcount cycles=30326 instructions=24582 cache-misses=14
[sample=92] cpu=0 bench=bitcount cycles=31780 instructions=24584 cache-misses=18
[sample=93] cpu=0 bench=bitcount cycles=32166 instructions=24582 cache-misses=17
[sample=94] cpu=0 bench=bitcount cycles=30362 instructions=24582 cache-misses=15
[sample=95] cpu=0 bench=bitcount cycles=31428 instructions=24584 cache-misses=12
[sample=96] cpu=0 bench=bitcount cycles=31029 instructions=24583 cache-misses=9
[sample=97] cpu=0 bench=bitcount cycles=30959 instructions=24581 cache-misses=19
[sample=98] cpu=0 bench=bitcount cycles=32042 instructions=24582 cache-misses=13
[sample=99] cpu=0 bench=bitcount cycles=33012 instructions=24582 cache-misses=14
[sample=100] cpu=0 bench=bitcount cycles=32148 instructions=24584 cache-misses=14
[sample=101] cpu=0 bench=bitcount cycles=31757 instructions=24581 cache-misses=10
[sample=102] cpu=0 bench=bitcount cycles=30419 instructions=24582 cache-misses=16
[sample=103] cpu=0 bench=bitcount cycles=30344 instructions=24581 cache-misses=14
[sample=104] cpu=0 bench=bitcount cycles=35164 instructions=24581 cache-misses=13
[sample=105] cpu=0 bench=bitcount cycles=32316 instructions=24583 cache-misses=13
[sample=106] cpu=0 bench=bitcount cycles=33329 instructions=24582 cache-misses=10
[sample=107] cpu=0 bench=bitcount cycles=31946 instructions=24581 cache-misses=14
[sample=108] cpu=0 bench=bitcount cycles=30346 instructions=24582 cache-misses=13
[sample=109] cpu=0 bench=bitcount cycles=30392 instructions=24583 cache-misses=11
[sample=110] cpu=0 bench=bitcount cycles=32423 instructions=24580 cache-misses=15
[sample=111] cpu=0 bench=bitcount cycles=31919 instructions=24581 cache-misses=10
[sample=112] cpu=0 bench=bitcount cycles=36403 instructions=24581 cache-misses=15
[sample=113] cpu=0 bench=bitcount cycles=35248 instructions=24581 cache-misses=13
[sample=114] cpu=0 bench=bitcount cycles=30316 instructions=24581 cache-misses=17
[sample=115] cpu=0 bench=bitcount cycles=30348 instructions=24580 cache-misses=11
[sample=116] cpu=0 bench=bitcount cycles=36356 instructions=24580 cache-misses=13
[sample=117] cpu=0 bench=bitcount cycles=35526 instructions=24581 cache-misses=11
[sample=118] cpu=0 bench=bitcount cycles=35716 instructions=24581 cache-misses=13
[sample=119] cpu=0 bench=bitcount cycles=35570 instructions=24581 cache-misses=14
[sample=120] cpu=0 bench=bitcount cycles=30335 instructions=24584 cache-misses=14
[sample=121] cpu=0 bench=bitcount cycles=30380 instructions=24582 cache-misses=10
[sample=122] cpu=0 bench=bitcount cycles=32601 instructions=24584 cache-misses=14
[sample=123] cpu=0 bench=bitcount cycles=32035 instructions=24582 cache-misses=16
[sample=124] cpu=0 bench=bitcount cycles=32090 instructions=24579 cache-misses=20
[sample=125] cpu=0 bench=bitcount cycles=30366 instructions=24582 cache-misses=14
[sample=126] cpu=0 bench=bitcount cycles=30300 instructions=24582 cache-misses=12
[sample=127] cpu=0 bench=bitcount cycles=30655 instructions=24581 cache-misses=14
[sample=128] cpu=0 bench=bitcount cycles=31520 instructions=24581 cache-misses=14
[sample=129] cpu=0 bench=bitcount cycles=31784 instructions=24580 cache-misses=13
[sample=130] cpu=0 bench=bitcount cycles=32102 instructions=24580 cache-misses=13
[sample=131] cpu=0 bench=bitcount cycles=30312 instructions=24580 cache-misses=14
[sample=132] cpu=0 bench=bitcount cycles=30330 instructions=24581 cache-misses=10
[sample=133] cpu=0 bench=bitcount cycles=34329 instructions=24580 cache-misses=12
[sample=134] cpu=0 bench=bitcount cycles=33972 instructions=24581 cache-misses=18
[sample=135] cpu=0 bench=bitcount cycles=31223 instructions=24582 cache-misses=17
[sample=136] cpu=0 bench=bitcount cycles=30330 instructions=24581 cache-misses=13
[sample=137] cpu=0 bench=bitcount cycles=30335 instructions=24582 cache-misses=12
[sample=138] cpu=0 bench=bitcount cycles=35717 instructions=24582 cache-misses=11
[sample=139] cpu=0 bench=bitcount cycles=30995 instructions=24580 cache-misses=13
[sample=140] cpu=0 bench=bitcount cycles=31237 instructions=24582 cache-misses=16
[sample=141] cpu=0 bench=bitcount cycles=31424 instructions=24582 cache-misses=12
[sample=142] cpu=0 bench=bitcount cycles=30339 instructions=24582 cache-misses=14
[sample=143] cpu=0 bench=bitcount cycles=32727 instructions=24581 cache-misses=18
[sample=144] cpu=0 bench=bitcount cycles=34044 instructions=24582 cache-misses=14
[sample=145] cpu=0 bench=bitcount cycles=34932 instructions=24582 cache-misses=12
[sample=146] cpu=0 bench=bitcount cycles=30382 instructions=24581 cache-misses=14
[sample=147] cpu=0 bench=bitcount cycles=31528 instructions=24584 cache-misses=16
[sample=148] cpu=0 bench=bitcount cycles=31678 instructions=24581 cache-misses=11
[sample=149] cpu=0 bench=bitcount cycles=31131 instructions=24579 cache-misses=13
[sample=150] cpu=0 bench=bitcount cycles=30376 instructions=24582 cache-misses=15
[sample=151] cpu=0 bench=bitcount cycles=30391 instructions=24582 cache-misses=12
[sample=152] cpu=0 bench=bitcount cycles=31254 instructions=24581 cache-misses=15
