# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=ndes (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=75] cpu=0 bench=ndes cycles=105289 instructions=83050 cache-misses=35
[sample=76] cpu=0 bench=ndes cycles=115441 instructions=83050 cache-misses=38
[sample=77] cpu=0 bench=ndes cycles=113459 instructions=83049 cache-misses=42
[sample=78] cpu=0 bench=ndes cycles=105538 instructions=83049 cache-misses=38
[sample=79] cpu=0 bench=ndes cycles=106356 instructions=83050 cache-misses=38
[sample=80] cpu=0 bench=ndes cycles=106237 instructions=83050 cache-misses=41
[sample=81] cpu=0 bench=ndes cycles=108214 instructions=83049 cache-misses=44
[sample=82] cpu=0 bench=ndes cycles=111765 instructions=83050 cache-misses=37
[sample=83] cpu=0 bench=ndes cycles=107866 instructions=83051 cache-misses=34
[sample=84] cpu=0 bench=ndes cycles=105297 instructions=83050 cache-misses=37
[sample=85] cpu=0 bench=ndes cycles=110804 instructions=83051 cache-misses=43
[sample=86] cpu=0 bench=ndes cycles=108456 instructions=83050 cache-misses=42
[sample=87] cpu=0 bench=ndes cycles=111767 instructions=83051 cache-misses=38
[sample=88] cpu=0 bench=ndes cycles=106324 instructions=83050 cache-misses=34
[sample=89] cpu=0 bench=ndes cycles=112349 instructions=83051 cache-misses=32
[sample=90] cpu=0 bench=ndes cycles=112867 instructions=83051 cache-misses=48
[sample=91] cpu=0 bench=ndes cycles=113925 instructions=83053 cache-misses=42
[sample=92] cpu=0 bench=ndes cycles=106274 instructions=83052 cache-misses=37
[sample=93] cpu=0 bench=ndes cycles=112599 instructions=83050 cache-misses=45
[sample=94] cpu=0 bench=ndes cycles=112430 instructions=83050 cache-misses=32
[sample=95] cpu=0 bench=ndes cycles=105568 instructions=83051 cache-misses=39
[sample=96] cpu=0 bench=ndes cycles=106968 instructions=83050 cache-misses=37
[sample=97] cpu=0 bench=ndes cycles=112036 instructions=83050 cache-misses=40
[sample=98] cpu=0 bench=ndes cycles=110144 instructions=83050 cache-misses=36
[sample=99] cpu=0 bench=ndes cycles=105509 instructions=83050 cache-misses=30
[sample=100] cpu=0 bench=ndes cycles=106815 instructions=83049 cache-misses=38
[sample=101] cpu=0 bench=ndes cycles=109649 instructions=83049 cache-misses=40
[sample=102] cpu=0 bench=ndes cycles=107404 instructions=83050 cache-misses=30
[sample=103] cpu=0 bench=ndes cycles=110629 instructions=83049 cache-misses=35
[sample=104] cpu=0 bench=ndes cycles=112029 instructions=83048 cache-misses=36
[sample=105] cpu=0 bench=ndes cycles=105344 instructions=83051 cache-misses=37
[sample=106] cpu=0 bench=ndes cycles=111113 instructions=83049 cache-misses=37
[sample=107] cpu=0 bench=ndes cycles=109944 instructions=83050 cache-misses=39
[sample=108] cpu=0 bench=ndes cycles=110119 instructions=83049 cache-misses=37
[sample=109] cpu=0 bench=ndes cycles=105486 instructions=83051 cache-misses=35
[sample=110] cpu=0 bench=ndes cycles=111911 instructions=83049 cache-misses=34
[sample=111] cpu=0 bench=ndes cycles=116734 instructions=83049 cache-misses=36
[sample=112] cpu=0 bench=ndes cycles=105457 instructions=83050 cache-misses=39
[sample=113] cpu=0 bench=ndes cycles=105998 instructions=83049 cache-misses=39
[sample=114] cpu=0 bench=ndes cycles=111710 instructions=83049 cache-misses=50
[sample=115] cpu=0 bench=ndes cycles=112437 instructions=83050 cache-misses=42
[sample=116] cpu=0 bench=ndes cycles=105324 instructions=83049 cache-misses=44
[sample=117] cpu=0 bench=ndes cycles=106784 instructions=83049 cache-misses=33
[sample=118] cpu=0 bench=ndes cycles=108973 instructions=83049 cache-misses=38
[sample=119] cpu=0 bench=ndes cycles=109938 instructions=83049 cache-misses=40
[sample=120] cpu=0 bench=ndes cycles=105625 instructions=83050 cache-misses=46
[sample=121] cpu=0 bench=ndes cycles=119188 instructions=83052 cache-misses=45
[sample=122] cpu=0 bench=ndes cycles=109193 instructions=83050 cache-misses=35
[sample=123] cpu=0 bench=ndes cycles=106304 instructions=83050 cache-misses=34
[sample=124] cpu=0 bench=ndes cycles=109135 instructions=83050 cache-misses=38
[sample=125] cpu=0 bench=ndes cycles=109905 instructions=83049 cache-misses=45
[sample=126] cpu=0 bench=ndes cycles=112436 instructions=83051 cache-misses=36
[sample=127] cpu=0 bench=ndes cycles=105499 instructions=83051 cache-misses=30
[sample=128] cpu=0 bench=ndes cycles=107425 instructions=83048 cache-misses=39
[sample=129] cpu=0 bench=ndes cycles=114237 instructions=83049 cache-misses=34
[sample=130] cpu=0 bench=ndes cycles=108257 instructions=83048 cache-misses=37
[sample=131] cpu=0 bench=ndes cycles=106080 instructions=83050 cache-misses=40
[sample=132] cpu=0 bench=ndes cycles=107994 instructions=83049 cache-misses=41
[sample=133] cpu=0 bench=ndes cycles=113615 instructions=83050 cache-misses=36
[sample=134] cpu=0 bench=ndes cycles=107488 instructions=83050 cache-misses=38
[sample=135] cpu=0 bench=ndes cycles=106199 instructions=83051 cache-misses=50
[sample=136] cpu=0 bench=ndes cycles=111785 instructions=83050 cache-misses=52
[sample=137] cpu=0 bench=ndes cycles=111401 instructions=83048 cache-misses=41
