# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=gsm_enc (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=66] cpu=0 bench=gsm_enc cycles=12706937 instructions=7834233 cache-misses=104
[sample=67] cpu=0 bench=gsm_enc cycles=12434663 instructions=7834236 cache-misses=80
[sample=68] cpu=0 bench=gsm_enc cycles=12528309 instructions=7834272 cache-misses=73
[sample=69] cpu=0 bench=gsm_enc cycles=12637369 instructions=7834214 cache-misses=78
[sample=70] cpu=0 bench=gsm_enc cycles=12419090 instructions=7834239 cache-misses=97
[sample=71] cpu=0 bench=gsm_enc cycles=12764447 instructions=7834239 cache-misses=83
[sample=72] cpu=0 bench=gsm_enc cycles=12465588 instructions=7834268 cache-misses=68
[sample=73] cpu=0 bench=gsm_enc cycles=12524278 instructions=7834252 cache-misses=67
[sample=74] cpu=0 bench=gsm_enc cycles=12395469 instructions=7834268 cache-misses=95
[sample=75] cpu=0 bench=gsm_enc cycles=12715770 instructions=7834239 cache-misses=91
[sample=76] cpu=0 bench=gsm_enc cycles=12418444 instructions=7834255 cache-misses=58
[sample=77] cpu=0 bench=gsm_enc cycles=12622307 instructions=7834269 cache-misses=92
[sample=78] cpu=0 bench=gsm_enc cycles=12461018 instructions=7834233 cache-misses=107
[sample=79] cpu=0 bench=gsm_enc cycles=12785415 instructions=7834246 cache-misses=80
[sample=80] cpu=0 bench=gsm_enc cycles=12527663 instructions=7834249 cache-misses=92
[sample=81] cpu=0 bench=gsm_enc cycles=12962248 instructions=7834261 cache-misses=87
[sample=82] cpu=0 bench=gsm_enc cycles=12353282 instructions=7834253 cache-misses=78
[sample=83] cpu=0 bench=gsm_enc cycles=12770889 instructions=7834282 cache-misses=83
[sample=84] cpu=0 bench=gsm_enc cycles=12517393 instructions=7834285 cache-misses=87
[sample=85] cpu=0 bench=gsm_enc cycles=12565550 instructions=7834267 cache-misses=92
[sample=86] cpu=0 bench=gsm_enc cycles=12377830 instructions=7834249 cache-misses=98
[sample=87] cpu=0 bench=gsm_enc cycles=12512610 instructions=7834253 cache-misses=105
[sample=88] cpu=0 bench=gsm_enc cycles=12496634 instructions=7834260 cache-misses=98
[sample=89] cpu=0 bench=gsm_enc cycles=12682195 instructions=7834247 cache-misses=101
[sample=90] cpu=0 bench=gsm_enc cycles=12456089 instructions=7834233 cache-misses=97
[sample=91] cpu=0 bench=gsm_enc cycles=12486794 instructions=7834258 cache-misses=86
[sample=92] cpu=0 bench=gsm_enc cycles=12807951 instructions=7834252 cache-misses=102
[sample=93] cpu=0 bench=gsm_enc cycles=12256982 instructions=7834260 cache-misses=77
[sample=94] cpu=0 bench=gsm_enc cycles=12854104 instructions=7834231 cache-misses=72
