# board=imx8mm
# config=LLC
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=cubic (measured)  cpu1=MAX_LLC  cpu2=MAX_LLC  cpu3=MAX_LLC
[sample=97] cpu=0 bench=cubic cycles=2149976 instructions=1454952 cache-misses=10
[sample=98] cpu=0 bench=cubic cycles=2181071 instructions=1454951 cache-misses=15
[sample=99] cpu=0 bench=cubic cycles=2248316 instructions=1454949 cache-misses=14
[sample=100] cpu=0 bench=cubic cycles=2172784 instructions=1454953 cache-misses=12
[sample=101] cpu=0 bench=cubic cycles=2148949 instructions=1454955 cache-misses=13
[sample=102] cpu=0 bench=cubic cycles=2157614 instructions=1454959 cache-misses=15
[sample=103] cpu=0 bench=cubic cycles=2151041 instructions=1454954 cache-misses=10
[sample=104] cpu=0 bench=cubic cycles=2147374 instructions=1454956 cache-misses=10
[sample=105] cpu=0 bench=cubic cycles=2239901 instructions=1454954 cache-misses=13
[sample=106] cpu=0 bench=cubic cycles=2173320 instructions=1454952 cache-misses=13
[sample=107] cpu=0 bench=cubic cycles=2166160 instructions=1454963 cache-misses=26
[sample=108] cpu=0 bench=cubic cycles=2131252 instructions=1454958 cache-misses=11
[sample=109] cpu=0 bench=cubic cycles=2159601 instructions=1454957 cache-misses=12
[sample=110] cpu=0 bench=cubic cycles=2143546 instructions=1454950 cache-misses=14
[sample=111] cpu=0 bench=cubic cycles=2244630 instructions=1454949 cache-misses=9
[sample=112] cpu=0 bench=cubic cycles=2169791 instructions=1454950 cache-misses=15
[sample=113] cpu=0 bench=cubic cycles=2156846 instructions=1454953 cache-misses=9
[sample=114] cpu=0 bench=cubic cycles=2156095 instructions=1454951 cache-misses=17
[sample=115] cpu=0 bench=cubic cycles=2152280 instructions=1454953 cache-misses=11
[sample=116] cpu=0 bench=cubic cycles=2172584 instructions=1454950 cache-misses=15
[sample=117] cpu=0 bench=cubic cycles=2224756 instructions=1454956 cache-misses=11
[sample=118] cpu=0 bench=cubic cycles=2183361 instructions=1454952 cache-misses=15
[sample=119] cpu=0 bench=cubic cycles=2145920 instructions=1454955 cache-misses=13
[sample=120] cpu=0 bench=cubic cycles=2155837 instructions=1454947 cache-misses=9
[sample=121] cpu=0 bench=cubic cycles=2160639 instructions=1454956 cache-misses=12
[sample=122] cpu=0 bench=cubic cycles=2154704 instructions=1454954 cache-misses=12
[sample=123] cpu=0 bench=cubic cycles=2255078 instructions=1454958 cache-misses=13
[sample=124] cpu=0 bench=cubic cycles=2168549 instructions=1454950 cache-misses=13
[sample=125] cpu=0 bench=cubic cycles=2158556 instructions=1454950 cache-misses=18
[sample=126] cpu=0 bench=cubic cycles=2149244 instructions=1454958 cache-misses=11
[sample=127] cpu=0 bench=cubic cycles=2150964 instructions=1454951 cache-misses=9
[sample=128] cpu=0 bench=cubic cycles=2159139 instructions=1454951 cache-misses=12
[sample=129] cpu=0 bench=cubic cycles=2222801 instructions=1454945 cache-misses=11
[sample=130] cpu=0 bench=cubic cycles=2178788 instructions=1454952 cache-misses=10
[sample=131] cpu=0 bench=cubic cycles=2160931 instructions=1454951 cache-misses=9
[sample=132] cpu=0 bench=cubic cycles=2161395 instructions=1454959 cache-misses=16
[sample=133] cpu=0 bench=cubic cycles=2145535 instructions=1454951 cache-misses=16
[sample=134] cpu=0 bench=cubic cycles=2186061 instructions=1454953 cache-misses=17
[sample=135] cpu=0 bench=cubic cycles=2232103 instructions=1454954 cache-misses=15
[sample=136] cpu=0 bench=cubic cycles=2190696 instructions=1454952 cache-misses=15
[sample=137] cpu=0 bench=cubic cycles=2151603 instructions=1454955 cache-misses=10
[sample=138] cpu=0 bench=cubic cycles=2147581 instructions=1454949 cache-misses=8
[sample=139] cpu=0 bench=cubic cycles=2152998 instructions=1454957 cache-misses=19
[sample=140] cpu=0 bench=cubic cycles=2152820 instructions=1454959 cache-misses=9
[sample=141] cpu=0 bench=cubic cycles=2256775 instructions=1454955 cache-misses=20
[sample=142] cpu=0 bench=cubic cycles=2177939 instructions=1454959 cache-misses=13
[sample=143] cpu=0 bench=cubic cycles=2157642 instructions=1454955 cache-misses=14
[sample=144] cpu=0 bench=cubic cycles=2150229 instructions=1454953 cache-misses=13
[sample=145] cpu=0 bench=cubic cycles=2154861 instructions=1454948 cache-misses=11
[sample=146] cpu=0 bench=cubic cycles=2167192 instructions=1454952 cache-misses=17
[sample=147] cpu=0 bench=cubic cycles=2233096 instructions=1454954 cache-misses=12
[sample=148] cpu=0 bench=cubic cycles=2173163 instructions=1454952 cache-misses=18
[sample=149] cpu=0 bench=cubic cycles=2161295 instructions=1454951 cache-misses=13
[sample=150] cpu=0 bench=cubic cycles=2160951 instructions=1454954 cache-misses=15
[sample=151] cpu=0 bench=cubic cycles=2143052 instructions=1454954 cache-misses=15
[sample=152] cpu=0 bench=cubic cycles=2178857 instructions=1454955 cache-misses=13
[sample=153] cpu=0 bench=cubic cycles=2235140 instructions=1454953 cache-misses=13
[sample=154] cpu=0 bench=cubic cycles=2179521 instructions=1454951 cache-misses=13
[sample=155] cpu=0 bench=cubic cycles=2150141 instructions=1454953 cache-misses=18
[sample=156] cpu=0 bench=cubic cycles=2156847 instructions=1454950 cache-misses=14
[sample=157] cpu=0 bench=cubic cycles=2159464 instructions=1454953 cache-misses=19
[sample=158] cpu=0 bench=cubic cycles=2154674 instructions=1454955 cache-misses=15
[sample=159] cpu=0 bench=cubic cycles=2228680 instructions=1454948 cache-misses=18
[sample=160] cpu=0 bench=cubic cycles=2169595 instructions=1454955 cache-misses=16
[sample=161] cpu=0 bench=cubic cycles=2157550 instructions=1454957 cache-misses=12
[sample=162] cpu=0 bench=cubic cycles=2148797 instructions=1454955 cache-misses=17
[sample=163] cpu=0 bench=cubic cycles=2148247 instructions=1454949 cache-misses=8
[sample=164] cpu=0 bench=cubic cycles=2158658 instructions=1454955 cache-misses=15
[sample=165] cpu=0 bench=cubic cycles=2227185 instructions=1454947 cache-misses=9
[sample=166] cpu=0 bench=cubic cycles=2174857 instructions=1454951 cache-misses=17
[sample=167] cpu=0 bench=cubic cycles=2162333 instructions=1454950 cache-misses=10
[sample=168] cpu=0 bench=cubic cycles=2156933 instructions=1454950 cache-misses=14
[sample=169] cpu=0 bench=cubic cycles=2157278 instructions=1454950 cache-misses=15
[sample=170] cpu=0 bench=cubic cycles=2192624 instructions=1454951 cache-misses=8
[sample=171] cpu=0 bench=cubic cycles=2229678 instructions=1454950 cache-misses=12
[sample=172] cpu=0 bench=cubic cycles=2183890 instructions=1454949 cache-misses=17
[sample=173] cpu=0 bench=cubic cycles=2143219 instructions=1454952 cache-misses=11
[sample=174] cpu=0 bench=cubic cycles=2151232 instructions=1454952 cache-misses=12
[sample=175] cpu=0 bench=cubic cycles=2159037 instructions=1454954 cache-misses=22
[sample=176] cpu=0 bench=cubic cycles=2151726 instructions=1454952 cache-misses=15
[sample=177] cpu=0 bench=cubic cycles=2244927 instructions=1454955 cache-misses=18
[sample=178] cpu=0 bench=cubic cycles=2169152 instructions=1454953 cache-misses=10
[sample=179] cpu=0 bench=cubic cycles=2165970 instructions=1454955 cache-misses=17
[sample=180] cpu=0 bench=cubic cycles=2151809 instructions=1454949 cache-misses=16
[sample=181] cpu=0 bench=cubic cycles=2147397 instructions=1454953 cache-misses=8
[sample=182] cpu=0 bench=cubic cycles=2154733 instructions=1454951 cache-misses=13
[sample=183] cpu=0 bench=cubic cycles=2219668 instructions=1454956 cache-misses=10
[sample=184] cpu=0 bench=cubic cycles=2171319 instructions=1454953 cache-misses=16
[sample=185] cpu=0 bench=cubic cycles=2160982 instructions=1454953 cache-misses=7
[sample=186] cpu=0 bench=cubic cycles=2160075 instructions=1454952 cache-misses=12
[sample=187] cpu=0 bench=cubic cycles=2144275 instructions=1454951 cache-misses=15
[sample=188] cpu=0 bench=cubic cycles=2201846 instructions=1454949 cache-misses=19
[sample=189] cpu=0 bench=cubic cycles=2218365 instructions=1454951 cache-misses=13
[sample=190] cpu=0 bench=cubic cycles=2177666 instructions=1454950 cache-misses=20
[sample=191] cpu=0 bench=cubic cycles=2147725 instructions=1454953 cache-misses=14
[sample=192] cpu=0 bench=cubic cycles=2151711 instructions=1454950 cache-misses=7
[sample=193] cpu=0 bench=cubic cycles=2154593 instructions=1454955 cache-misses=17
[sample=194] cpu=0 bench=cubic cycles=2151019 instructions=1454953 cache-misses=14
[sample=195] cpu=0 bench=cubic cycles=2236273 instructions=1454954 cache-misses=21
[sample=196] cpu=0 bench=cubic cycles=2172500 instructions=1454949 cache-misses=16
[sample=197] cpu=0 bench=cubic cycles=2171201 instructions=1454956 cache-misses=11
[sample=198] cpu=0 bench=cubic cycles=2153987 instructions=1454949 cache-misses=15
[sample=199] cpu=0 bench=cubic cycles=2154768 instructions=1454955 cache-misses=15
[sample=200] cpu=0 bench=cubic cycles=2159415 instructions=1454954 cache-misses=13
[sample=201] cpu=0 bench=cubic cycles=2229700 instructions=1454953 cache-misses=12
[sample=202] cpu=0 bench=cubic cycles=2173357 instructions=1454958 cache-misses=12
[sample=203] cpu=0 bench=cubic cycles=2158925 instructions=1454951 cache-misses=11
[sample=204] cpu=0 bench=cubic cycles=2162770 instructions=1454961 cache-misses=15
[sample=205] cpu=0 bench=cubic cycles=2151378 instructions=1454951 cache-misses=15
[sample=206] cpu=0 bench=cubic cycles=2199643 instructions=1454951 cache-misses=17
[sample=207] cpu=0 bench=cubic cycles=2234582 instructions=1454951 cache-misses=14
[sample=208] cpu=0 bench=cubic cycles=2199895 instructions=1454954 cache-misses=14
[sample=209] cpu=0 bench=cubic cycles=2146369 instructions=1454952 cache-misses=12
[sample=210] cpu=0 bench=cubic cycles=2153155 instructions=1454952 cache-misses=9
[sample=211] cpu=0 bench=cubic cycles=2153360 instructions=1454953 cache-misses=11
[sample=212] cpu=0 bench=cubic cycles=2144239 instructions=1454954 cache-misses=13
[sample=213] cpu=0 bench=cubic cycles=2255486 instructions=1454954 cache-misses=15
[sample=214] cpu=0 bench=cubic cycles=2179219 instructions=1454953 cache-misses=11
[sample=215] cpu=0 bench=cubic cycles=2160599 instructions=1454951 cache-misses=13
[sample=216] cpu=0 bench=cubic cycles=2147446 instructions=1454955 cache-misses=10
[sample=217] cpu=0 bench=cubic cycles=2158160 instructions=1454950 cache-misses=11
[sample=218] cpu=0 bench=cubic cycles=2160266 instructions=1454954 cache-misses=14
[sample=219] cpu=0 bench=cubic cycles=2223418 instructions=1454950 cache-misses=15
[sample=220] cpu=0 bench=cubic cycles=2172324 instructions=1454949 cache-misses=10
[sample=221] cpu=0 bench=cubic cycles=2158130 instructions=1454955 cache-misses=8
[sample=222] cpu=0 bench=cubic cycles=2170217 instructions=1454955 cache-misses=16
[sample=223] cpu=0 bench=cubic cycles=2146967 instructions=1454956 cache-misses=13
[sample=224] cpu=0 bench=cubic cycles=2186459 instructions=1454953 cache-misses=17
[sample=225] cpu=0 bench=cubic cycles=2229812 instructions=1454953 cache-misses=13
[sample=226] cpu=0 bench=cubic cycles=2181699 instructions=1454954 cache-misses=19
[sample=227] cpu=0 bench=cubic cycles=2148105 instructions=1454954 cache-misses=10
[sample=228] cpu=0 bench=cubic cycles=2150752 instructions=1454948 cache-misses=10
[sample=229] cpu=0 bench=cubic cycles=2159643 instructions=1454955 cache-misses=15
[sample=230] cpu=0 bench=cubic cycles=2143991 instructions=1454955 cache-misses=14
[sample=231] cpu=0 bench=cubic cycles=2264736 instructions=1454957 cache-misses=19
[sample=232] cpu=0 bench=cubic cycles=2174246 instructions=1454954 cache-misses=15
[sample=233] cpu=0 bench=cubic cycles=2167215 instructions=1454952 cache-misses=13
[sample=234] cpu=0 bench=cubic cycles=2149452 instructions=1454955 cache-misses=13
[sample=235] cpu=0 bench=cubic cycles=2150941 instructions=1454952 cache-misses=10
[sample=236] cpu=0 bench=cubic cycles=2156496 instructions=1454949 cache-misses=16
[sample=237] cpu=0 bench=cubic cycles=2220203 instructions=1454952 cache-misses=12
[sample=238] cpu=0 bench=cubic cycles=2173719 instructions=1454945 cache-misses=13
[sample=239] cpu=0 bench=cubic cycles=2156823 instructions=1454949 cache-misses=16
[sample=240] cpu=0 bench=cubic cycles=2164505 instructions=1454948 cache-misses=16
[sample=241] cpu=0 bench=cubic cycles=2142574 instructions=1454950 cache-misses=16
[sample=242] cpu=0 bench=cubic cycles=2152958 instructions=1454949 cache-misses=8
