# board=imx8mm
# config=BUS+MEM
# repeats=1000
# expected_active_cores=4
# runner=crisp_run_paper_matrix.sh
[sudo] password for gjh: [info] cpu0..cpu3 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=1000, active_cores=4, lock_freq_khz=1600000
# cpu0=fft (measured)  cpu1=MAX_BUS  cpu2=MAX_MEM  cpu3=MAX_MEM
[sample=75] cpu=0 bench=fft cycles=1089728 instructions=771094 cache-misses=198
[sample=76] cpu=0 bench=fft cycles=1036578 instructions=771099 cache-misses=127
[sample=77] cpu=0 bench=fft cycles=1053080 instructions=771414 cache-misses=131
[sample=78] cpu=0 bench=fft cycles=1020643 instructions=771199 cache-misses=96
[sample=79] cpu=0 bench=fft cycles=1034395 instructions=771360 cache-misses=157
[sample=80] cpu=0 bench=fft cycles=1023323 instructions=771100 cache-misses=72
[sample=81] cpu=0 bench=fft cycles=1045782 instructions=771096 cache-misses=136
[sample=82] cpu=0 bench=fft cycles=1062486 instructions=771101 cache-misses=145
[sample=83] cpu=0 bench=fft cycles=1093149 instructions=771088 cache-misses=159
[sample=84] cpu=0 bench=fft cycles=1101066 instructions=771106 cache-misses=197
[sample=85] cpu=0 bench=fft cycles=1042124 instructions=771091 cache-misses=125
[sample=86] cpu=0 bench=fft cycles=1039438 instructions=771089 cache-misses=140
[sample=87] cpu=0 bench=fft cycles=1070257 instructions=771098 cache-misses=148
[sample=88] cpu=0 bench=fft cycles=1052487 instructions=771091 cache-misses=160
[sample=89] cpu=0 bench=fft cycles=1011997 instructions=771096 cache-misses=240
[sample=90] cpu=0 bench=fft cycles=1013730 instructions=771089 cache-misses=119
[sample=91] cpu=0 bench=fft cycles=984059 instructions=771087 cache-misses=64
[sample=92] cpu=0 bench=fft cycles=1003283 instructions=771095 cache-misses=134
[sample=93] cpu=0 bench=fft cycles=996132 instructions=771087 cache-misses=121
[sample=94] cpu=0 bench=fft cycles=1000773 instructions=771383 cache-misses=129
[sample=95] cpu=0 bench=fft cycles=983159 instructions=771440 cache-misses=70
[sample=96] cpu=0 bench=fft cycles=1036169 instructions=771098 cache-misses=129
[sample=97] cpu=0 bench=fft cycles=1066491 instructions=771084 cache-misses=204
[sample=98] cpu=0 bench=fft cycles=1039030 instructions=771101 cache-misses=116
[sample=99] cpu=0 bench=fft cycles=1034284 instructions=771102 cache-misses=113
[sample=100] cpu=0 bench=fft cycles=1038784 instructions=771100 cache-misses=121
[sample=101] cpu=0 bench=fft cycles=1039249 instructions=771418 cache-misses=176
[sample=102] cpu=0 bench=fft cycles=1082758 instructions=771426 cache-misses=158
[sample=103] cpu=0 bench=fft cycles=1060139 instructions=771099 cache-misses=127
[sample=104] cpu=0 bench=fft cycles=1059700 instructions=771087 cache-misses=154
