bench,event,count
cjpeg_wrbmp,branch-misses,352285
cjpeg_wrbmp,dTLB-load-misses,3620
cjpeg_wrbmp,iTLB-load-misses,815
complex_updates,cycles,120334621
complex_updates,instructions,34145425
complex_updates,cache-misses,136802
complex_updates,branch-instructions,3985561
complex_updates,branch-misses,268823
complex_updates,dTLB-load-misses,3134
complex_updates,iTLB-load-misses,709
cosf,cycles,146014618
cosf,instructions,51262225
cosf,cache-misses,146655
cosf,branch-instructions,5574702
cosf,branch-misses,311444
cosf,dTLB-load-misses,3244
cosf,iTLB-load-misses,736
countnegative,cycles,149390177
countnegative,instructions,55150838
countnegative,cache-misses,162448
countnegative,branch-instructions,5701628
countnegative,branch-misses,308891
countnegative,dTLB-load-misses,2973
countnegative,iTLB-load-misses,587
cover,cycles,122893510
cover,instructions,34433027
cover,cache-misses,160378
cover,branch-instructions,4386173
cover,branch-misses,415999
cover,dTLB-load-misses,3154
cover,iTLB-load-misses,793
cubic,cycles,2239701266
cubic,instructions,1468170001
cubic,cache-misses,263918
cubic,branch-instructions,88390146
cubic,branch-misses,17517888
cubic,dTLB-load-misses,4612
cubic,iTLB-load-misses,2015
deg2rad,cycles,133961277
deg2rad,instructions,40611971
deg2rad,cache-misses,157242
deg2rad,branch-instructions,4185132
deg2rad,branch-misses,281803
deg2rad,dTLB-load-misses,3059
deg2rad,iTLB-load-misses,730
dijkstra,cycles,108589639171
dijkstra,instructions,82875051492
dijkstra,cache-misses,9013146
dijkstra,branch-instructions,4995101971
dijkstra,branch-misses,53661100
dijkstra,dTLB-load-misses,9644
dijkstra,iTLB-load-misses,3574
duff,cycles,121447803
duff,instructions,34552889
duff,cache-misses,143984
duff,branch-instructions,4103946
duff,branch-misses,267246
duff,dTLB-load-misses,2945
duff,iTLB-load-misses,684
epic,cycles,5651998895
epic,instructions,4338648408
epic,cache-misses,1091266
epic,branch-instructions,399705469
epic,branch-misses,16169515
epic,dTLB-load-misses,5259
epic,iTLB-load-misses,794
fac,cycles,117225765
fac,instructions,32219355
fac,cache-misses,130676
fac,branch-instructions,3954550
fac,branch-misses,271209
fac,dTLB-load-misses,3243
fac,iTLB-load-misses,742
fft,cycles,1086809543
fft,instructions,779279919
fft,cache-misses,481338
fft,branch-instructions,63815636
fft,branch-misses,3514479
fft,dTLB-load-misses,3823
fft,iTLB-load-misses,810
filterbank,cycles,15841680324
filterbank,instructions,10388840926
filterbank,cache-misses,968140
filterbank,branch-instructions,281828255
filterbank,branch-misses,10942181
filterbank,dTLB-load-misses,6726
filterbank,iTLB-load-misses,1972
fir2dim,cycles,130511592
fir2dim,instructions,39203003
fir2dim,cache-misses,175072
fir2dim,branch-instructions,4589981
fir2dim,branch-misses,312238
fir2dim,dTLB-load-misses,3131
fir2dim,iTLB-load-misses,724
fmref,cycles,759502621
fmref,instructions,428201483
fmref,cache-misses,293533
fmref,branch-instructions,31419754
fmref,branch-misses,915916
fmref,dTLB-load-misses,3875
fmref,iTLB-load-misses,803
gsm_dec,cycles,3862164062
gsm_dec,instructions,2794155730
gsm_dec,cache-misses,433826
gsm_dec,branch-instructions,229831271
gsm_dec,branch-misses,5576918
gsm_dec,dTLB-load-misses,3865
gsm_dec,iTLB-load-misses,840
gsm_enc,cycles,11837053852
gsm_enc,instructions,7855018609
gsm_enc,cache-misses,604359
gsm_enc,branch-instructions,204630313
gsm_enc,branch-misses,18530677
gsm_enc,dTLB-load-misses,4560
gsm_enc,iTLB-load-misses,1292
h264_dec,cycles,638124787
h264_dec,instructions,412619343
h264_dec,cache-misses,342398
h264_dec,branch-instructions,22473647
h264_dec,branch-misses,437610
h264_dec,dTLB-load-misses,3725
h264_dec,iTLB-load-misses,906
huff_enc,cycles,1603223726
huff_enc,instructions,1115394315
huff_enc,cache-misses,544352
huff_enc,branch-instructions,81237375
huff_enc,branch-misses,7850100
huff_enc,dTLB-load-misses,3767
huff_enc,iTLB-load-misses,804
iir,cycles,119832949
iir,instructions,33096786
iir,cache-misses,148660
iir,branch-instructions,4051117
iir,branch-misses,281355
iir,dTLB-load-misses,3251
iir,iTLB-load-misses,890
insertsort,cycles,120718031
insertsort,instructions,33313871
insertsort,cache-misses,143424
insertsort,branch-instructions,4013011
insertsort,branch-misses,286409
insertsort,dTLB-load-misses,3115
insertsort,iTLB-load-misses,739
isqrt,cycles,1549510024
isqrt,instructions,1101442056
isqrt,cache-misses,213649
isqrt,branch-instructions,68626211
isqrt,branch-misses,12534710
isqrt,dTLB-load-misses,4927
isqrt,iTLB-load-misses,1205
jfdctint,cycles,125606515
jfdctint,instructions,36300118
jfdctint,cache-misses,141949
jfdctint,branch-instructions,4064467
jfdctint,branch-misses,276739
jfdctint,dTLB-load-misses,2968
jfdctint,iTLB-load-misses,729
lift,cycles,1511399758
lift,instructions,1146820115
lift,cache-misses,249651
lift,branch-instructions,72345688
lift,branch-misses,3863313
lift,dTLB-load-misses,3497
lift,iTLB-load-misses,857
lms,cycles,574817916
lms,instructions,317428960
lms,cache-misses,190987
lms,branch-instructions,18702985
lms,branch-misses,1139018
lms,dTLB-load-misses,3769
lms,iTLB-load-misses,805
ludcmp,cycles,128081431
ludcmp,instructions,37047782
ludcmp,cache-misses,134231
ludcmp,branch-instructions,4243145
ludcmp,branch-misses,333109
ludcmp,dTLB-load-misses,3140
ludcmp,iTLB-load-misses,733
matrix1,cycles,138607219
matrix1,instructions,46781035
matrix1,cache-misses,165176
matrix1,branch-instructions,5240045
matrix1,branch-misses,402597
matrix1,dTLB-load-misses,3023
matrix1,iTLB-load-misses,751
md5,cycles,36099598593
md5,instructions,29842576996
md5,cache-misses,667738
md5,branch-instructions,1629985128
md5,branch-misses,42873358
md5,dTLB-load-misses,7479
md5,iTLB-load-misses,1977
minver,cycles,123234625
minver,instructions,34172733
minver,cache-misses,152207
minver,branch-instructions,4158018
minver,branch-misses,317667
minver,dTLB-load-misses,3120
minver,iTLB-load-misses,704
mpeg2,cycles,567400659321
mpeg2,instructions,395014867536
mpeg2,cache-misses,13423852
mpeg2,branch-instructions,19205766557
mpeg2,branch-misses,4876217754
mpeg2,dTLB-load-misses,81527
mpeg2,iTLB-load-misses,20911
ndes,cycles,221805558
ndes,instructions,106282637
ndes,cache-misses,217872
ndes,branch-instructions,9665165
ndes,branch-misses,598484
ndes,dTLB-load-misses,3847
ndes,iTLB-load-misses,990
petrinet,cycles,119606592
petrinet,instructions,34001107
petrinet,cache-misses,151161
petrinet,branch-instructions,3997059
petrinet,branch-misses,263212
petrinet,dTLB-load-misses,3461
petrinet,iTLB-load-misses,834
pm,cycles,21477402753
pm,instructions,15255036699
pm,cache-misses,1275953
pm,branch-instructions,838799658
pm,branch-misses,16565654
pm,dTLB-load-misses,40665
pm,iTLB-load-misses,10091
powerwindow,cycles,3008750446
powerwindow,instructions,2306888492
powerwindow,cache-misses,1004088
powerwindow,branch-instructions,222484666
powerwindow,branch-misses,11505199
powerwindow,dTLB-load-misses,14170
powerwindow,iTLB-load-misses,4257
prime,cycles,98336187
prime,instructions,31775868
prime,cache-misses,106788
prime,branch-instructions,3845354
prime,branch-misses,227420
prime,dTLB-load-misses,2091
prime,iTLB-load-misses,532
quicksort,cycles,6132190401
quicksort,instructions,4639697347
quicksort,cache-misses,1042230
quicksort,branch-instructions,322499995
quicksort,branch-misses,38005516
quicksort,dTLB-load-misses,12236
quicksort,iTLB-load-misses,4663
rad2deg,cycles,114734360
rad2deg,instructions,42871568
rad2deg,cache-misses,126102
rad2deg,branch-instructions,4167755
rad2deg,branch-misses,237064
rad2deg,dTLB-load-misses,2298
rad2deg,iTLB-load-misses,555
recursion,cycles,100917305
recursion,instructions,34030604
recursion,cache-misses,92984
recursion,branch-instructions,4343903
recursion,branch-misses,280212
recursion,dTLB-load-misses,2215
recursion,iTLB-load-misses,562
sha,cycles,5536333174
sha,instructions,4205250409
sha,cache-misses,727476
sha,branch-instructions,137255275
sha,branch-misses,4460194
sha,dTLB-load-misses,9334
sha,iTLB-load-misses,2735
st,cycles,417517759
st,instructions,236571605
st,cache-misses,209266
st,branch-instructions,22484942
st,branch-misses,372561
st,dTLB-load-misses,2731
st,iTLB-load-misses,601
statemate,cycles,197341789
statemate,instructions,108757974
statemate,cache-misses,125236
statemate,branch-instructions,6593332
statemate,branch-misses,295248
statemate,dTLB-load-misses,2444
statemate,iTLB-load-misses,582
susan,cycles,79182814426
susan,instructions,64546638093
susan,cache-misses,2809104
susan,branch-instructions,2049245683
susan,branch-misses,139600045
susan,dTLB-load-misses,48763
susan,iTLB-load-misses,15499
test3,cycles,756347891725
test3,instructions,512701884901
test3,cache-misses,387867095
test3,branch-instructions,5075994467
test3,branch-misses,22211323
test3,dTLB-load-misses,34730
test3,iTLB-load-misses,19701
