tag	phase	bg_workers	defines	ratio_adpcm_dec	ratio_binarysearch	ratio_fir2dim	ratio_fmref	ratio_iir	ratio_insertsort
wr0_1M_s64          				0.9993	1.2708	1.0320	0.9995	0.9946	1.0010
wr5_1M_s64          				0.9964	1.0274	1.0021	0.9981	0.9940	0.9968
wr0_1M_s64_fr0      				0.9999	1.0799	1.0340	1.0022	1.0448	1.0697
wr0_1M_s32          				0.9995	1.1570	1.0325	0.9997	1.0264	1.0768
wr0_1M_s128         				0.9990	1.1105	1.0513	1.0036	1.0239	1.0698
wr0_1M_s256         				0.9995	1.0933	1.0293	0.9995	1.1311	1.0666
wr0_512K_s64        				0.9997	1.1302	1.0583	1.0010	1.0141	1.0700
wr0_768K_s64        				1.0009	1.1004	1.0308	1.0005	1.0239	1.0566
wr0_1.5M_s64        				1.0020	1.2024	1.0341	0.9991	1.0138	1.0555
wr0_2M_s64          				1.0015	1.0033	1.0306	1.0008	1.1100	1.0403
wr0_64K_s1          				0.9990	1.0963	1.0307	0.9980	1.0212	1.0754
wr0_256K_s1         				1.0008	1.1037	1.0305	1.0038	1.0215	0.9922
wr0_1M_s1           				1.0002	1.0889	1.0381	0.9992	1.0456	1.0476
wr0_16M_s1024_4K    				0.9990	1.0826	1.0379	0.9993	1.0242	1.0805
wr0_64M_s1024_4K    				0.9993	1.1048	1.0011	0.9992	1.0446	1.0688
wr10_1M_s64_x2	MULTI_CONFIGS	CACHE CACHE	-DCACHE_MEM_SIZE=1048576 -DCACHE_STRIDE=64 -DCACHE_RW_RATIO=10 -DCACHE_FR_RATIO=50	0.9993	1.0011	1.0337	1.0008	1.1766	1.1697
wr10_1M_s64_x3	MULTI_CONFIGS	CACHE CACHE CACHE	-DCACHE_MEM_SIZE=1048576 -DCACHE_STRIDE=64 -DCACHE_RW_RATIO=10 -DCACHE_FR_RATIO=50	1.0026	1.1436	1.0201	1.0083	1.0245	1.0623
wr0_1M_s64_x2 				0.9996	1.0990	1.0371	1.0020	1.0246	1.0671
wr0_1M_s64_x3 				1.0048	1.1045	1.0261	1.0143	1.0374	1.0717
