[info] offlined cpu2..cpu3 to isolate the active cores
[info] cpu0..cpu1 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=2, lock_freq_khz=1600000
# cpu0=insertsort (measured)  cpu1=CACHE
[sample=0] cpu=0 bench=insertsort cycles=11752 instructions=2954 cache-misses=24
[sample=1] cpu=0 bench=insertsort cycles=13547 instructions=2946 cache-misses=18
[sample=2] cpu=0 bench=insertsort cycles=4265 instructions=2946 cache-misses=6
[sample=3] cpu=0 bench=insertsort cycles=4374 instructions=2946 cache-misses=6
[sample=4] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=2
[sample=5] cpu=0 bench=insertsort cycles=4194 instructions=2946 cache-misses=4
[sample=6] cpu=0 bench=insertsort cycles=4154 instructions=2946 cache-misses=2
[sample=7] cpu=0 bench=insertsort cycles=4206 instructions=2946 cache-misses=3
[sample=8] cpu=0 bench=insertsort cycles=4175 instructions=2946 cache-misses=2
[sample=9] cpu=0 bench=insertsort cycles=4203 instructions=2946 cache-misses=2
[sample=10] cpu=0 bench=insertsort cycles=4188 instructions=2946 cache-misses=2
[sample=11] cpu=0 bench=insertsort cycles=4190 instructions=2946 cache-misses=1
[sample=12] cpu=0 bench=insertsort cycles=4168 instructions=2946 cache-misses=1
[sample=13] cpu=0 bench=insertsort cycles=4216 instructions=2946 cache-misses=1
[sample=14] cpu=0 bench=insertsort cycles=4238 instructions=2946 cache-misses=3
[sample=15] cpu=0 bench=insertsort cycles=4201 instructions=2946 cache-misses=2
[sample=16] cpu=0 bench=insertsort cycles=4196 instructions=2946 cache-misses=1
[sample=17] cpu=0 bench=insertsort cycles=4247 instructions=2946 cache-misses=4
[sample=18] cpu=0 bench=insertsort cycles=4247 instructions=2947 cache-misses=3
[sample=19] cpu=0 bench=insertsort cycles=4181 instructions=2946 cache-misses=2
[sample=20] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=2
[sample=21] cpu=0 bench=insertsort cycles=4203 instructions=2946 cache-misses=2
[sample=22] cpu=0 bench=insertsort cycles=4187 instructions=2946 cache-misses=0
[sample=23] cpu=0 bench=insertsort cycles=4190 instructions=2946 cache-misses=2
[sample=24] cpu=0 bench=insertsort cycles=4208 instructions=2946 cache-misses=1
[sample=25] cpu=0 bench=insertsort cycles=4241 instructions=2946 cache-misses=2
[sample=26] cpu=0 bench=insertsort cycles=4190 instructions=2946 cache-misses=2
[sample=27] cpu=0 bench=insertsort cycles=4180 instructions=2946 cache-misses=2
[sample=28] cpu=0 bench=insertsort cycles=4193 instructions=2946 cache-misses=1
[sample=29] cpu=0 bench=insertsort cycles=4168 instructions=2946 cache-misses=1
[sample=30] cpu=0 bench=insertsort cycles=4197 instructions=2946 cache-misses=2
[sample=31] cpu=0 bench=insertsort cycles=4157 instructions=2946 cache-misses=2
[sample=32] cpu=0 bench=insertsort cycles=4206 instructions=2946 cache-misses=1
[sample=33] cpu=0 bench=insertsort cycles=4137 instructions=2946 cache-misses=1
[sample=34] cpu=0 bench=insertsort cycles=4163 instructions=2946 cache-misses=1
[sample=35] cpu=0 bench=insertsort cycles=4233 instructions=2946 cache-misses=2
[sample=36] cpu=0 bench=insertsort cycles=4208 instructions=2946 cache-misses=2
[sample=37] cpu=0 bench=insertsort cycles=4202 instructions=2946 cache-misses=1
[sample=38] cpu=0 bench=insertsort cycles=4181 instructions=2946 cache-misses=2
[sample=39] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=1
[sample=40] cpu=0 bench=insertsort cycles=4171 instructions=2946 cache-misses=1
[sample=41] cpu=0 bench=insertsort cycles=4166 instructions=2946 cache-misses=1
[sample=42] cpu=0 bench=insertsort cycles=4168 instructions=2946 cache-misses=1
[sample=43] cpu=0 bench=insertsort cycles=4190 instructions=2946 cache-misses=1
[sample=44] cpu=0 bench=insertsort cycles=4232 instructions=2946 cache-misses=3
[sample=45] cpu=0 bench=insertsort cycles=4212 instructions=2946 cache-misses=2
[sample=46] cpu=0 bench=insertsort cycles=4219 instructions=2946 cache-misses=2
[sample=47] cpu=0 bench=insertsort cycles=4177 instructions=2946 cache-misses=2
[sample=48] cpu=0 bench=insertsort cycles=4146 instructions=2946 cache-misses=1
[sample=49] cpu=0 bench=insertsort cycles=4242 instructions=2946 cache-misses=2
[sample=50] cpu=0 bench=insertsort cycles=4201 instructions=2946 cache-misses=2
[sample=51] cpu=0 bench=insertsort cycles=4206 instructions=2946 cache-misses=3
[sample=52] cpu=0 bench=insertsort cycles=4195 instructions=2946 cache-misses=2
[sample=53] cpu=0 bench=insertsort cycles=4178 instructions=2946 cache-misses=0
[sample=54] cpu=0 bench=insertsort cycles=4242 instructions=2947 cache-misses=1
[sample=55] cpu=0 bench=insertsort cycles=4146 instructions=2946 cache-misses=2
[sample=56] cpu=0 bench=insertsort cycles=4214 instructions=2946 cache-misses=1
[sample=57] cpu=0 bench=insertsort cycles=4170 instructions=2946 cache-misses=1
[sample=58] cpu=0 bench=insertsort cycles=4182 instructions=2946 cache-misses=1
[sample=59] cpu=0 bench=insertsort cycles=4151 instructions=2946 cache-misses=2
[sample=60] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=2
[sample=61] cpu=0 bench=insertsort cycles=4160 instructions=2946 cache-misses=2
[sample=62] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=2
[sample=63] cpu=0 bench=insertsort cycles=4155 instructions=2946 cache-misses=1
[sample=64] cpu=0 bench=insertsort cycles=4181 instructions=2947 cache-misses=1
[sample=65] cpu=0 bench=insertsort cycles=6994 instructions=2947 cache-misses=16
[sample=66] cpu=0 bench=insertsort cycles=4274 instructions=2946 cache-misses=5
[sample=67] cpu=0 bench=insertsort cycles=4220 instructions=2946 cache-misses=4
[sample=68] cpu=0 bench=insertsort cycles=4182 instructions=2946 cache-misses=2
[sample=69] cpu=0 bench=insertsort cycles=4216 instructions=2946 cache-misses=3
[sample=70] cpu=0 bench=insertsort cycles=4203 instructions=2946 cache-misses=2
[sample=71] cpu=0 bench=insertsort cycles=4310 instructions=2946 cache-misses=1
[sample=72] cpu=0 bench=insertsort cycles=4171 instructions=2946 cache-misses=1
[sample=73] cpu=0 bench=insertsort cycles=4211 instructions=2946 cache-misses=2
[sample=74] cpu=0 bench=insertsort cycles=4166 instructions=2946 cache-misses=2
[sample=75] cpu=0 bench=insertsort cycles=4169 instructions=2946 cache-misses=2
[sample=76] cpu=0 bench=insertsort cycles=4163 instructions=2946 cache-misses=0
[sample=77] cpu=0 bench=insertsort cycles=4173 instructions=2946 cache-misses=1
[sample=78] cpu=0 bench=insertsort cycles=4161 instructions=2946 cache-misses=1
[sample=79] cpu=0 bench=insertsort cycles=4193 instructions=2946 cache-misses=2
[sample=80] cpu=0 bench=insertsort cycles=4215 instructions=2946 cache-misses=3
[sample=81] cpu=0 bench=insertsort cycles=4157 instructions=2946 cache-misses=2
[sample=82] cpu=0 bench=insertsort cycles=4195 instructions=2946 cache-misses=2
[sample=83] cpu=0 bench=insertsort cycles=4177 instructions=2946 cache-misses=2
[sample=84] cpu=0 bench=insertsort cycles=4226 instructions=2946 cache-misses=2
[sample=85] cpu=0 bench=insertsort cycles=4204 instructions=2946 cache-misses=3
[sample=86] cpu=0 bench=insertsort cycles=4314 instructions=2946 cache-misses=0
[sample=87] cpu=0 bench=insertsort cycles=4178 instructions=2946 cache-misses=1
[sample=88] cpu=0 bench=insertsort cycles=4240 instructions=2946 cache-misses=1
[sample=89] cpu=0 bench=insertsort cycles=4191 instructions=2946 cache-misses=1
[sample=90] cpu=0 bench=insertsort cycles=4174 instructions=2946 cache-misses=3
[sample=91] cpu=0 bench=insertsort cycles=4150 instructions=2946 cache-misses=1
[sample=92] cpu=0 bench=insertsort cycles=4164 instructions=2946 cache-misses=1
[sample=93] cpu=0 bench=insertsort cycles=4231 instructions=2946 cache-misses=2
[sample=94] cpu=0 bench=insertsort cycles=4140 instructions=2946 cache-misses=0
[sample=95] cpu=0 bench=insertsort cycles=4191 instructions=2946 cache-misses=1
[sample=96] cpu=0 bench=insertsort cycles=4195 instructions=2946 cache-misses=1
[sample=97] cpu=0 bench=insertsort cycles=4224 instructions=2946 cache-misses=1
[sample=98] cpu=0 bench=insertsort cycles=4224 instructions=2946 cache-misses=2
[sample=99] cpu=0 bench=insertsort cycles=4218 instructions=2947 cache-misses=1

# Statistics over 100 samples on cpu0 bench=insertsort (background load on cpu1..cpu1)
# event                          min                  max                  avg               median
  cycles                        4137                13547              4393.61              4192.00
  instructions                  2946                 2954              2946.13              2946.00
  cache-misses                     0                   24                 2.32                 2.00
